星座ID	星座名	星痕简体描述	星座概要描述	星痕下方的展示奖励	首通奖励	首通奖励展示	通关奖励	通关奖励展示	未通关星座图	已通关星座图	地表特效	地表特效偏移	最小携带佣兵数量	关联星域星座表头	关联任务描述	挑战星痕限制时长	挑战星痕限制等级
9	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3	item1000,65000;item105000000029,1;item105000000030,3	item1000,24000;item1026,5;item105000000030,1;item2001,8500;item106030101222,1	item1000,24000;item1026,5;item105000000030,1;item2001,8500	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	22
10	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3	item1000,70000;item105000000029,1;item105000000030,3	item1000,26000;item1026,5;item105000000030,1;item2001,15000;item106030101222,1	item1000,26000;item1026,5;item105000000030,1;item2001,15000	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	30
11	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3	item1000,75000;item105000000029,1;item105000000030,3	item1000,28000;item1026,5;item105000000030,1;item2001,20000;item106030101222,1	item1000,28000;item1026,5;item105000000030,1;item2001,20000	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	30
12	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3	item1000,80000;item105000000029,1;item105000000030,3	item1000,30000;item1026,5;item105000000030,1;item2001,25000;item106030101222,1	item1000,30000;item1026,5;item105000000030,1;item2001,25000	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	30
13	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,30000;item105000000029,1;item105000000030,3	item1000,30000;item105000000029,1;item105000000030,3	item1000,10000;item1026,5;item105000000030,1;item2001,5000	item1000,10000;item1026,5;item105000000030,1;item2001,5000	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	30
14	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,35000;item105000000029,1;item105000000030,3	item1000,35000;item105000000029,1;item105000000030,3	item1000,12000;item1026,5;item105000000030,1;item2001,6000	item1000,12000;item1026,5;item105000000030,1;item2001,6000	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	30
15	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,40000;item105000000029,1;item105000000030,3	item1000,40000;item105000000029,1;item105000000030,3	item1000,14000;item1026,5;item105000000030,1;item2001,7000	item1000,14000;item1026,5;item105000000030,1;item2001,7000	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	30
16	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,45000;item105000000029,1;item105000000030,3	item1000,45000;item105000000029,1;item105000000030,3	item1000,16000;item1026,5;item105000000030,1;item2001,8000	item1000,16000;item1026,5;item105000000030,1;item2001,8000	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	30
17	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,50000;item105000000029,1;item105000000030,3	item1000,50000;item105000000029,1;item105000000030,3	item1000,18000;item1026,5;item105000000030,1;item2001,9000	item1000,18000;item1026,5;item105000000030,1;item2001,9000	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	30
18	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,55000;item105000000029,1;item105000000030,3	item1000,55000;item105000000029,1;item105000000030,3	item1000,20000;item1026,5;item105000000030,1;item2001,10000	item1000,20000;item1026,5;item105000000030,1;item2001,10000	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	30
19	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,60000;item105000000029,1;item105000000030,3	item1000,60000;item105000000029,1;item105000000030,3	item1000,22000;item1026,5;item105000000030,1;item2001,11000	item1000,22000;item1026,5;item105000000030,1;item2001,11000	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	30
20	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3	item1000,65000;item105000000029,1;item105000000030,3	item1000,24000;item1026,5;item105000000030,1;item2001,12000	item1000,24000;item1026,5;item105000000030,1;item2001,12000	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	30
21	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3	item1000,70000;item105000000029,1;item105000000030,3	item1000,26000;item1026,5;item105000000030,1;item2001,13000	item1000,26000;item1026,5;item105000000030,1;item2001,13000	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	30
22	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3	item1000,75000;item105000000029,1;item105000000030,3	item1000,28000;item1026,5;item105000000030,1;item2001,20000	item1000,28000;item1026,5;item105000000030,1;item2001,20000	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	30
23	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3	item1000,80000;item105000000029,1;item105000000030,3	item1000,30000;item1026,5;item105000000030,1;item2001,30000	item1000,30000;item1026,5;item105000000030,1;item2001,30000	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	30
24	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3	item1000,85000;item105000000029,1;item105000000030,3	item1000,32000;item1026,5;item105000000030,1;item2001,40000	item1000,32000;item1026,5;item105000000030,1;item2001,40000	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	30
25	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,35000;item105000000029,1;item105000000030,3	item1000,35000;item105000000029,1;item105000000030,3	item1000,12000;item1026,5;item105000000030,1;item2001,6000	item1000,12000;item1026,5;item105000000030,1;item2001,6000	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	35
26	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,40000;item105000000029,1;item105000000030,3	item1000,40000;item105000000029,1;item105000000030,3	item1000,14000;item1026,5;item105000000030,1;item2001,7000	item1000,14000;item1026,5;item105000000030,1;item2001,7000	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	35
27	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,45000;item105000000029,1;item105000000030,3	item1000,45000;item105000000029,1;item105000000030,3	item1000,16000;item1026,5;item105000000030,1;item2001,8000	item1000,16000;item1026,5;item105000000030,1;item2001,8000	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	35
28	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,50000;item105000000029,1;item105000000030,3	item1000,50000;item105000000029,1;item105000000030,3	item1000,18000;item1026,5;item105000000030,1;item2001,9000	item1000,18000;item1026,5;item105000000030,1;item2001,9000	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	35
29	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,55000;item105000000029,1;item105000000030,3	item1000,55000;item105000000029,1;item105000000030,3	item1000,20000;item1026,5;item105000000030,1;item2001,10000	item1000,20000;item1026,5;item105000000030,1;item2001,10000	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	35
30	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,60000;item105000000029,1;item105000000030,3	item1000,60000;item105000000029,1;item105000000030,3	item1000,22000;item1026,5;item105000000030,1;item2001,11000	item1000,22000;item1026,5;item105000000030,1;item2001,11000	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	35
31	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3	item1000,65000;item105000000029,1;item105000000030,3	item1000,24000;item1026,5;item105000000030,1;item2001,12000	item1000,24000;item1026,5;item105000000030,1;item2001,12000	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	35
32	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3	item1000,70000;item105000000029,1;item105000000030,3	item1000,26000;item1026,5;item105000000030,1;item2001,13000	item1000,26000;item1026,5;item105000000030,1;item2001,13000	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	35
33	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3	item1000,75000;item105000000029,1;item105000000030,3	item1000,28000;item1026,5;item105000000030,1;item2001,14000	item1000,28000;item1026,5;item105000000030,1;item2001,14000	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	35
34	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3	item1000,80000;item105000000029,1;item105000000030,3	item1000,30000;item1026,5;item105000000030,1;item2001,21000	item1000,30000;item1026,5;item105000000030,1;item2001,21000	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	35
35	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3	item1000,75000;item105000000029,1;item105000000030,3	item1000,32000;item1026,5;item105000000030,1;item2001,31000	item1000,32000;item1026,5;item105000000030,1;item2001,31000	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	35
36	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3	item1000,80000;item105000000029,1;item105000000030,3	item1000,34000;item1026,5;item105000000030,1;item2001,41000	item1000,34000;item1026,5;item105000000030,1;item2001,41000	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	35
37	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,40000;item105000000029,1;item105000000030,3	item1000,40000;item105000000029,1;item105000000030,3	item1000,14000;item1026,5;item105000000030,1;item2001,7000	item1000,14000;item1026,5;item105000000030,1;item2001,7000	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	40
38	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,45000;item105000000029,1;item105000000030,3	item1000,45000;item105000000029,1;item105000000030,3	item1000,16000;item1026,5;item105000000030,1;item2001,8000	item1000,16000;item1026,5;item105000000030,1;item2001,8000	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	40
39	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,50000;item105000000029,1;item105000000030,3	item1000,50000;item105000000029,1;item105000000030,3	item1000,18000;item1026,5;item105000000030,1;item2001,9000	item1000,18000;item1026,5;item105000000030,1;item2001,9000	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	40
40	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,55000;item105000000029,1;item105000000030,3	item1000,55000;item105000000029,1;item105000000030,3	item1000,20000;item1026,5;item105000000030,1;item2001,10000	item1000,20000;item1026,5;item105000000030,1;item2001,10000	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	40
41	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,60000;item105000000029,1;item105000000030,3	item1000,60000;item105000000029,1;item105000000030,3	item1000,22000;item1026,5;item105000000030,1;item2001,11000	item1000,22000;item1026,5;item105000000030,1;item2001,11000	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	40
42	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3	item1000,65000;item105000000029,1;item105000000030,3	item1000,24000;item1026,5;item105000000030,1;item2001,12000	item1000,24000;item1026,5;item105000000030,1;item2001,12000	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	40
43	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3	item1000,70000;item105000000029,1;item105000000030,3	item1000,26000;item1026,5;item105000000030,1;item2001,13000	item1000,26000;item1026,5;item105000000030,1;item2001,13000	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	40
44	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3	item1000,85000;item105000000029,1;item105000000030,3	item1000,28000;item1026,5;item105000000030,1;item2001,14000	item1000,28000;item1026,5;item105000000030,1;item2001,14000	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	40
45	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3	item1000,80000;item105000000029,1;item105000000030,3	item1000,30000;item1026,5;item105000000030,1;item2001,15000	item1000,30000;item1026,5;item105000000030,1;item2001,15000	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	40
46	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3	item1000,85000;item105000000029,1;item105000000030,3	item1000,32000;item1026,5;item105000000030,1;item2001,22000	item1000,32000;item1026,5;item105000000030,1;item2001,22000	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	40
47	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,90000;item105000000029,1;item105000000030,3	item1000,90000;item105000000029,1;item105000000030,3	item1000,34000;item1026,5;item105000000030,1;item2001,32000	item1000,34000;item1026,5;item105000000030,1;item2001,32000	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	40
48	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,95000;item105000000029,1;item105000000030,3	item1000,95000;item105000000029,1;item105000000030,3	item1000,36000;item1026,5;item105000000030,1;item2001,42000	item1000,36000;item1026,5;item105000000030,1;item2001,42000	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	40
49	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,45000;item105000000029,1;item105000000030,3	item1000,45000;item105000000029,1;item105000000030,3	item1000,16000;item1026,5;item105000000030,1;item2001,8000	item1000,16000;item1026,5;item105000000030,1;item2001,8000	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	45
50	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,50000;item105000000029,1;item105000000030,3	item1000,50000;item105000000029,1;item105000000030,3	item1000,18000;item1026,5;item105000000030,1;item2001,9000	item1000,18000;item1026,5;item105000000030,1;item2001,9000	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	45
51	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,55000;item105000000029,1;item105000000030,3	item1000,55000;item105000000029,1;item105000000030,3	item1000,20000;item1026,5;item105000000030,1;item2001,10000	item1000,20000;item1026,5;item105000000030,1;item2001,10000	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	45
52	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,60000;item105000000029,1;item105000000030,3	item1000,60000;item105000000029,1;item105000000030,3	item1000,22000;item1026,5;item105000000030,1;item2001,11000	item1000,22000;item1026,5;item105000000030,1;item2001,11000	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	45
53	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3	item1000,65000;item105000000029,1;item105000000030,3	item1000,24000;item1026,5;item105000000030,1;item2001,12000	item1000,24000;item1026,5;item105000000030,1;item2001,12000	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	45
54	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3	item1000,70000;item105000000029,1;item105000000030,3	item1000,26000;item1026,5;item105000000030,1;item2001,13000	item1000,26000;item1026,5;item105000000030,1;item2001,13000	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	45
55	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3	item1000,75000;item105000000029,1;item105000000030,3	item1000,28000;item1026,5;item105000000030,1;item2001,14000	item1000,28000;item1026,5;item105000000030,1;item2001,14000	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	45
56	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3	item1000,80000;item105000000029,1;item105000000030,3	item1000,30000;item1026,5;item105000000030,1;item2001,15000	item1000,30000;item1026,5;item105000000030,1;item2001,15000	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	45
57	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3	item1000,85000;item105000000029,1;item105000000030,3	item1000,32000;item1026,5;item105000000030,1;item2001,16000	item1000,32000;item1026,5;item105000000030,1;item2001,16000	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	45
58	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,90000;item105000000029,1;item105000000030,3	item1000,90000;item105000000029,1;item105000000030,3	item1000,34000;item1026,5;item105000000030,1;item2001,23000	item1000,34000;item1026,5;item105000000030,1;item2001,23000	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	45
59	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,95000;item105000000029,1;item105000000030,3	item1000,95000;item105000000029,1;item105000000030,3	item1000,36000;item1026,5;item105000000030,1;item2001,33000	item1000,36000;item1026,5;item105000000030,1;item2001,33000	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	45
60	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,100000;item105000000029,1;item105000000030,3	item1000,100000;item105000000029,1;item105000000030,3	item1000,38000;item1026,5;item105000000030,1;item2001,43000	item1000,38000;item1026,5;item105000000030,1;item2001,43000	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	45
61	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,50000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,50000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,18000;item1026,5;item105000000030,1;item2001,9000;item177000000003,3	item1000,18000;item1026,5;item105000000030,1;item2001,9000;item177000000003,3	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	50
62	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,55000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,55000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,20000;item1026,5;item105000000030,1;item2001,10000;item177000000003,3	item1000,20000;item1026,5;item105000000030,1;item2001,10000;item177000000003,3	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	50
63	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,60000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,60000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,22000;item1026,5;item105000000030,1;item2001,11000;item177000000003,3;item177000000006,1	item1000,22000;item1026,5;item105000000030,1;item2001,11000;item177000000003,3;item177000000006,1	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	50
64	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,65000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,24000;item1026,5;item105000000030,1;item2001,12000;item177000000003,3	item1000,24000;item1026,5;item105000000030,1;item2001,12000;item177000000003,3	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	50
65	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	50
66	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3;item177000000006,1	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3;item177000000006,1	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	50
67	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	50
68	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	50
