ID	所属组合图鉴ID	星级	消耗	获得属性	获得巅峰点	增加评分
151	10000031	1	102034,1	4,2	2	6
152	10000031	2	102034,1	4,1	2	4
153	10000031	3	102034,1	4,1	2	4
154	10000031	4	102034,1	4,1	2	2
155	10000031	5	102034,1	4,1	2	2
156	10000032	1	102013,1	3,2	2	6
157	10000032	2	102013,1	3,1	2	4
158	10000032	3	102013,1	3,1	2	4
159	10000032	4	102013,1	3,1	2	2
160	10000032	5	102013,1	3,1	2	2
161	10000033	1	102014,1	1,18	2	6
162	10000033	2	102014,1	1,12	2	4
163	10000033	3	102014,1	1,12	2	4
164	10000033	4	102014,1	1,6	2	2
165	10000033	5	102014,1	1,6	2	2
166	10000034	1	102015,1	3,2	2	6
167	10000034	2	102015,1	3,1	2	4
168	10000034	3	102015,1	3,1	2	4
169	10000034	4	102015,1	3,1	2	2
170	10000034	5	102015,1	3,1	2	2
171	10000035	1	102035,1	1,18	2	6
172	10000035	2	102035,1	1,12	2	4
173	10000035	3	102035,1	1,12	2	4
174	10000035	4	102035,1	1,6	2	2
175	10000035	5	102035,1	1,6	2	2
176	10000036	1	102001,1;102002,1;102016,1	21,8;22,8	6	13
177	10000036	2	102001,1;102002,1;102016,1	21,6;22,6	6	8
178	10000036	3	102001,1;102002,1;102016,1	21,6;22,6	6	8
179	10000036	4	102001,1;102002,1;102016,1	21,3;22,3	6	4
180	10000036	5	102001,1;102002,1;102016,1	21,3;22,3	6	4
181	10000037	1	102003,1;102018,1	1,18;4,2	4	9
182	10000037	2	102003,1;102018,1	1,12;4,1	4	6
183	10000037	3	102003,1;102018,1	1,12;4,1	4	6
184	10000037	4	102003,1;102018,1	1,6;4,1	4	3
185	10000037	5	102003,1;102018,1	1,6;4,1	4	3
186	10000038	1	102017,1;102021,1;102004,1;102023,1;102024,1	3,3;23,10;26,10	10	22
187	10000038	2	102017,1;102021,1;102004,1;102023,1;102024,1	3,2;23,6;26,6	10	15
188	10000038	3	102017,1;102021,1;102004,1;102023,1;102024,1	3,2;23,6;26,6	10	15
189	10000038	4	102017,1;102021,1;102004,1;102023,1;102024,1	3,1;23,3;26,3	10	7
190	10000038	5	102017,1;102021,1;102004,1;102023,1;102024,1	3,1;23,3;26,3	10	7
191	10000039	1	102008,1;102009,1;102026,1;102027,1;102028,1;102029,1	3,2;4,2;1,30;24,8	12	26
192	10000039	2	102008,1;102009,1;102026,1;102027,1;102028,1;102029,1	3,2;4,2;1,20;24,6	12	17
193	10000039	3	102008,1;102009,1;102026,1;102027,1;102028,1;102029,1	3,2;4,2;1,20;24,6	12	17
194	10000039	4	102008,1;102009,1;102026,1;102027,1;102028,1;102029,1	3,1;4,1;1,10;24,3	12	9
195	10000039	5	102008,1;102009,1;102026,1;102027,1;102028,1;102029,1	3,1;4,1;1,10;24,3	12	9
196	10000040	1	102005,1;102022,1;102026,1	22,10;1,24	6	13
197	10000040	2	102005,1;102022,1;102026,1	22,6;1,16	6	9
198	10000040	3	102005,1;102022,1;102026,1	22,6;1,16	6	9
199	10000040	4	102005,1;102022,1;102026,1	22,3;1,8	6	4
200	10000040	5	102005,1;102022,1;102026,1	22,3;1,8	6	4
201	10000041	1	102017,1;102019,1;102020,1;102027,1	24,8;21,8;22,8	8	19
202	10000041	2	102017,1;102019,1;102020,1;102027,1	24,6;21,6;22,6	8	13
203	10000041	3	102017,1;102019,1;102020,1;102027,1	24,6;21,6;22,6	8	13
204	10000041	4	102017,1;102019,1;102020,1;102027,1	24,3;21,3;22,3	8	6
205	10000041	5	102017,1;102019,1;102020,1;102027,1	24,3;21,3;22,3	8	6
206	10000042	1	102011,1;102012,1	3,2;4,2	4	9
207	10000042	2	102011,1;102012,1	3,1;4,1	4	6
208	10000042	3	102011,1;102012,1	3,1;4,1	4	6
209	10000042	4	102011,1;102012,1	3,1;4,1	4	3
210	10000042	5	102011,1;102012,1	3,1;4,1	4	3
211	10000043	1	102031,1;102032,1;102033,1	23,8;24,8	6	13
212	10000043	2	102031,1;102032,1;102033,1	23,6;24,6	6	8
213	10000043	3	102031,1;102032,1;102033,1	23,6;24,6	6	8
214	10000043	4	102031,1;102032,1;102033,1	23,3;24,3	6	4
215	10000043	5	102031,1;102032,1;102033,1	23,3;24,3	6	4
216	10000044	1	102010,1;102030,1	1,18;4,2	4	9
217	10000044	2	102010,1;102030,1	1,12;4,1	4	6
218	10000044	3	102010,1;102030,1	1,12;4,1	4	6
219	10000044	4	102010,1;102030,1	1,6;4,1	4	3
220	10000044	5	102010,1;102030,1	1,6;4,1	4	3
221	10000045	1	102014,1;102015,1;102035,1	3,2;1,30	6	14
222	10000045	2	102014,1;102015,1;102035,1	3,2;1,20	6	9
223	10000045	3	102014,1;102015,1;102035,1	3,2;1,20	6	9
224	10000045	4	102014,1;102015,1;102035,1	3,1;1,10	6	5
225	10000045	5	102014,1;102015,1;102035,1	3,1;1,10	6	5
226	10000046	1	102013,1;102034,1	1,18;21,6	4	9
227	10000046	2	102013,1;102034,1	1,12;21,4	4	6
228	10000046	3	102013,1;102034,1	1,12;21,4	4	6
229	10000046	4	102013,1;102034,1	1,6;21,2	4	3
230	10000046	5	102013,1;102034,1	1,6;21,2	4	3
231	10000047	1	102023,1;102025,1;102011,1;102012,1;102032,1	1,30;4,3;26,12	10	24
232	10000047	2	102023,1;102025,1;102011,1;102012,1;102032,1	1,20;4,2;26,8	10	16
233	10000047	3	102023,1;102025,1;102011,1;102012,1;102032,1	1,20;4,2;26,8	10	16
234	10000047	4	102023,1;102025,1;102011,1;102012,1;102032,1	1,10;4,1;26,4	10	8
235	10000047	5	102023,1;102025,1;102011,1;102012,1;102032,1	1,10;4,1;26,4	10	8
236	10000048	1	102003,1;102009,1;102002,1;102017,1	3,2;4,2;1,24	8	18
237	10000048	2	102003,1;102009,1;102002,1;102017,1	3,2;4,2;1,16	8	12
238	10000048	3	102003,1;102009,1;102002,1;102017,1	3,2;4,2;1,16	8	12
239	10000048	4	102003,1;102009,1;102002,1;102017,1	3,1;4,1;1,8	8	6
240	10000048	5	102003,1;102009,1;102002,1;102017,1	3,1;4,1;1,8	8	6
241	10000049	1	102036,1	3,2	2	6
242	10000049	2	102036,1	3,1	2	4
243	10000049	3	102036,1	3,1	2	4
244	10000049	4	102036,1	3,1	2	2
245	10000049	5	102036,1	3,1	2	2
246	10000050	1	102037,1	4,2	2	6
247	10000050	2	102037,1	4,1	2	4
248	10000050	3	102037,1	4,1	2	4
249	10000050	4	102037,1	4,1	2	2
250	10000050	5	102037,1	4,1	2	2
251	10000051	1	102038,1	1,18	2	6
252	10000051	2	102038,1	1,12	2	4
253	10000051	3	102038,1	1,12	2	4
254	10000051	4	102038,1	1,6	2	2
255	10000051	5	102038,1	1,6	2	2
256	10000052	1	102039,1	3,2	2	6
257	10000052	2	102039,1	3,1	2	4
258	10000052	3	102039,1	3,1	2	4
259	10000052	4	102039,1	3,1	2	2
260	10000052	5	102039,1	3,1	2	2
261	10000053	1	102040,1	4,2	2	6
262	10000053	2	102040,1	4,1	2	4
263	10000053	3	102040,1	4,1	2	4
264	10000053	4	102040,1	4,1	2	2
265	10000053	5	102040,1	4,1	2	2
266	10000054	1	102041,1	1,18	2	6
267	10000054	2	102041,1	1,12	2	4
268	10000054	3	102041,1	1,12	2	4
269	10000054	4	102041,1	1,6	2	2
270	10000054	5	102041,1	1,6	2	2
271	10000055	1	102042,1	3,2	2	6
272	10000055	2	102042,1	3,1	2	4
273	10000055	3	102042,1	3,1	2	4
274	10000055	4	102042,1	3,1	2	2
275	10000055	5	102042,1	3,1	2	2
276	10000056	1	102043,1	4,2	2	6
277	10000056	2	102043,1	4,1	2	4
278	10000056	3	102043,1	4,1	2	4
279	10000056	4	102043,1	4,1	2	2
280	10000056	5	102043,1	4,1	2	2
281	10000057	1	102044,1	1,18	2	6
282	10000057	2	102044,1	1,12	2	4
283	10000057	3	102044,1	1,12	2	4
284	10000057	4	102044,1	1,6	2	2
285	10000057	5	102044,1	1,6	2	2
286	10000058	1	102045,1	1,18	2	6
287	10000058	2	102045,1	1,12	2	4
288	10000058	3	102045,1	1,12	2	4
289	10000058	4	102045,1	1,6	2	2
290	10000058	5	102045,1	1,6	2	2
291	10000059	1	102038,1;102040,1;102043,1	21,8;22,8	6	13
292	10000059	2	102038,1;102040,1;102043,1	21,6;22,6	6	8
293	10000059	3	102038,1;102040,1;102043,1	21,6;22,6	6	8
294	10000059	4	102038,1;102040,1;102043,1	21,3;22,3	6	4
295	10000059	5	102038,1;102040,1;102043,1	21,3;22,3	6	4
296	10000060	1	102040,1;102013,1	1,12;4,2	4	9
297	10000060	2	102040,1;102013,1	1,8;4,2	4	6
298	10000060	3	102040,1;102013,1	1,8;4,2	4	6
299	10000060	4	102040,1;102013,1	1,4;4,1	4	3
300	10000060	5	102040,1;102013,1	1,4;4,1	4	3
301	10000061	1	102005,1;102022,1	22,7;1,12	4	8
302	10000061	2	102005,1;102022,1	22,5;1,8	4	6
303	10000061	3	102005,1;102022,1	22,5;1,8	4	6
304	10000061	4	102005,1;102022,1	22,2;1,4	4	3
305	10000061	5	102005,1;102022,1	22,2;1,4	4	3
306	10000062	1	102039,1;102006,1	23,4;24,4	4	8
307	10000062	2	102039,1;102006,1	23,2;24,2	4	5
308	10000062	3	102039,1;102006,1	23,2;24,2	4	5
309	10000062	4	102039,1;102006,1	23,1;24,1	4	3
310	10000062	5	102039,1;102006,1	23,1;24,1	4	3
311	10000063	1	102036,1;102040,1	25,4;26,4	4	10
312	10000063	2	102036,1;102040,1	25,2;26,2	4	7
313	10000063	3	102036,1;102040,1	25,2;26,2	4	7
314	10000063	4	102036,1;102040,1	25,1;26,1	4	3
315	10000063	5	102036,1;102040,1	25,1;26,1	4	3
316	10000064	1	102037,1;102034,1	1,18;21,4	4	7
317	10000064	2	102037,1;102034,1	1,12;21,2	4	5
318	10000064	3	102037,1;102034,1	1,12;21,2	4	5
319	10000064	4	102037,1;102034,1	1,6;21,1	4	2
320	10000064	5	102037,1;102034,1	1,6;21,1	4	2
321	10000065	1	102038,1;102019,1	23,4;25,6	4	7
322	10000065	2	102038,1;102019,1	23,2;25,4	4	5
323	10000065	3	102038,1;102019,1	23,2;25,4	4	5
324	10000065	4	102038,1;102019,1	23,1;25,2	4	2
325	10000065	5	102038,1;102019,1	23,1;25,2	4	2
326	10000066	1	102044,1;102003,1	4,2;23,4	4	12
327	10000066	2	102044,1;102003,1	4,1;23,2	4	8
328	10000066	3	102044,1;102003,1	4,1;23,2	4	8
329	10000066	4	102044,1;102003,1	4,1;23,1	4	4
330	10000066	5	102044,1;102003,1	4,1;23,1	4	4
331	10000067	1	102043,1;102020,1	24,4;26,6	4	7
332	10000067	2	102043,1;102020,1	24,2;26,4	4	5
333	10000067	3	102043,1;102020,1	24,2;26,4	4	5
334	10000067	4	102043,1;102020,1	24,1;26,2	4	2
335	10000067	5	102043,1;102020,1	24,1;26,2	4	2
336	10000068	1	102042,1;102005,1;102022,1	3,2;1,30	6	14
337	10000068	2	102042,1;102005,1;102022,1	3,2;1,20	6	9
338	10000068	3	102042,1;102005,1;102022,1	3,2;1,20	6	9
339	10000068	4	102042,1;102005,1;102022,1	3,1;1,10	6	5
340	10000068	5	102042,1;102005,1;102022,1	3,1;1,10	6	5
341	10000069	1	102037,1;102042,1	4,2;21,4	4	9
342	10000069	2	102037,1;102042,1	4,2;21,2	4	6
343	10000069	3	102037,1;102042,1	4,2;21,2	4	6
344	10000069	4	102037,1;102042,1	4,1;21,1	4	3
345	10000069	5	102037,1;102042,1	4,1;21,1	4	3
346	10000070	1	102036,1;102042,1;102043,1	1,13;4,3;26,5	6	38
347	10000070	2	102036,1;102042,1;102043,1	1,9;4,2;26,3	6	26
348	10000070	3	102036,1;102042,1;102043,1	1,9;4,2;26,3	6	26
349	10000070	4	102036,1;102042,1;102043,1	1,4;4,1;26,2	6	13
350	10000070	5	102036,1;102042,1;102043,1	1,4;4,1;26,2	6	13
351	20000001	1	103001,1	24,15	3	12
352	20000001	2	103001,1	24,10	3	8
353	20000001	3	103001,1	24,10	3	8
354	20000001	4	103001,1	24,5	3	4
355	20000001	5	103001,1	24,5	3	4
356	20000002	1	103002,1	23,15	3	12
357	20000002	2	103002,1	23,10	3	8
358	20000002	3	103002,1	23,10	3	8
359	20000002	4	103002,1	23,5	3	4
360	20000002	5	103002,1	23,5	3	4
361	20000003	1	103003,1	21,15	3	12
362	20000003	2	103003,1	21,10	3	8
363	20000003	3	103003,1	21,10	3	8
364	20000003	4	103003,1	21,5	3	4
365	20000003	5	103003,1	21,5	3	4
366	20000004	1	103004,1	25,15	3	12
367	20000004	2	103004,1	25,10	3	8
368	20000004	3	103004,1	25,10	3	8
369	20000004	4	103004,1	25,5	3	4
370	20000004	5	103004,1	25,5	3	4
371	20000005	1	103005,1	22,15	3	12
372	20000005	2	103005,1	22,10	3	8
373	20000005	3	103005,1	22,10	3	8
374	20000005	4	103005,1	22,5	3	4
375	20000005	5	103005,1	22,5	3	4
376	20000006	1	103006,1	26,15	3	12
377	20000006	2	103006,1	26,10	3	8
378	20000006	3	103006,1	26,10	3	8
379	20000006	4	103006,1	26,5	3	4
380	20000006	5	103006,1	26,5	3	4
381	20000007	1	103007,1	3,5	3	12
382	20000007	2	103007,1	3,3	3	8
383	20000007	3	103007,1	3,3	3	8
384	20000007	4	103007,1	3,2	3	4
385	20000007	5	103007,1	3,2	3	4
386	20000008	1	103008,1	3,5	3	12
387	20000008	2	103008,1	3,3	3	8
388	20000008	3	103008,1	3,3	3	8
389	20000008	4	103008,1	3,2	3	4
390	20000008	5	103008,1	3,2	3	4
391	20000009	1	103016,1	1,48	3	12
392	20000009	2	103016,1	1,32	3	8
393	20000009	3	103016,1	1,32	3	8
394	20000009	4	103016,1	1,16	3	4
395	20000009	5	103016,1	1,16	3	4
396	20000010	1	103017,1	4,5	3	12
397	20000010	2	103017,1	4,3	3	8
398	20000010	3	103017,1	4,3	3	8
399	20000010	4	103017,1	4,2	3	4
400	20000010	5	103017,1	4,2	3	4
401	20000011	1	103018,1	3,5	3	12
402	20000011	2	103018,1	3,3	3	8
403	20000011	3	103018,1	3,3	3	8
404	20000011	4	103018,1	3,2	3	4
405	20000011	5	103018,1	3,2	3	4
406	20000012	1	103019,1	1,48	3	12
407	20000012	2	103019,1	1,32	3	8
408	20000012	3	103019,1	1,32	3	8
409	20000012	4	103019,1	1,16	3	4
410	20000012	5	103019,1	1,16	3	4
411	20000013	1	103020,1	1,48	3	12
412	20000013	2	103020,1	1,32	3	8
413	20000013	3	103020,1	1,32	3	8
414	20000013	4	103020,1	1,16	3	4
415	20000013	5	103020,1	1,16	3	4
416	20000014	1	103021,1	4,5	3	12
417	20000014	2	103021,1	4,3	3	8
418	20000014	3	103021,1	4,3	3	8
419	20000014	4	103021,1	4,2	3	4
420	20000014	5	103021,1	4,2	3	4
421	20000015	1	103009,1	1,48	3	12
422	20000015	2	103009,1	1,32	3	8
423	20000015	3	103009,1	1,32	3	8
424	20000015	4	103009,1	1,16	3	4
425	20000015	5	103009,1	1,16	3	4
426	20000016	1	103022,1	4,5	3	12
427	20000016	2	103022,1	4,3	3	8
428	20000016	3	103022,1	4,3	3	8
429	20000016	4	103022,1	4,2	3	4
430	20000016	5	103022,1	4,2	3	4
431	20000017	1	103023,1	3,5	3	12
432	20000017	2	103023,1	3,3	3	8
433	20000017	3	103023,1	3,3	3	8
434	20000017	4	103023,1	3,2	3	4
435	20000017	5	103023,1	3,2	3	4
436	20000018	1	103010,1	4,5	3	12
437	20000018	2	103010,1	4,3	3	8
438	20000018	3	103010,1	4,3	3	8
439	20000018	4	103010,1	4,2	3	4
440	20000018	5	103010,1	4,2	3	4
441	20000019	1	103011,1	3,5	3	12
442	20000019	2	103011,1	3,3	3	8
443	20000019	3	103011,1	3,3	3	8
444	20000019	4	103011,1	3,2	3	4
445	20000019	5	103011,1	3,2	3	4
446	20000020	1	103024,1	1,48	3	12
447	20000020	2	103024,1	1,32	3	8
448	20000020	3	103024,1	1,32	3	8
449	20000020	4	103024,1	1,16	3	4
450	20000020	5	103024,1	1,16	3	4
451	20000021	1	103025,1	1,48	3	12
452	20000021	2	103025,1	1,32	3	8
453	20000021	3	103025,1	1,32	3	8
454	20000021	4	103025,1	1,16	3	4
455	20000021	5	103025,1	1,16	3	4
456	20000022	1	103026,1	4,5	3	12
457	20000022	2	103026,1	4,3	3	8
458	20000022	3	103026,1	4,3	3	8
459	20000022	4	103026,1	4,2	3	4
460	20000022	5	103026,1	4,2	3	4
461	20000023	1	103012,1	3,5	3	12
462	20000023	2	103012,1	3,3	3	8
463	20000023	3	103012,1	3,3	3	8
464	20000023	4	103012,1	3,2	3	4
465	20000023	5	103012,1	3,2	3	4
466	20000024	1	103027,1	1,48	3	12
467	20000024	2	103027,1	1,32	3	8
468	20000024	3	103027,1	1,32	3	8
469	20000024	4	103027,1	1,16	3	4
470	20000024	5	103027,1	1,16	3	4
471	20000025	1	103028,1	3,5	3	12
472	20000025	2	103028,1	3,3	3	8
473	20000025	3	103028,1	3,3	3	8
474	20000025	4	103028,1	3,2	3	4
475	20000025	5	103028,1	3,2	3	4
476	20000026	1	103013,1	4,5	3	12
477	20000026	2	103013,1	4,3	3	8
478	20000026	3	103013,1	4,3	3	8
479	20000026	4	103013,1	4,2	3	4
480	20000026	5	103013,1	4,2	3	4
481	20000027	1	103029,1	1,48	3	12
482	20000027	2	103029,1	1,32	3	8
483	20000027	3	103029,1	1,32	3	8
484	20000027	4	103029,1	1,16	3	4
485	20000027	5	103029,1	1,16	3	4
486	20000028	1	103014,1	1,48	3	12
487	20000028	2	103014,1	1,32	3	8
488	20000028	3	103014,1	1,32	3	8
489	20000028	4	103014,1	1,16	3	4
490	20000028	5	103014,1	1,16	3	4
491	20000029	1	103030,1	3,5	3	12
492	20000029	2	103030,1	3,3	3	8
493	20000029	3	103030,1	3,3	3	8
494	20000029	4	103030,1	3,2	3	4
495	20000029	5	103030,1	3,2	3	4
496	20000030	1	103031,1	1,48	3	12
497	20000030	2	103031,1	1,32	3	8
498	20000030	3	103031,1	1,32	3	8
499	20000030	4	103031,1	1,16	3	4
500	20000030	5	103031,1	1,16	3	4
501	20000031	1	103032,1	4,5	3	12
502	20000031	2	103032,1	4,3	3	8
503	20000031	3	103032,1	4,3	3	8
504	20000031	4	103032,1	4,2	3	4
505	20000031	5	103032,1	4,2	3	4
506	20000032	1	103033,1	1,48	3	12
507	20000032	2	103033,1	1,32	3	8
508	20000032	3	103033,1	1,32	3	8
509	20000032	4	103033,1	1,16	3	4
510	20000032	5	103033,1	1,16	3	4
511	20000033	1	103015,1	4,5	3	12
512	20000033	2	103015,1	4,3	3	8
513	20000033	3	103015,1	4,3	3	8
514	20000033	4	103015,1	4,2	3	4
515	20000033	5	103015,1	4,2	3	4
516	20000034	1	103034,1	1,48	3	12
517	20000034	2	103034,1	1,32	3	8
518	20000034	3	103034,1	1,32	3	8
519	20000034	4	103034,1	1,16	3	4
520	20000034	5	103034,1	1,16	3	4
521	20000035	1	103001,1;103002,1;103003,1;103004,1;103005,1;103006,1	11,12;13,12;12,12	18	54
522	20000035	2	103001,1;103002,1;103003,1;103004,1;103005,1;103006,1	11,8;13,8;12,8	18	36
523	20000035	3	103001,1;103002,1;103003,1;103004,1;103005,1;103006,1	11,8;13,8;12,8	18	36
524	20000035	4	103001,1;103002,1;103003,1;103004,1;103005,1;103006,1	11,4;13,4;12,4	18	18
525	20000035	5	103001,1;103002,1;103003,1;103004,1;103005,1;103006,1	11,4;13,4;12,4	18	18
526	20000036	1	103001,1;103002,1	1,36;3,4	6	18
527	20000036	2	103001,1;103002,1	1,24;3,2	6	12
528	20000036	3	103001,1;103002,1	1,24;3,2	6	12
529	20000036	4	103001,1;103002,1	1,12;3,1	6	6
530	20000036	5	103001,1;103002,1	1,12;3,1	6	6
531	20000037	1	103001,1;103006,1	1,36;4,4	6	18
532	20000037	2	103001,1;103006,1	1,24;4,2	6	12
533	20000037	3	103001,1;103006,1	1,24;4,2	6	12
534	20000037	4	103001,1;103006,1	1,12;4,1	6	6
535	20000037	5	103001,1;103006,1	1,12;4,1	6	6
536	20000038	1	103005,1;103007,1;103008,1	21,12;22,12;23,12	9	27
537	20000038	2	103005,1;103007,1;103008,1	21,8;22,8;23,8	9	18
538	20000038	3	103005,1;103007,1;103008,1	21,8;22,8;23,8	9	18
539	20000038	4	103005,1;103007,1;103008,1	21,4;22,4;23,4	9	9
540	20000038	5	103005,1;103007,1;103008,1	21,4;22,4;23,4	9	9
541	20000039	1	103002,1;103003,1;103004,1	25,12;26,12;24,12	9	27
542	20000039	2	103002,1;103003,1;103004,1	25,8;26,8;24,8	9	18
543	20000039	3	103002,1;103003,1;103004,1	25,8;26,8;24,8	9	18
544	20000039	4	103002,1;103003,1;103004,1	25,4;26,4;24,4	9	9
545	20000039	5	103002,1;103003,1;103004,1	25,4;26,4;24,4	9	9
546	20000040	1	103016,1;103017,1;103018,1;103019,1;103020,1;103021,1	54,2;56,2;58,2;60,2	18	48
547	20000040	2	103016,1;103017,1;103018,1;103019,1;103020,1;103021,1	54,2;56,2;58,2;60,2	18	32
548	20000040	3	103016,1;103017,1;103018,1;103019,1;103020,1;103021,1	54,2;56,2;58,2;60,2	18	32
