ID	场景	世界等级小	世界等级大	难度	展示怪物组	界面展示怪物缩放	对应坐标组	奖励展示	boss描述	击杀个人积分	击杀服务器积分	伤害达标服务器积分
20	57	61	70	1	monster36700003;monster36700003_1;monster36700003_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	100	1000	100
21	53	71	80	1	monster36700004;monster36700004_1;monster36700004_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	100	1000	100
22	54	71	80	1	monster36700005;monster36700005_1;monster36700005_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	100	1000	0
23	55	71	80	1	monster36700002;monster36700002_1;monster36700002_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	100	1000	0
24	56	71	80	1	monster36700001;monster36700001_1;monster36700001_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	100	1000	0
25	57	71	80	1	monster36700003;monster36700003_1;monster36700003_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	100	1000	0
26	53	81	90	1	monster36700004;monster36700004_1;monster36700004_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	100	1000	0
27	54	81	90	1	monster36700005;monster36700005_1;monster36700005_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	100	1000	0
28	55	81	90	1	monster36700002;monster36700002_1;monster36700002_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	100	1000	0
29	56	81	90	1	monster36700001;monster36700001_1;monster36700001_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	100	1000	0
30	57	81	90	1	monster36700003;monster36700003_1;monster36700003_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	100	1000	0
31	53	91	100	1	monster36700004;monster36700004_1;monster36700004_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	100	1000	0
32	54	91	100	1	monster36700005;monster36700005_1;monster36700005_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	100	1000	0
33	55	91	100	1	monster36700002;monster36700002_1;monster36700002_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	100	1000	0
34	56	91	100	1	monster36700001;monster36700001_1;monster36700001_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	100	1000	0
35	57	91	100	1	monster36700003;monster36700003_1;monster36700003_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	100	1000	0
36	53	101	110	1	monster36700004;monster36700004_1;monster36700004_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	100	1000	0
37	54	101	110	1	monster36700005;monster36700005_1;monster36700005_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	100	1000	0
38	55	101	110	1	monster36700002;monster36700002_1;monster36700002_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	100	1000	0
39	56	101	110	1	monster36700001;monster36700001_1;monster36700001_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	100	1000	0
40	57	101	110	1	monster36700003;monster36700003_1;monster36700003_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	100	1000	0
41	53	1	40	2	monster36700014;monster36700014_1;monster36700014_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	250	2500	0
42	54	1	40	2	monster36700015;monster36700015_1;monster36700015_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	250	2500	0
43	55	1	40	2	monster36700012;monster36700012_1;monster36700012_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	250	2500	0
44	56	1	40	2	monster36700011;monster36700011_1;monster36700011_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	250	2500	0
45	57	1	40	2	monster36700013;monster36700013_1;monster36700013_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	250	2500	0
46	53	41	50	2	monster36700014;monster36700014_1;monster36700014_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	250	2500	0
47	54	41	50	2	monster36700015;monster36700015_1;monster36700015_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	250	2500	0
48	55	41	50	2	monster36700012;monster36700012_1;monster36700012_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	250	2500	0
49	56	41	50	2	monster36700011;monster36700011_1;monster36700011_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	250	2500	0
50	57	41	50	2	monster36700013;monster36700013_1;monster36700013_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	250	2500	0
51	53	51	60	2	monster36700014;monster36700014_1;monster36700014_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	250	2500	0
52	54	51	60	2	monster36700015;monster36700015_1;monster36700015_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	250	2500	0
53	55	51	60	2	monster36700012;monster36700012_1;monster36700012_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	250	2500	0
54	56	51	60	2	monster36700011;monster36700011_1;monster36700011_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	250	2500	0
55	57	51	60	2	monster36700013;monster36700013_1;monster36700013_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	250	2500	0
56	53	61	70	2	monster36700014;monster36700014_1;monster36700014_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	250	2500	0
