流水号	星灵ID	蕴养类型	蕴养等级	属性加成	需要经验	评分类型	值/公式
65	170000002	1	12	4800	10000	1	6
66	170000002	1	13	5200	10800	1	6
67	170000002	1	14	5600	11600	1	6
68	170000002	1	15	6000	12400	1	6
69	170000002	1	16	6400	13200	1	6
70	170000002	1	17	6800	14000	1	6
71	170000002	1	18	7200	14800	1	6
72	170000002	1	19	7600	15600	1	6
73	170000002	1	20	8000	16400	1	6
74	170000002	1	21	8400	17200	1	6
75	170000002	1	22	8800	18000	1	6
76	170000002	1	23	9200	18800	1	6
77	170000002	1	24	9600	19600	1	6
78	170000002	1	25	10000	0	1	6
79	170000002	2	0	0	400	1	6
80	170000002	2	1	400	1200	1	6
81	170000002	2	2	800	2000	1	6
82	170000002	2	3	1200	2800	1	6
83	170000002	2	4	1600	3600	1	6
84	170000002	2	5	2000	4400	1	6
85	170000002	2	6	2400	5200	1	6
86	170000002	2	7	2800	6000	1	6
87	170000002	2	8	3200	6800	1	6
88	170000002	2	9	3600	7600	1	6
89	170000002	2	10	4000	8400	1	6
90	170000002	2	11	4400	9200	1	6
91	170000002	2	12	4800	10000	1	6
92	170000002	2	13	5200	10800	1	6
93	170000002	2	14	5600	11600	1	6
94	170000002	2	15	6000	12400	1	6
95	170000002	2	16	6400	13200	1	6
96	170000002	2	17	6800	14000	1	6
97	170000002	2	18	7200	14800	1	6
98	170000002	2	19	7600	15600	1	6
99	170000002	2	20	8000	16400	1	6
100	170000002	2	21	8400	17200	1	6
101	170000002	2	22	8800	18000	1	6
102	170000002	2	23	9200	18800	1	6
103	170000002	2	24	9600	19600	1	6
104	170000002	2	25	10000	0	1	6
105	170000003	1	0	0	400	1	6
106	170000003	1	1	400	1200	1	6
107	170000003	1	2	800	2000	1	6
108	170000003	1	3	1200	2800	1	6
109	170000003	1	4	1600	3600	1	6
110	170000003	1	5	2000	4400	1	6
111	170000003	1	6	2400	5200	1	6
112	170000003	1	7	2800	6000	1	6
113	170000003	1	8	3200	6800	1	6
114	170000003	1	9	3600	7600	1	6
115	170000003	1	10	4000	8400	1	6
116	170000003	1	11	4400	9200	1	6
117	170000003	1	12	4800	10000	1	6
118	170000003	1	13	5200	10800	1	6
119	170000003	1	14	5600	11600	1	6
120	170000003	1	15	6000	12400	1	6
121	170000003	1	16	6400	13200	1	6
122	170000003	1	17	6800	14000	1	6
123	170000003	1	18	7200	14800	1	6
124	170000003	1	19	7600	15600	1	6
125	170000003	1	20	8000	16400	1	6
126	170000003	1	21	8400	17200	1	6
127	170000003	1	22	8800	18000	1	6
128	170000003	1	23	9200	18800	1	6
129	170000003	1	24	9600	19600	1	6
130	170000003	1	25	10000	0	1	6
131	170000003	2	0	0	400	1	6
132	170000003	2	1	400	1200	1	6
133	170000003	2	2	800	2000	1	6
134	170000003	2	3	1200	2800	1	6
135	170000003	2	4	1600	3600	1	6
136	170000003	2	5	2000	4400	1	6
137	170000003	2	6	2400	5200	1	6
138	170000003	2	7	2800	6000	1	6
139	170000003	2	8	3200	6800	1	6
140	170000003	2	9	3600	7600	1	6
141	170000003	2	10	4000	8400	1	6
142	170000003	2	11	4400	9200	1	6
143	170000003	2	12	4800	10000	1	6
144	170000003	2	13	5200	10800	1	6
145	170000003	2	14	5600	11600	1	6
146	170000003	2	15	6000	12400	1	6
147	170000003	2	16	6400	13200	1	6
148	170000003	2	17	6800	14000	1	6
149	170000003	2	18	7200	14800	1	6
150	170000003	2	19	7600	15600	1	6
151	170000003	2	20	8000	16400	1	6
152	170000003	2	21	8400	17200	1	6
153	170000003	2	22	8800	18000	1	6
154	170000003	2	23	9200	18800	1	6
155	170000003	2	24	9600	19600	1	6
156	170000003	2	25	10000	0	1	6
157	170000004	1	0	0	400	1	6
158	170000004	1	1	400	1200	1	6
159	170000004	1	2	800	2000	1	6
160	170000004	1	3	1200	2800	1	6
161	170000004	1	4	1600	3600	1	6
162	170000004	1	5	2000	4400	1	6
163	170000004	1	6	2400	5200	1	6
164	170000004	1	7	2800	6000	1	6
165	170000004	1	8	3200	6800	1	6
166	170000004	1	9	3600	7600	1	6
167	170000004	1	10	4000	8400	1	6
168	170000004	1	11	4400	9200	1	6
169	170000004	1	12	4800	10000	1	6
170	170000004	1	13	5200	10800	1	6
171	170000004	1	14	5600	11600	1	6
172	170000004	1	15	6000	12400	1	6
173	170000004	1	16	6400	13200	1	6
174	170000004	1	17	6800	14000	1	6
175	170000004	1	18	7200	14800	1	6
176	170000004	1	19	7600	15600	1	6
177	170000004	1	20	8000	16400	1	6
178	170000004	1	21	8400	17200	1	6
179	170000004	1	22	8800	18000	1	6
180	170000004	1	23	9200	18800	1	6
181	170000004	1	24	9600	19600	1	6
182	170000004	1	25	10000	0	1	6
183	170000004	2	0	0	400	1	6
184	170000004	2	1	400	1200	1	6
185	170000004	2	2	800	2000	1	6
186	170000004	2	3	1200	2800	1	6
187	170000004	2	4	1600	3600	1	6
188	170000004	2	5	2000	4400	1	6
189	170000004	2	6	2400	5200	1	6
190	170000004	2	7	2800	6000	1	6
191	170000004	2	8	3200	6800	1	6
192	170000004	2	9	3600	7600	1	6
193	170000004	2	10	4000	8400	1	6
194	170000004	2	11	4400	9200	1	6
195	170000004	2	12	4800	10000	1	6
196	170000004	2	13	5200	10800	1	6
197	170000004	2	14	5600	11600	1	6
198	170000004	2	15	6000	12400	1	6
199	170000004	2	16	6400	13200	1	6
200	170000004	2	17	6800	14000	1	6
201	170000004	2	18	7200	14800	1	6
202	170000004	2	19	7600	15600	1	6
203	170000004	2	20	8000	16400	1	6
204	170000004	2	21	8400	17200	1	6
205	170000004	2	22	8800	18000	1	6
206	170000004	2	23	9200	18800	1	6
207	170000004	2	24	9600	19600	1	6
208	170000004	2	25	10000	0	1	6
209	170000005	1	0	0	120	1	6
210	170000005	1	1	400	360	1	6
211	170000005	1	2	800	600	1	6
212	170000005	1	3	1200	840	1	6
213	170000005	1	4	1600	1080	1	6
214	170000005	1	5	2000	1320	1	6
215	170000005	1	6	2400	1560	1	6
216	170000005	1	7	2800	1800	1	6
217	170000005	1	8	3200	2040	1	6
218	170000005	1	9	3600	2280	1	6
219	170000005	1	10	4000	2520	1	6
220	170000005	1	11	4400	2760	1	6
221	170000005	1	12	4800	3000	1	6
222	170000005	1	13	5200	3240	1	6
223	170000005	1	14	5600	3480	1	6
224	170000005	1	15	6000	3720	1	6
225	170000005	1	16	6400	3960	1	6
226	170000005	1	17	6800	4200	1	6
227	170000005	1	18	7200	4440	1	6
228	170000005	1	19	7600	4680	1	6
229	170000005	1	20	8000	4920	1	6
230	170000005	1	21	8400	5160	1	6
231	170000005	1	22	8800	5400	1	6
232	170000005	1	23	9200	5640	1	6
233	170000005	1	24	9600	5880	1	6
234	170000005	1	25	10000	0	1	6
235	170000005	2	0	0	120	1	6
236	170000005	2	1	400	360	1	6
237	170000005	2	2	800	600	1	6
238	170000005	2	3	1200	840	1	6
239	170000005	2	4	1600	1080	1	6
240	170000005	2	5	2000	1320	1	6
241	170000005	2	6	2400	1560	1	6
242	170000005	2	7	2800	1800	1	6
243	170000005	2	8	3200	2040	1	6
244	170000005	2	9	3600	2280	1	6
245	170000005	2	10	4000	2520	1	6
246	170000005	2	11	4400	2760	1	6
247	170000005	2	12	4800	3000	1	6
248	170000005	2	13	5200	3240	1	6
249	170000005	2	14	5600	3480	1	6
250	170000005	2	15	6000	3720	1	6
251	170000005	2	16	6400	3960	1	6
252	170000005	2	17	6800	4200	1	6
253	170000005	2	18	7200	4440	1	6
254	170000005	2	19	7600	4680	1	6
255	170000005	2	20	8000	4920	1	6
256	170000005	2	21	8400	5160	1	6
257	170000005	2	22	8800	5400	1	6
258	170000005	2	23	9200	5640	1	6
259	170000005	2	24	9600	5880	1	6
260	170000005	2	25	10000	0	1	6
261	170000006	1	0	0	120	1	6
262	170000006	1	1	400	360	1	6
263	170000006	1	2	800	600	1	6
264	170000006	1	3	1200	840	1	6
265	170000006	1	4	1600	1080	1	6
266	170000006	1	5	2000	1320	1	6
267	170000006	1	6	2400	1560	1	6
268	170000006	1	7	2800	1800	1	6
269	170000006	1	8	3200	2040	1	6
270	170000006	1	9	3600	2280	1	6
271	170000006	1	10	4000	2520	1	6
272	170000006	1	11	4400	2760	1	6
273	170000006	1	12	4800	3000	1	6
274	170000006	1	13	5200	3240	1	6
275	170000006	1	14	5600	3480	1	6
276	170000006	1	15	6000	3720	1	6
277	170000006	1	16	6400	3960	1	6
278	170000006	1	17	6800	4200	1	6
279	170000006	1	18	7200	4440	1	6
280	170000006	1	19	7600	4680	1	6
281	170000006	1	20	8000	4920	1	6
282	170000006	1	21	8400	5160	1	6
283	170000006	1	22	8800	5400	1	6
284	170000006	1	23	9200	5640	1	6
285	170000006	1	24	9600	5880	1	6
286	170000006	1	25	10000	0	1	6
287	170000006	2	0	0	120	1	6
288	170000006	2	1	400	360	1	6
289	170000006	2	2	800	600	1	6
290	170000006	2	3	1200	840	1	6
291	170000006	2	4	1600	1080	1	6
292	170000006	2	5	2000	1320	1	6
293	170000006	2	6	2400	1560	1	6
294	170000006	2	7	2800	1800	1	6
295	170000006	2	8	3200	2040	1	6
296	170000006	2	9	3600	2280	1	6
297	170000006	2	10	4000	2520	1	6
298	170000006	2	11	4400	2760	1	6
299	170000006	2	12	4800	3000	1	6
300	170000006	2	13	5200	3240	1	6
301	170000006	2	14	5600	3480	1	6
302	170000006	2	15	6000	3720	1	6
303	170000006	2	16	6400	3960	1	6
304	170000006	2	17	6800	4200	1	6
305	170000006	2	18	7200	4440	1	6
306	170000006	2	19	7600	4680	1	6
307	170000006	2	20	8000	4920	1	6
308	170000006	2	21	8400	5160	1	6
309	170000006	2	22	8800	5400	1	6
310	170000006	2	23	9200	5640	1	6
311	170000006	2	24	9600	5880	1	6
312	170000006	2	25	10000	0	1	6
313	170000007	1	0	0	120	1	6
314	170000007	1	1	400	360	1	6
315	170000007	1	2	800	600	1	6
316	170000007	1	3	1200	840	1	6
317	170000007	1	4	1600	1080	1	6
318	170000007	1	5	2000	1320	1	6
319	170000007	1	6	2400	1560	1	6
320	170000007	1	7	2800	1800	1	6
321	170000007	1	8	3200	2040	1	6
322	170000007	1	9	3600	2280	1	6
323	170000007	1	10	4000	2520	1	6
324	170000007	1	11	4400	2760	1	6
325	170000007	1	12	4800	3000	1	6
326	170000007	1	13	5200	3240	1	6
327	170000007	1	14	5600	3480	1	6
328	170000007	1	15	6000	3720	1	6
329	170000007	1	16	6400	3960	1	6
330	170000007	1	17	6800	4200	1	6
331	170000007	1	18	7200	4440	1	6
332	170000007	1	19	7600	4680	1	6
333	170000007	1	20	8000	4920	1	6
334	170000007	1	21	8400	5160	1	6
335	170000007	1	22	8800	5400	1	6
336	170000007	1	23	9200	5640	1	6
337	170000007	1	24	9600	5880	1	6
338	170000007	1	25	10000	0	1	6
339	170000007	2	0	0	120	1	6
340	170000007	2	1	400	360	1	6
341	170000007	2	2	800	600	1	6
342	170000007	2	3	1200	840	1	6
343	170000007	2	4	1600	1080	1	6
344	170000007	2	5	2000	1320	1	6
345	170000007	2	6	2400	1560	1	6
346	170000007	2	7	2800	1800	1	6
347	170000007	2	8	3200	2040	1	6
348	170000007	2	9	3600	2280	1	6
349	170000007	2	10	4000	2520	1	6
350	170000007	2	11	4400	2760	1	6
351	170000007	2	12	4800	3000	1	6
352	170000007	2	13	5200	3240	1	6
353	170000007	2	14	5600	3480	1	6
354	170000007	2	15	6000	3720	1	6
355	170000007	2	16	6400	3960	1	6
356	170000007	2	17	6800	4200	1	6
357	170000007	2	18	7200	4440	1	6
358	170000007	2	19	7600	4680	1	6
359	170000007	2	20	8000	4920	1	6
360	170000007	2	21	8400	5160	1	6
361	170000007	2	22	8800	5400	1	6
362	170000007	2	23	9200	5640	1	6
363	170000007	2	24	9600	5880	1	6
364	170000007	2	25	10000	0	1	6
365	170000008	1	0	0	120	1	6
366	170000008	1	1	400	360	1	6
367	170000008	1	2	800	600	1	6
368	170000008	1	3	1200	840	1	6
369	170000008	1	4	1600	1080	1	6
370	170000008	1	5	2000	1320	1	6
371	170000008	1	6	2400	1560	1	6
372	170000008	1	7	2800	1800	1	6
373	170000008	1	8	3200	2040	1	6
374	170000008	1	9	3600	2280	1	6
375	170000008	1	10	4000	2520	1	6
376	170000008	1	11	4400	2760	1	6
377	170000008	1	12	4800	3000	1	6
378	170000008	1	13	5200	3240	1	6
379	170000008	1	14	5600	3480	1	6
380	170000008	1	15	6000	3720	1	6
381	170000008	1	16	6400	3960	1	6
382	170000008	1	17	6800	4200	1	6
383	170000008	1	18	7200	4440	1	6
384	170000008	1	19	7600	4680	1	6
385	170000008	1	20	8000	4920	1	6
386	170000008	1	21	8400	5160	1	6
387	170000008	1	22	8800	5400	1	6
388	170000008	1	23	9200	5640	1	6
389	170000008	1	24	9600	5880	1	6
390	170000008	1	25	10000	0	1	6
391	170000008	2	0	0	120	1	6
392	170000008	2	1	400	360	1	6
393	170000008	2	2	800	600	1	6
394	170000008	2	3	1200	840	1	6
395	170000008	2	4	1600	1080	1	6
396	170000008	2	5	2000	1320	1	6
397	170000008	2	6	2400	1560	1	6
398	170000008	2	7	2800	1800	1	6
399	170000008	2	8	3200	2040	1	6
400	170000008	2	9	3600	2280	1	6
401	170000008	2	10	4000	2520	1	6
402	170000008	2	11	4400	2760	1	6
403	170000008	2	12	4800	3000	1	6
404	170000008	2	13	5200	3240	1	6
405	170000008	2	14	5600	3480	1	6
406	170000008	2	15	6000	3720	1	6
407	170000008	2	16	6400	3960	1	6
408	170000008	2	17	6800	4200	1	6
409	170000008	2	18	7200	4440	1	6
410	170000008	2	19	7600	4680	1	6
411	170000008	2	20	8000	4920	1	6
412	170000008	2	21	8400	5160	1	6
413	170000008	2	22	8800	5400	1	6
414	170000008	2	23	9200	5640	1	6
415	170000008	2	24	9600	5880	1	6
416	170000008	2	25	10000	0	1	6
417	170000009	1	0	0	120	1	6
418	170000009	1	1	400	360	1	6
419	170000009	1	2	800	600	1	6
420	170000009	1	3	1200	840	1	6
421	170000009	1	4	1600	1080	1	6
422	170000009	1	5	2000	1320	1	6
423	170000009	1	6	2400	1560	1	6
424	170000009	1	7	2800	1800	1	6
425	170000009	1	8	3200	2040	1	6
426	170000009	1	9	3600	2280	1	6
427	170000009	1	10	4000	2520	1	6
428	170000009	1	11	4400	2760	1	6
429	170000009	1	12	4800	3000	1	6
430	170000009	1	13	5200	3240	1	6
431	170000009	1	14	5600	3480	1	6
432	170000009	1	15	6000	3720	1	6
433	170000009	1	16	6400	3960	1	6
434	170000009	1	17	6800	4200	1	6
435	170000009	1	18	7200	4440	1	6
436	170000009	1	19	7600	4680	1	6
437	170000009	1	20	8000	4920	1	6
438	170000009	1	21	8400	5160	1	6
439	170000009	1	22	8800	5400	1	6
440	170000009	1	23	9200	5640	1	6
441	170000009	1	24	9600	5880	1	6
442	170000009	1	25	10000	0	1	6
443	170000009	2	0	0	120	1	6
444	170000009	2	1	400	360	1	6
445	170000009	2	2	800	600	1	6
446	170000009	2	3	1200	840	1	6
447	170000009	2	4	1600	1080	1	6
448	170000009	2	5	2000	1320	1	6
449	170000009	2	6	2400	1560	1	6
450	170000009	2	7	2800	1800	1	6
451	170000009	2	8	3200	2040	1	6
452	170000009	2	9	3600	2280	1	6
453	170000009	2	10	4000	2520	1	6
454	170000009	2	11	4400	2760	1	6
455	170000009	2	12	4800	3000	1	6
456	170000009	2	13	5200	3240	1	6
457	170000009	2	14	5600	3480	1	6
458	170000009	2	15	6000	3720	1	6
459	170000009	2	16	6400	3960	1	6
460	170000009	2	17	6800	4200	1	6
461	170000009	2	18	7200	4440	1	6
462	170000009	2	19	7600	4680	1	6
463	170000009	2	20	8000	4920	1	6
464	170000009	2	21	8400	5160	1	6
465	170000009	2	22	8800	5400	1	6
466	170000009	2	23	9200	5640	1	6
467	170000009	2	24	9600	5880	1	6
468	170000009	2	25	10000	0	1	6
469	170000010	1	0	0	120	1	6
470	170000010	1	1	400	360	1	6
471	170000010	1	2	800	600	1	6
472	170000010	1	3	1200	840	1	6
473	170000010	1	4	1600	1080	1	6
474	170000010	1	5	2000	1320	1	6
475	170000010	1	6	2400	1560	1	6
476	170000010	1	7	2800	1800	1	6
477	170000010	1	8	3200	2040	1	6
478	170000010	1	9	3600	2280	1	6
479	170000010	1	10	4000	2520	1	6
480	170000010	1	11	4400	2760	1	6
481	170000010	1	12	4800	3000	1	6
482	170000010	1	13	5200	3240	1	6
483	170000010	1	14	5600	3480	1	6
484	170000010	1	15	6000	3720	1	6
485	170000010	1	16	6400	3960	1	6
486	170000010	1	17	6800	4200	1	6
487	170000010	1	18	7200	4440	1	6
488	170000010	1	19	7600	4680	1	6
489	170000010	1	20	8000	4920	1	6
490	170000010	1	21	8400	5160	1	6
491	170000010	1	22	8800	5400	1	6
492	170000010	1	23	9200	5640	1	6
493	170000010	1	24	9600	5880	1	6
494	170000010	1	25	10000	0	1	6
495	170000010	2	0	0	120	1	6
496	170000010	2	1	400	360	1	6
497	170000010	2	2	800	600	1	6
498	170000010	2	3	1200	840	1	6
499	170000010	2	4	1600	1080	1	6
500	170000010	2	5	2000	1320	1	6
501	170000010	2	6	2400	1560	1	6
502	170000010	2	7	2800	1800	1	6
503	170000010	2	8	3200	2040	1	6
504	170000010	2	9	3600	2280	1	6
505	170000010	2	10	4000	2520	1	6
506	170000010	2	11	4400	2760	1	6
507	170000010	2	12	4800	3000	1	6
508	170000010	2	13	5200	3240	1	6
509	170000010	2	14	5600	3480	1	6
510	170000010	2	15	6000	3720	1	6
511	170000010	2	16	6400	3960	1	6
512	170000010	2	17	6800	4200	1	6
513	170000010	2	18	7200	4440	1	6
514	170000010	2	19	7600	4680	1	6
515	170000010	2	20	8000	4920	1	6
516	170000010	2	21	8400	5160	1	6
517	170000010	2	22	8800	5400	1	6
518	170000010	2	23	9200	5640	1	6
519	170000010	2	24	9600	5880	1	6
520	170000010	2	25	10000	0	1	6
521	170000011	1	0	0	120	1	6
522	170000011	1	1	400	360	1	6
523	170000011	1	2	800	600	1	6
524	170000011	1	3	1200	840	1	6
525	170000011	1	4	1600	1080	1	6
526	170000011	1	5	2000	1320	1	6
527	170000011	1	6	2400	1560	1	6
528	170000011	1	7	2800	1800	1	6
529	170000011	1	8	3200	2040	1	6
530	170000011	1	9	3600	2280	1	6
531	170000011	1	10	4000	2520	1	6
532	170000011	1	11	4400	2760	1	6
533	170000011	1	12	4800	3000	1	6
534	170000011	1	13	5200	3240	1	6
535	170000011	1	14	5600	3480	1	6
536	170000011	1	15	6000	3720	1	6
537	170000011	1	16	6400	3960	1	6
538	170000011	1	17	6800	4200	1	6
539	170000011	1	18	7200	4440	1	6
540	170000011	1	19	7600	4680	1	6
541	170000011	1	20	8000	4920	1	6
542	170000011	1	21	8400	5160	1	6
543	170000011	1	22	8800	5400	1	6
544	170000011	1	23	9200	5640	1	6
545	170000011	1	24	9600	5880	1	6
546	170000011	1	25	10000	0	1	6
547	170000011	2	0	0	120	1	6
548	170000011	2	1	400	360	1	6
549	170000011	2	2	800	600	1	6
550	170000011	2	3	1200	840	1	6
551	170000011	2	4	1600	1080	1	6
552	170000011	2	5	2000	1320	1	6
553	170000011	2	6	2400	1560	1	6
554	170000011	2	7	2800	1800	1	6
555	170000011	2	8	3200	2040	1	6
556	170000011	2	9	3600	2280	1	6
557	170000011	2	10	4000	2520	1	6
558	170000011	2	11	4400	2760	1	6
559	170000011	2	12	4800	3000	1	6
560	170000011	2	13	5200	3240	1	6
561	170000011	2	14	5600	3480	1	6
562	170000011	2	15	6000	3720	1	6
563	170000011	2	16	6400	3960	1	6
564	170000011	2	17	6800	4200	1	6
565	170000011	2	18	7200	4440	1	6
566	170000011	2	19	7600	4680	1	6
567	170000011	2	20	8000	4920	1	6
568	170000011	2	21	8400	5160	1	6
569	170000011	2	22	8800	5400	1	6
570	170000011	2	23	9200	5640	1	6
571	170000011	2	24	9600	5880	1	6
572	170000011	2	25	10000	0	1	6
573	170000012	1	0	0	120	1	6
574	170000012	1	1	400	360	1	6
575	170000012	1	2	800	600	1	6
576	170000012	1	3	1200	840	1	6
577	170000012	1	4	1600	1080	1	6
578	170000012	1	5	2000	1320	1	6
579	170000012	1	6	2400	1560	1	6
580	170000012	1	7	2800	1800	1	6
581	170000012	1	8	3200	2040	1	6
582	170000012	1	9	3600	2280	1	6
583	170000012	1	10	4000	2520	1	6
584	170000012	1	11	4400	2760	1	6
585	170000012	1	12	4800	3000	1	6
586	170000012	1	13	5200	3240	1	6
587	170000012	1	14	5600	3480	1	6
588	170000012	1	15	6000	3720	1	6
589	170000012	1	16	6400	3960	1	6
590	170000012	1	17	6800	4200	1	6
591	170000012	1	18	7200	4440	1	6
592	170000012	1	19	7600	4680	1	6
593	170000012	1	20	8000	4920	1	6
594	170000012	1	21	8400	5160	1	6
595	170000012	1	22	8800	5400	1	6
596	170000012	1	23	9200	5640	1	6
597	170000012	1	24	9600	5880	1	6
598	170000012	1	25	10000	0	1	6
599	170000012	2	0	0	120	1	6
600	170000012	2	1	400	360	1	6
601	170000012	2	2	800	600	1	6
602	170000012	2	3	1200	840	1	6
603	170000012	2	4	1600	1080	1	6
604	170000012	2	5	2000	1320	1	6
605	170000012	2	6	2400	1560	1	6
606	170000012	2	7	2800	1800	1	6
607	170000012	2	8	3200	2040	1	6
608	170000012	2	9	3600	2280	1	6
609	170000012	2	10	4000	2520	1	6
610	170000012	2	11	4400	2760	1	6
611	170000012	2	12	4800	3000	1	6
612	170000012	2	13	5200	3240	1	6
613	170000012	2	14	5600	3480	1	6
614	170000012	2	15	6000	3720	1	6
615	170000012	2	16	6400	3960	1	6
616	170000012	2	17	6800	4200	1	6
617	170000012	2	18	7200	4440	1	6
618	170000012	2	19	7600	4680	1	6
619	170000012	2	20	8000	4920	1	6
620	170000012	2	21	8400	5160	1	6
621	170000012	2	22	8800	5400	1	6
622	170000012	2	23	9200	5640	1	6
623	170000012	2	24	9600	5880	1	6
624	170000012	2	25	10000	0	1	6
625	170000013	1	0	0	120	1	6
626	170000013	1	1	400	360	1	6
627	170000013	1	2	800	600	1	6
628	170000013	1	3	1200	840	1	6
629	170000013	1	4	1600	1080	1	6
630	170000013	1	5	2000	1320	1	6
631	170000013	1	6	2400	1560	1	6
632	170000013	1	7	2800	1800	1	6
633	170000013	1	8	3200	2040	1	6
634	170000013	1	9	3600	2280	1	6
635	170000013	1	10	4000	2520	1	6
636	170000013	1	11	4400	2760	1	6
637	170000013	1	12	4800	3000	1	6
638	170000013	1	13	5200	3240	1	6
639	170000013	1	14	5600	3480	1	6
640	170000013	1	15	6000	3720	1	6
641	170000013	1	16	6400	3960	1	6
642	170000013	1	17	6800	4200	1	6
643	170000013	1	18	7200	4440	1	6
644	170000013	1	19	7600	4680	1	6
645	170000013	1	20	8000	4920	1	6
646	170000013	1	21	8400	5160	1	6
647	170000013	1	22	8800	5400	1	6
648	170000013	1	23	9200	5640	1	6
649	170000013	1	24	9600	5880	1	6
650	170000013	1	25	10000	0	1	6
651	170000013	2	0	0	120	1	6
652	170000013	2	1	400	360	1	6
653	170000013	2	2	800	600	1	6
654	170000013	2	3	1200	840	1	6
655	170000013	2	4	1600	1080	1	6
656	170000013	2	5	2000	1320	1	6
657	170000013	2	6	2400	1560	1	6
658	170000013	2	7	2800	1800	1	6
659	170000013	2	8	3200	2040	1	6
660	170000013	2	9	3600	2280	1	6
661	170000013	2	10	4000	2520	1	6
662	170000013	2	11	4400	2760	1	6
663	170000013	2	12	4800	3000	1	6
664	170000013	2	13	5200	3240	1	6
665	170000013	2	14	5600	3480	1	6
666	170000013	2	15	6000	3720	1	6
667	170000013	2	16	6400	3960	1	6
668	170000013	2	17	6800	4200	1	6
669	170000013	2	18	7200	4440	1	6
670	170000013	2	19	7600	4680	1	6
671	170000013	2	20	8000	4920	1	6
672	170000013	2	21	8400	5160	1	6
673	170000013	2	22	8800	5400	1	6
674	170000013	2	23	9200	5640	1	6
675	170000013	2	24	9600	5880	1	6
676	170000013	2	25	10000	0	1	6
677	170000014	1	0	0	120	1	6
678	170000014	1	1	400	360	1	6
679	170000014	1	2	800	600	1	6
680	170000014	1	3	1200	840	1	6
681	170000014	1	4	1600	1080	1	6
682	170000014	1	5	2000	1320	1	6
683	170000014	1	6	2400	1560	1	6
684	170000014	1	7	2800	1800	1	6
685	170000014	1	8	3200	2040	1	6
686	170000014	1	9	3600	2280	1	6
687	170000014	1	10	4000	2520	1	6
688	170000014	1	11	4400	2760	1	6
689	170000014	1	12	4800	3000	1	6
690	170000014	1	13	5200	3240	1	6
691	170000014	1	14	5600	3480	1	6
692	170000014	1	15	6000	3720	1	6
693	170000014	1	16	6400	3960	1	6
694	170000014	1	17	6800	4200	1	6
695	170000014	1	18	7200	4440	1	6
696	170000014	1	19	7600	4680	1	6
697	170000014	1	20	8000	4920	1	6
698	170000014	1	21	8400	5160	1	6
699	170000014	1	22	8800	5400	1	6
700	170000014	1	23	9200	5640	1	6
701	170000014	1	24	9600	5880	1	6
