流水ID	对话组	说话者	左右	文本内容	展示时间	延迟播放	是否出现在聊天栏
35	510483	hero	1	task_chat_510483_1	6000	3000	1
36	510483	npc_10085	0	task_chat_510483_2	3000	0	1
37	101001805	hero	1	task_chat_101001805_1	6000	3000	1
38	101001805	npc_forging_001	0	task_chat_101001805_2	3000	0	1
39	101001802	hero	1	task_chat_101001802_1	8000	4000	1
40	101001802	hero	1	task_chat_101001802_2	4000	0	1
41	101001803	hero	1	task_chat_101001803_1	8000	4000	1
42	101001803	hero	1	task_chat_101001803_2	4000	0	1
43	103003103	hero	1	task_chat_103003103_1	8000	4000	1
44	103003103	npc_10085	0	task_chat_103003103_2	4000	0	1
45	210001	npc_10077	1	task_chat_210001_1	4000	0	0
46	210002	npc_10077	1	task_chat_210002_1	4000	0	0
47	210003	npc_10077	1	task_chat_210003_1	4000	0	0
48	210004	npc_10077	1	task_chat_210004_1	4000	0	0
49	220001	npc_fairy_001	1	task_chat_220001_1	3000	0	0
50	220002	npc_fairy_002	1	task_chat_220002_1	3000	0	0
51	220003	npc_fairy_003	1	task_chat_220003_1	3000	0	0
52	220004	npc_fairy_004	1	task_chat_220004_1	3000	0	0
53	220005	npc_fairy_005	1	task_chat_220005_1	3000	0	0
54	220006	npc_fairy_006	1	task_chat_220006_1	3000	0	0
55	220007	npc_fairy_007	1	task_chat_220007_1	3000	0	0
56	220008	npc_fairy_008	1	task_chat_220008_1	3000	0	0
57	220009	npc_fairy_009	1	task_chat_220009_1	3000	0	0
58	220010	npc_fairy_010	1	task_chat_220010_1	3000	0	0
59	10000080	npc_90002	0	task_chat_10000080_1	4000	4000	0
60	10000080	npc_90002	0	task_chat_10000080_2	10000	0	0
61	8040020	hero	1	task_chat_8040020_1	4000	0	0
62	8040050	hero	1	task_chat_8040050_1	4000	0	0
63	10600070	npc_10085	0	task_chat_10600070_1	8000	4000	0
64	10600070	npc_10172	1	task_chat_10600070_2	4000	0	0
65	10600230	hero	0	task_chat_10600230_1	6000	3000	0
66	10600230	hero	0	task_chat_10600230_2	3000	0	0
67	8060010	hero	0	task_chat_8060010_1	6000	3000	0
68	8060010	hero	0	task_chat_8060010_2	3000	0	0
69	10200210	npc_10026	0	task_chat_10200210_1	6000	3000	1
70	10200210	npc_101451	1	task_chat_10200210_2	3000	0	1
71	10200270	npc_101451	0	task_chat_10200270_1	9000	3000	1
72	10200270	npc_101451	0	task_chat_10200270_2	6000	3000	1
73	10200270	npc_101451	0	task_chat_10200270_3	3000	0	1
74	10200280	npc_101451	0	task_chat_10200280_1	6000	3000	1
75	10200280	npc_101451	0	task_chat_10200280_2	3000	0	1
76	107000204	npc_10218	1	tips_10700020401	6000	3000	1
77	107000204	hero	0	tips_10700020402	3000	0	1
78	107000301	npc_102171	1	tips_10700020301	6000	3000	1
79	107000301	hero	0	tips_10700020302	3000	0	1
80	107000401	npc_10218	1	tips_10700040101	6000	3000	1
81	107000401	hero	0	tips_10700040102	3000	0	1
82	107000501	hero	1	tips_10700050101	3000	0	1
83	107000502	hero	1	tips_10700050201	3000	0	1
84	107000503	hero	1	tips_10700050301	3000	0	1
85	107000504	hero	1	tips_10700050401	3000	0	1
86	107000506	hero	1	tips_10700050601	3000	0	1
87	107000601	hero	1	tips_10700060101	3000	0	1
88	107000602	hero	1	tips_10700060201	3000	0	1
89	107000603	hero	1	tips_10700060301	3000	0	1
90	107000802	npc_10222	1	tips_10700080201	3000	0	1
91	107001001	hero	1	tips_10700100101	3000	0	1
92	107001101	npc_10223	1	tips_10700110101	3000	0	1
93	107001301	hero	1	tips_10700130101	6000	3000	1
94	107001301	hero	1	tips_10700130102	3000	0	1
95	107001401	npc_10226	1	tips_10700140101	3000	0	1
96	107001402	npc_10222	1	tips_10700140201	6000	3000	1
97	107001402	npc_10222	1	tips_10700140202	3000	0	1
98	107001504	npc_10226	1	tips_10700150401	3000	0	1
99	107001801	npc_10227	1	tips_10700180101	6000	3000	1
100	107001801	npc_10226	1	tips_10700180102	3000	0	1
101	107001901	hero	1	tips_10700190101	6000	3000	1
102	107001901	hero	1	tips_10700190102	3000	0	1
103	107002201	npc_10228	1	tips_10700220102	3000	0	1
104	107002404	npc_10192	1	tips_10700240401	3000	0	1
105	107002501	npc_10192	1	tips_10700250101	9000	3000	1
106	107002501	hero	0	tips_10700250102	6000	3000	1
107	107002501	npc_10192	1	tips_10700250103	3000	0	1
108	107002504	hero	0	tips_10700250401	6000	3000	1
109	107002504	npc_10228	1	tips_10700250402	3000	0	1
110	107002505	npc_10192	1	tips_10700250501	3000	0	1
111	107002505	npc_10224	1	tips_10700250502	9000	3000	1
112	107002505	npc_10192	1	tips_10700250503	6000	3000	1
113	107002505	npc_10192	1	tips_10700250504	3000	0	1
114	107002601	npc_10228	1	tips_10700260101	3000	0	1
115	107002702	npc_10222	1	tips_10700270201	3000	0	1
116	107002902	npc_10195	1	tips_10700290201	3000	0	1
117	107003101	hero	1	tips_10700310101	6000	3000	1
118	107003101	npc_10192	1	tips_10700310102	3000	0	1
119	27501022	hero	1	tips_2750102200	3000	0	1
120	27501061	hero	1	tips_2750106101	6000	3000	1
121	27501061	hero	1	itps_2750106102	3000	0	1
122	27501181	npc_10159	1	tips_2750118101	6000	3000	1
123	27501181	npc_10159	1	tips_2750118102	3000	0	1
124	27501192	npc_10159	1	tips_2750119201	6000	3000	1
125	27501192	npc_10159	1	tips_2750119202	3000	0	1
126	27501205	npc_D_001	1	tips_2750120507	12000	3000	1
127	27501205	npc_D_001	1	tips_2750120508	9000	3000	1
128	27501205	hero	0	tips_2750120509	6000	3000	1
129	27501205	hero	0	tips_2750120510	3000	0	1
130	27501012	npc_10183	1	2750101201	6000	3000	1
131	27501012	npc_10183	1	2750101202	3000	0	1
132	275010221	npc_D_001	1	2750102201	6000	3000	1
133	275010221	npc_D_001	1	2750102202	3000	0	1
134	27501063	npc_10183	1	2750106301	12000	3000	1
135	27501063	hero	0	2750106302	9000	3000	1
136	27501063	npc_10183	1	2750106303	6000	3000	1
137	27501063	npc_10183	1	2750106304	3000	0	1
138	27501144	npc_D_001	1	2750114401	6000	3000	1
139	27501144	npc_D_001	1	2750114402	3000	0	1
140	27501144	npc_10183	1	tips_2750114403	6000	3000	1
141	27501144	npc_10183	1	tips_2750114404	3000	0	1
142	27501206	npc_D_001	1	2750120601	9000	3000	1
143	27501206	npc_D_001	1	2750120602	6000	3000	1
144	27501206	npc_D_001	1	2750120603	3000	0	1
145	1750102	npc_10227	1	tips_175010201	6000	3000	1
146	1750102	npc_10227	1	tips_175010202	3000	0	1
147	1750112	npc_10196	1	tips_175011201	6000	3000	1
148	1750112	npc_10196	1	tips_175011202	3000	0	1
149	1750122	npc_10091	1	tips_175012201	6000	3000	1
150	1750122	npc_10091	1	tips_175012202	3000	0	1
151	591280	hero	1	talk59128001	9000	6000	1
152	591280	hero	0	talk59128002	6000	3000	1
153	591280	npc_10159	1	talk59128003	3000	0	1
154	591281	hero	0	talk59128101	6000	3000	1
155	591281	npc_101701	1	talk59128102	3000	0	1
156	591310	npc_starawake_10001	1	talk59131001	6000	3000	1
157	591310	npc_starawake_10001	1	talk59131002	3000	0	1
158	591311	npc_starawake_10001	1	talk59131101	6000	3000	1
159	591311	npc_starawake_10001	1	talk59131102	3000	0	1
160	591320	npc_starawake_10001	1	talk59132001	6000	3000	1
161	591320	npc_starawake_10001	1	talk59132002	3000	0	1
162	591321	npc_starawake_10001	0	talk59132101	6000	3000	1
163	591321	npc_starawake_10001	0	talk59132102	3000	0	1
164	591322	npc_starawake_10001	1	talk591322	3000	0	1
165	591323	npc_starawake_10001	1	talk59132301	6000	3000	1
166	591323	npc_starawake_10001	1	talk59132302	3000	0	1
167	591324	npc_10159	1	talk59132401	3000	0	1
168	591324	npc_10159	1	talk59132402	3000	0	1
169	591325	npc_10159	1	talk59132501	3000	0	1
170	591325	npc_10159	1	talk59132502	3000	0	1
171	1700120	npc_siro	1	talk17001201	6000	3000	1
172	1700120	npc_siro	1	talk17001202	3000	0	1
173	1700130	npc_siro	1	talk17001301	3000	0	1
174	1700140	npc_siro	1	talk17001401	6000	3000	1
175	1700140	npc_siro	1	talk17001402	3000	0	1
176	107100300	hero	0	task_chat_1071003001	3000	0	1
177	107100301	hero	0	task_chat_1071003011	6000	3000	1
178	107100301	hero	0	task_chat_1071003012	3000	0	1
179	107100303	hero	0	task_chat_1071003031	6000	3000	1
180	107100303	hero	0	task_chat_1071003032	3000	0	1
181	107100601	npc_10043	1	task_chat_1071006011	6000	3000	1
182	107100601	npc_10043	1	task_chat_1071006012	3000	0	1
183	107100800	hero	0	task_chat_1071008001	6000	3000	1
184	107100800	npc_102321	1	task_chat_1071008002	3000	0	1
185	107101000	npc_102311	1	task_chat_1071010001	6000	3000	1
186	107101000	npc_102311	1	task_chat_1071010002	3000	0	1
187	107101003	npc_102322	1	task_chat_1071010031	6000	3000	1
188	107101003	npc_102322	1	task_chat_1071010032	3000	0	1
189	107101201	npc_10234	1	task_chat_1071012011	6000	3000	1
190	107101201	npc_10239	1	task_chat_1071012012	3000	0	1
191	107101603	npc_10042	1	task_chat_1071016031	3000	0	1
192	107101604	hero	0	task_chat_1071016041	3000	0	1
193	107101606	hero	0	task_chat_1071016061	6000	3000	1
194	107101606	hero	0	task_chat_1071016062	3000	0	1
195	107101702	npc_10237	1	task_chat_1071017021	3000	0	1
196	107102000	npc_10238	1	task_chat_1071020001	3000	0	1
197	107102100	hero	0	task_chat_1071021001	6000	3000	1
198	107102100	npc_102391	1	task_chat_1071021002	3000	0	1
199	107102200	hero	0	task_chat_1071022001	3000	0	1
200	107102201	hero	0	task_chat_1071022011	6000	3000	1
201	107102201	npc_102392	1	task_chat_1071022012	3000	0	1
202	107102202	npc_102392	1	task_chat_1071022021	9000	6000	1
203	107102202	npc_102392	1	task_chat_1071022022	6000	3000	1
204	107102202	hero	0	task_chat_1071022023	3000	0	1
205	107102203	npc_102352	1	task_chat_1071022031	3000	0	1
206	107102300	npc_102312	1	task_chat_1071023001	3000	0	1
207	108000101	hero	1	bubble108000101	3000	0	1
208	108000201	npc_10260	0	bubble108000201	3000	0	1
209	108000301	npc_10270	0	bubble108000301	3000	0	1
210	108000401	npc_10270	0	bubble108000401	6000	3000	1
211	108000401	npc_10270	0	bubble108000402	3000	0	1
212	108000701	npc_10290	0	bubble108000701	3000	0	1
213	108000702	npc_10290	0	bubble108000702	3000	0	1
214	108000703	npc_10290	0	bubble108000703	3000	0	1
215	108000801	npc_10290	0	bubble108000801	6000	3000	1
216	108000801	npc_10290	0	bubble108000802	3000	0	1
217	108000811	hero	1	bubble108000811	6000	3000	1
218	108000811	npc_10300	0	bubble108000812	3000	0	1
219	108000901	npc_10300	0	bubble108000901	6000	3000	1
220	108000901	npc_10300	0	bubble108000902	3000	0	1
221	108001001	hero	1	bubble108001001	3000	3000	1
222	108001001	hero	1	bubble108001002	3000	3000	1
223	108001001	hero	1	bubble108001003	3000	0	1
224	108001011	hero	1	bubble108001011	6000	3000	1
225	108001021	hero	1	bubble108001021	3000	0	1
226	108001031	hero	1	bubble108001031	3000	0	1
227	108001101	hero	1	bubble108001101	6000	3000	1
228	108001101	hero	1	bubble108001102	3000	0	1
229	108001201	npc_10270	0	bubble108001201	3000	3000	1
230	108001201	npc_10270	0	bubble108001202	3000	3000	1
231	108001201	hero	1	bubble108001203	3000	3000	1
232	108001201	hero	1	bubble108001204	3000	0	1
233	108001211	npc_10270	0	bubble108001211	6000	3000	1
234	108001211	npc_10270	1	bubble108001212	6000	3000	1
235	108001211	hero	1	bubble108001213	3000	0	1
236	108001301	hero	1	bubble108001301	3000	0	1
237	108001311	npc_10300	0	bubble108001311	3000	0	1
238	108001401	hero	1	bubble108001401	2000	2000	1
239	108001401	hero	1	bubble108001402	2000	2000	1
240	108001402	npc_10320	0	bubble108001421	3000	0	1
241	108001701	npc_10320	0	bubble108001701	3000	0	1
242	108002901	npc_103301	0	bubble108002901	2000	2000	1
243	108002901	npc_10320	0	bubble108002902	2000	0	1
244	108002911	hero	1	bubble108002911	1000	1000	1
245	108002911	npc_10280	0	bubble108002912	1000	0	1
246	108002921	npc_103301	0	bubble108002921	6000	3000	1
247	108002921	npc_103301	0	bubble108002923	3000	0	1
248	108002931	hero	1	bubble108002931	2000	2000	1
249	108002931	npc_10330	0	bubble108002932	2000	0	1
250	108002001	npc_10320	0	bubble108002001	2000	2000	1
251	108002001	npc_10320	0	bubble108002002	2000	0	1
252	108002002	npc_10330	0	bubble108002003	2000	2000	1
253	108002002	npc_10330	0	bubble108002004	2000	0	1
254	108002401	npc_10320	0	bubble108002401	2000	2000	1
255	108002401	npc_10320	0	bubble108002402	2000	0	1
256	108002402	npc_10320	0	bubble108002403	2000	2000	1
257	108002402	npc_10320	0	bubble108002404	2000	0	1
258	108001731	hero	1	bubble108001731	2000	2000	1
259	108001731	npc_10330	0	bubble108001732	2000	0	1
260	108002932	npc_103301	0	bubble108002933	2000	2000	1
261	108002932	hero	1	bubble108002934	2000	0	1
262	108003401	npc_103301	0	bubble108003401	2000	0	1
263	108003501	npc_10320	0	bubble108003501	2000	0	1
264	108001501	npc_10320	0	bubble108001501	4000	2000	1
265	108001501	npc_10320	0	bubble108001502	2000	0	1
266	108003101	npc_10320	0	bubble108003101	4000	2000	1
267	108003101	npc_10320	0	bubble108003102	2000	0	1
268	108003601	hero	1	bubble108003601	6000	3000	1
269	108003601	hero	1	bubble108003602	3000	0	1
270	108004301	hero	1	bubble108004301	5000	2500	1
271	108004301	npc_10320	0	bubble108004302	2500	0	1
272	108004302	npc_103301	0	bubble108004303	5000	2500	1
273	108004302	npc_103301	0	bubble108004304	5000	2500	1
274	108004302	hero	1	bubble108004305	2500	0	1
275	108004401	npc_10320	0	bubble108004401	6000	3000	1
276	108004401	npc_10320	0	bubble108004402	3000	0	1
277	509020001	hero	1	bubble509020001	3000	0	1
278	509030001	hero	1	bubble509030001	3000	2000	1
279	509030002	hero	1	bubble509030002	3000	0	1
280	509040001	hero	1	bubble509040001	3000	2000	1
281	509050001	hero	1	bubble509050001	3000	0	1
282	509060001	hero	1	bubble509060001	3000	0	1
283	509070001	hero	1	bubble509070001	3000	0	1
284	509090001	hero	1	bubble509090001	3000	0	1
285	509110001	npc_103205	0	bubble509110001	3000	0	1
286	509140001	npc_018_lilina2	0	bubble509140001	3000	0	1
287	509160001	hero	1	bubble509160001	3000	0	1
288	509160002	hero	1	bubble509160002	3000	0	1
289	509170001	hero	1	bubble509170001	3000	0	1
290	509180001	hero	1	bubble509180001	3000	0	1
291	509190001	hero	1	bubble509190001	3000	2000	1
292	50920000	hero	1	bubble509200001	3000	2000	1
293	50920000	hero	1	bubble509200002	3000	2000	1
294	50920000	hero	1	bubble509200003	3000	2000	1
295	50920000	npc_103301	0	bubble509200004	3000	0	1
296	509240001	hero	1	bubble509240001	3000	0	1
297	509250001	hero	1	bubble509250001	3000	0	1
298	509280001	npc_002_mohade	0	bubble509280001	3000	2000	1
299	511100011	npc_10231_001	0	bubble511100011	3000	0	1
300	511120011	npc_10237_001	0	bubble511120011	3000	0	1
301	511130011	npc_10237_001	0	bubble511130011	2000	0	1
302	511130011	npc_10237_001	0	bubble511130012	4000	2000	1
303	511130111	npc_10237_001	0	bubble511130111	2000	0	1
304	511130121	hero	1	bubble511130113	3000	0	1
305	511130122	npc_10237_001	0	bubble511130114	3000	0	1
306	511130311	npc_10237_001	0	bubble511130311	3000	0	1
307	511130312	npc_10237_001	0	bubble511130312	3000	0	1
308	511160011	npc_soldier_lottery_event10_001	0	bubble511160011	2000	0	1
309	511160111	npc_soldier_lottery_event10_001	0	bubble511160111	4000	0	1
310	511160111	hero	1	bubble511160112	6000	2000	1
311	511160111	npc10006010_001	0	bubble511160113	8000	2000	1
312	511170011	npc10006010_001	0	bubble511170011	3000	0	1
313	511170021	npc10006010_001	0	bubble511170012	3000	0	1
314	511170031	npc10006010_001	0	bubble511170013	3000	0	1
315	511230012	npc_10238_001	0	bubble511230012	3000	0	1
316	511230011	npc_10238_001	0	bubble511230011	2000	0	1
317	511230021	npc_10238_001	0	bubble511230021	4000	2000	1
318	511230031	npc_10238_001	0	bubble511230013	6000	2000	1
319	511260011	npc_10235_001	0	bubble511260011	3000	0	1
320	511260021	npc_10235_001	0	bubble511260012	3000	0	1
321	511300011	npc_10239_001	0	bubble511300011	3000	0	1
322	511310011	hero	1	bubble511310011	2000	0	1
323	511310021	npc_10239_001	0	bubble511310012	4000	2000	1
324	511310031	npc_10239_001	0	bubble511310013	3000	0	1
325	511310051	hero	1	bubble511310015	3000	0	1
326	511310041	npc_10239_001	0	bubble511310014	3000	0	1
327	511310061	npc_10239_001	0	bubble511310016	3000	0	1
328	511330011	npc_10231_001	0	bubble511330011	3000	0	1
329	810010001	npc_soldier	0	bubble810010001	3000	0	1
330	810040001	npc_103801	1	bubble810040001	3000	0	1
331	810040101	hero	1	bubble810040101	3000	0	1
332	810060001	hero	1	bubble810060001	3000	0	1
333	810090001	hero	1	bubble810090001	3000	0	1
334	810120101	hero	1	bubble810120101	3000	0	1
335	810130001	npc_104001	0	bubble810130001	3000	0	1
336	810150101	hero	1	bubble810150101	3000	0	1
337	810190201	hero	1	bubble810190201	3000	0	1
338	820060001	hero	1	bubble820060001	3000	0	1
339	820060101	hero	1	bubble820060101	3000	0	1
340	820060501	npc_105012	0	bubble820060501	3000	0	1
341	820070101	hero	1	bubble820070101	3000	0	1
342	820090101	npc_105013	0	bubble820090101	3000	0	1
343	820100001	hero	1	bubble820100001	3000	0	1
344	820110001	hero	1	bubble820110001	3000	0	1
345	820110101	npc_105018	0	bubble820110101	3000	0	1
346	820110201	hero	1	bubble820110201	3000	0	1
347	820150001	hero	1	bubble820150001	3000	0	1
348	820150002	hero	1	bubble820150002	3000	0	1
349	820150101	hero	1	bubble820150101	3000	0	1
350	820160401	hero	1	bubble820160401	3000	0	1
351	820170001	hero	1	bubble820170001	3000	0	1
352	820170002	npc_105020	0	bubble820170002	3000	0	1
353	820170003	npc_10190	0	bubble820170003	3000	0	1
354	2100230001	hero	1	bubble2100230001	3000	0	1
355	2100232001	hero	1	bubble2100232001	3000	0	1
356	2100244001	hero	1	bubble2100244001	3000	0	1
357	109000100	hero	1	bubble109000100	3000	0	1
358	109000103	hero	1	bubble109000103	3000	0	1
359	109000400	hero	1	bubble109000400	3000	0	1
360	109000800	npc_109001	0	bubble109000800	3000	0	1
361	109000801	npc_109001	0	bubble109000801	3000	0	1
362	109001001	npc_109003	0	bubble109001001	3000	0	1
363	109001200	hero	1	bubble109001200	3000	0	1
364	109001500	hero	1	bubble109001500	3000	0	1
365	109001503	npc_109005	0	bubble109001503	3000	0	1
366	109001700	npc_109009	0	bubble109001700	3000	0	1
367	109001900	hero	1	bubble109001900	3000	0	1
368	109001902	npc_109007	0	bubble109001902	3000	0	1
369	110000100	hero	1	bubble110000100	3000	0	1
370	110000200	npc_110002	0	bubble110000200	3000	0	1
371	110000400	hero	1	bubble110000400	3000	0	1
372	110000600	hero	1	bubble110000600	3000	0	1
373	110000700	hero	1	bubble110000700	3000	0	1
374	110000800	npc_110012	0	bubble110000800	3000	0	1
375	110001000	hero	1	bubble110001000	3000	0	1
376	110001200	npc_110016	0	bubble110001200	3000	0	1
377	110001301	hero	1	bubble110001301	3000	0	1
378	110001403	npc_110019	0	bubble110001403	3000	0	1
379	110001800	hero	1	bubble110001800	3000	0	1
380	110001802	hero	1	bubble110001802	3000	0	1
381	110001804	hero	1	bubble110001804	3000	0	1
