流水ID	活动ID	参数	单次完美找回奖励预览	单次完美找回单价	单次普通找回奖励预览	单次普通找回单价	可找回条件	开启找回等级条件
44	145	44	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
45	145	45	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
46	145	46	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
47	145	47	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	15,10	item107200051001,1;item107200052001,1;item1000,1;item107210043001,1;item107210030001,1;item107999900001,1	1,200000	0	0
48	145	48	item1000,1;item107210043001,1;item107210030001,1;item107200051001,1;item107200052001,1;item107999900001,1	15,10	item1000,1;item107210043001,1;item107210030001,1;item107200051001,1;item107200052001,1;item107999900001,1	1,200000	0	0
49	111	1	item1000,1;item119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1;	15,2	item1000,1;item8119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1	1,60000	0	0
50	111	2	item1000,1;item119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1;	15,4	item1000,1;item8119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1	1,120000	0	0
51	111	3	item1000,1;item119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1;	15,6	item1000,1;item8119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1	1,180000	0	0
52	111	4	item1000,1;item119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1;	15,8	item1000,1;item8119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1	1,240000	0	0
53	111	5	item1000,1;item107300000001,1;item119100000002,1;item100100000001,1;item8103010121004,1;item107999900001,1;item8103010121003,1	15,10	item1000,1;item107300000001,1;item8119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1	1,300000	0	0
54	111	6	item1000,1;item107300000001,1;item119100000002,1;item100100000001,1;item8103010121004,1;item107999900001,1;item8103010121003,1	15,12	item1000,1;item107300000001,1;item8119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1	1,360000	0	0
55	111	7	item1000,1;item107300000001,1;item119100000002,1;item100100000001,1;item8103010121004,1;item107999900001,1;item8103010121003,1	15,14	item1000,1;item107300000001,1;item8119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1	1,420000	0	0
56	111	8	item1000,1;item107300000001,1;item119100000002,1;item100100000001,1;item8103010121004,1;item107999900001,1	15,16	item1000,1;item107300000001,1;item8119100000002,1;item100100000001,1;item107999900001,1;item8103010121003,1	1,480000	0	0
57	111	9	item107300000002,1;item1000,1;item19300000000003,1;item107300000001,1;item119100000002,1;item100100000001,1;item107999900001,1	15,18	item107300000002,1;item1000,1;item19300000000003,1;item107300000001,1;item8119100000002,1;item100100000001,1;item107999900001,1	1,540000	0	0
58	111	10	item107300000002,1;item1000,1;item19300000000003,1;item107300000001,1;item119100000002,1;item100100000001,1;item107999900002,1	15,20	item107300000002,1;item1000,1;item19300000000003,1;item107300000001,1;item8119100000002,1;item100100000001,1;item107999900002,1	1,600000	0	0
59	111	11	item107300000002,1;item1000,1;item19300000000003,1;item107300000001,1;item119100000002,1;item100100000001,1;item107999900002,1	15,22	item107300000002,1;item1000,1;item19300000000003,1;item107300000001,1;item8119100000002,1;item100100000001,1;item107999900002,1	1,660000	0	0
60	111	12	item107300000002,1;item1000,1;item19300000000003,1;item107300000001,1;item119100000002,1;item100100000001,1;item107999900002,1	15,24	item107300000002,1;item1000,1;item19300000000003,1;item107300000001,1;item8119100000002,1;item100100000001,1;item107999900002,1	1,720000	0	0
61	111	13	item107300000002,1;item1000,1;item107300000001,1;item119100000002,1;item100100000001,1;item107999900002,1;item107999900001,1	15,26	item107300000002,1;item1000,1;item107300000001,1;item8119100000002,1;item107999900002,1;item100100000001,1;item107999900001,1	1,780000	0	0
62	111	14	item107300000002,1;item1000,1;item107300000001,1;item119100000002,1;item100100000001,1;item107999900002,1;item107999900001,1	15,28	item107300000002,1;item1000,1;item107300000001,1;item8119100000002,1;item107999900002,1;item100100000001,1;item107999900001,1	1,840000	0	0
63	111	15	item107300000002,1;item1000,1;item107300000001,1;item119100000002,1;item100100000001,1;item107999900002,1;item107999900001,1	15,30	item107300000002,1;item1000,1;item107300000001,1;item8119100000002,1;item107999900002,1;item100100000001,1;item107999900001,1	1,900000	0	0
64	30	0	item1001,1;item1000,1;item1013,1;item19300000000003,1;item106210400002,1;item8105000000068,1;item8105000000069,1;item8105000000070,1;item100500000001,1;item100100000001,1;item119100000000,1	15,4	item1000,1;item1013,1;item19300000000003,1;item8106210400002,1;item8105000000068,1;item8105000000069,1;item8105000000070,1;item100500000001,1;item119100000000,1	1,80000	0	0
65	23	0	item1000,1;item1013,1	15,3	item1000,1;item1013,1	1,60000	0	0
66	1807	0	item107200051001,1;item100100000003,1;item100000000006,1;item175100000003,1	15,30	item107200051001,1;item100000000006,1;item175100000004,1	1,600000	0	0
67	13	0	item1009,1	15,1	item1009,1	1,20000	0	0
68	51	0	item1003,1;item1000,1;item3001,1;item100600000001,1	15,2	item1003,1;item1000,1;item3001,1;item100600000001,1	1,80000	3	0
69	67	0	item1003,1;item3001,1;item100600000001,1	15,3	item1003,1;item3001,1;item100600000001,1	1,60000	3	0
70	3	0	item100100000003,1;item105000000028,1;item100000000006,1	15,20	item105000000028,1;item100000000006,1	1,400000	0	0
71	182	0	item1001,1;item1000,1;item100100000002,1;item144321000001,1;item103010111017,1;item100100000001,1;item101040101015,1;item8101020504800,1;item101020504901,1	15,25	item1001,1;item1000,1;item100100000002,1;item144321000001,1;item103010111017,1;item100100000001,1;item101040101015,1;item8101020504800,1	1,500000	3	0
72	183	1	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
73	183	2	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
74	183	3	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
75	183	4	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
76	183	5	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
77	183	6	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
78	183	7	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
79	183	8	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
80	183	9	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
81	183	10	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
82	183	11	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
83	183	12	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
84	183	13	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
85	183	14	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
86	183	15	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
87	183	16	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
88	183	17	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
89	183	18	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
90	183	19	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
91	183	20	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
92	183	21	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
93	183	22	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
94	183	23	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
95	183	24	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
96	183	25	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
97	183	26	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
98	183	27	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
99	183	28	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
100	183	29	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
101	183	30	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
102	183	31	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
103	183	32	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
104	183	33	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
105	183	34	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
106	183	35	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
107	183	36	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
108	183	37	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
109	183	38	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
110	183	39	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
111	183	40	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
112	183	41	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
113	183	42	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
114	183	43	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
115	183	44	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
116	183	45	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
117	183	46	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
118	183	47	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
119	183	48	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
120	183	49	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
121	183	50	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
122	183	51	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
123	183	52	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
124	183	53	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
125	183	54	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
126	183	55	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
127	183	56	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
128	183	57	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
129	183	58	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
130	183	59	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
131	183	60	item1000,1;item1026,1;item105000000029,1	15,3	item1000,1;item1026,1;item105000000029,1	1,60000	0	0
132	183	61	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
133	183	62	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
134	183	63	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
135	183	64	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
136	183	65	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
137	183	66	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
138	183	67	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
139	183	68	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
140	183	69	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
141	183	70	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
142	183	71	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
143	183	72	item1000,1;item1026,1;item105000000029,1;item177100000006,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000006,1	1,60000	0	0
144	183	73	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
145	183	74	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
146	183	75	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
147	183	76	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
148	183	77	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
149	183	78	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
150	183	79	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
151	183	80	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
152	183	81	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
153	183	82	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
154	183	83	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
155	183	84	item1000,1;item1026,1;item105000000029,1;item177100000007,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000007,1	1,60000	0	0
156	183	85	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
157	183	86	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
158	183	87	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
159	183	88	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
160	183	89	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
161	183	90	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
162	183	91	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
163	183	92	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
164	183	93	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
165	183	94	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
166	183	95	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
167	183	96	item1000,1;item1026,1;item105000000029,1;item177100000008,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000008,1	1,60000	0	0
168	183	97	item1000,1;item1026,1;item105000000029,1;item177100000009,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000009,1	1,60000	0	0
169	183	98	item1000,1;item1026,1;item105000000029,1;item177100000009,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000009,1	1,60000	0	0
170	183	99	item1000,1;item1026,1;item105000000029,1;item177100000009,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000009,1	1,60000	0	0
171	183	100	item1000,1;item1026,1;item105000000029,1;item177100000009,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000009,1	1,60000	0	0
172	183	101	item1000,1;item1026,1;item105000000029,1;item177100000009,1	15,3	item1000,1;item1026,1;item105000000029,1;item177100000009,1	1,60000	0	0
