音效编号	主体	播放时长	延迟	权重	组别	背景音乐音量缩放	背景音乐优先级	背景音乐段落循环	背景音乐段落循环
32	bgm_homeland	0.000000	0.000000	0	0	1.000000	1		
33	bgm_wedding01	0.000000	0.000000	0	0	1.000000	1		
34	lrgames_bgm_city_fairy_master	0.000000	0.000000	0	0	1.000000	1		
35	lrgames_bgm_city_galaxy_master	0.000000	0.000000	0	0	1.000000	1		
36	lrgames_bgm_fairy_master	0.000000	0.000000	0	0	1.000000	1		
37	lrgames_bgm_firebasin_master	0.000000	0.000000	0	0	1.000000	1		
38	lrgames_bgm_guildarena_master	0.000000	0.000000	0	0	1.000000	1		
39	lrgames_bgm_icefield_master	0.000000	0.000000	0	0	1.000000	1		
40	bgm_homeland	0.000000	0.000000	0	0	1.000000	5		
41	bgm_elementwater	0.000000	0.000000	0	0	1.000000	3		
42	bgm_elementfire	0.000000	0.000000	0	0	1.000000	3		
43	bgm_elementsoil	0.000000	0.000000	0	0	1.000000	3		
44	bgm_elementgrass	0.000000	0.000000	0	0	1.000000	3		
45	bgm_elementthunder	0.000000	0.000000	0	0	1.000000	3		
101	event:/UI/sound_knapsack_open	0.000000	0.000000	0	0	0.000000	0		
102	event:/UI/sound_knapsack_close	0.000000	0.000000	0	0	0.000000	0		
103	event:/UIExtra/sound_Astrolabe_effct1	0.000000	0.000000	0	0	0.000000	0		
104	event:/UIExtra/sound_Astrolabe_effct2	0.000000	0.000000	0	0	0.000000	0		
105	event:/UIExtra/sound_Astrolabe_effct3	0.000000	0.000000	0	0	0.000000	0		
106	event:/UIExtra/sound_fashion_effct1	0.000000	0.000000	0	0	0.000000	0		
107	event:/UIExtra/sound_fashion_effct2	0.000000	0.000000	0	0	0.000000	0		
108	event:/UIExtra/sound_fashion_effct3	0.000000	0.000000	0	0	0.000000	0		
109	event:/UIExtra/sound_fashion_one	0.000000	0.000000	0	0	0.000000	0		
110	event:/UIExtra/sound_fashion_ten	0.000000	0.000000	0	0	0.000000	0		
111	event:/UIExtra/sound_xinghun01	0.000000	0.000000	0	0	0.000000	0		
112	event:/UIExtra/sound_adventurebook_effct1	0.000000	0.000000	0	0	0.000000	0		
113	event:/UIExtra/sound_adventurebook_effct2	0.000000	0.000000	0	0	0.000000	0		
114	event:/UIExtra/sound_heroroad_effct1	0.000000	0.000000	0	0	0.000000	0		
115	event:/UIExtra/sound_luck666_1	0.000000	0.000000	0	0	0.000000	0		
116	event:/UIExtra/sound_luck666_2	0.000000	0.000000	0	0	0.000000	0		
117	event:/UIExtra/sound_luck666_3	0.000000	0.000000	0	0	0.000000	0		
118	event:/UIExtra/sound_npcgoodfeel	0.000000	0.000000	0	0	0.000000	0		
119	event:/UIExtra/sound_photo	0.000000	0.000000	0	0	0.000000	0		
120	event:/UIExtra/sound_qiutuatk	0.000000	0.000000	0	0	0.000000	0		
121	event:/UIExtra/sound_shougan01	0.000000	0.000000	0	0	0.000000	0		
122	event:/UIExtra/sound_shougan02	0.000000	0.000000	0	0	0.000000	0		
123	event:/UIExtra/sound_shuaigan01	0.000000	0.000000	0	0	0.000000	0		
124	event:/UIExtra/sound_soulstone_effct1	0.000000	0.000000	0	0	0.000000	0		
125	event:/UIExtra/sound_soulstone_effct2	0.000000	0.000000	0	0	0.000000	0		
126	event:/UIExtra/sound_tmlaohuji	0.000000	0.000000	0	0	0.000000	0		
127	event:/UIExtra/sound_tuamanatk	0.000000	0.000000	0	0	0.000000	0		
128	event:/UIExtra/sound_wakuang	0.000000	0.000000	0	0	0.000000	0		
129	event:/sound/sound_leizhenyu	0.000000	0.000000	0	0	0.000000	0		
130	event:/sound/sound_rain01	0.000000	0.000000	0	0	0.000000	0		
131	event:/sound/sound_meow01	0.000000	0.000000	0	0	0.000000	0		
132	event:/sound/sound_jinglebells01	13.000000	0.000000	0	0	0.000000	0		
133		0.000000	0.000000	0	0	0.000000	0		
134	event:/UI/sound_operate_success	0.000000	0.000000	0	0	0.000000	0		
135	event:/UIExtra/sound_lighton	0.000000	0.000000	0	0	0.000000	0		
136	event:/UISec/sound_win	0.000000	0.000000	0	0	0.000000	0		
137	event:/UISec/lightgame_countdown_sound	1.000000	0.000000	0	0	0.000000	0		
138	event:/UISec/lightgame_click_sound	0.000000	0.000000	0	0	0.000000	0		
201	event:/UI/sound_common_btn	0.000000	0.000000	0	0	0.000000	0		
202	event:/UI/sound_return_btn	0.000000	0.000000	0	0	0.000000	0		
203	event:/UI/sound_levelup	0.000000	0.000000	0	0	0.000000	0		
204	event:/UI/sound_operate_success	0.000000	0.000000	0	0	0.000000	0		
205	event:/UI/sound_grow_success	0.000000	0.000000	0	2001	0.000000	0		
206	event:/UI/sound_operate	0.000000	0.000000	0	0	0.000000	0		
207	event:/UI/sound_condition_lack	0.000000	0.000000	0	0	0.000000	0		
208	event:/UI/sound_artillery_fireup	0.000000	0.000000	0	0	0.000000	0		
209	event:/UI/sound_artillery_fire	0.000000	0.000000	0	0	0.000000	0		
210	event:/UI/sound_artillery_fill	0.000000	0.000000	0	0	0.000000	0		
211	event:/UI/sound_battlefield_change	0.000000	0.000000	0	0	0.000000	0		
212	event:/UI/sound_getreward_long	0.000000	0.000000	0	2002	0.000000	0		
213	event:/UI/sound_build_equip	0.000000	0.000000	0	0	0.000000	0		
214	event:/UI/sound_build_equips	0.000000	0.000000	0	0	0.000000	0		
215	event:/UI/sound_build_success	0.000000	0.000000	0	0	0.000000	0		
216	event:/UI/sound_equip_quality1	0.000000	0.000000	0	0	0.000000	0		
217	event:/UI/sound_equip_quality2	0.000000	0.000000	0	0	0.000000	0		
218	event:/UI/sound_equip_quality3	0.000000	0.000000	0	0	0.000000	0		
219	event:/UI/sound_pickup_chest	0.000000	0.000000	0	0	0.000000	0		
220	event:/UI/sound_delivery	0.000000	0.000000	0	0	0.000000	0		
221	event:/UI/sound_activate_point	0.000000	0.000000	0	0	0.000000	0		
222	event:/UI/sound_battle_win	0.000000	0.000000	0	0	0.000000	0		
223	event:/UI/sound_battle_lose	0.000000	0.000000	0	0	0.000000	0		
224	event:/UI/sound_pickup_item	0.000000	0.000000	0	0	0.000000	0		
225	event:/UI/sound_pickupitem	0.000000	0.000000	0	0	0.000000	0		
226	event:/UI/sound_common_choose	0.000000	0.000000	0	0	0.000000	0		
227	event:/UI/sound_skill_up	0.000000	0.000000	0	2003	0.000000	0		
228	event:/UI/sound_skill_use	0.000000	0.000000	0	0	0.000000	0		
229	event:/UI/sound_stats_up	0.000000	0.000000	0	2004	0.000000	0		
230	event:/UI/sound_world_mission	0.000000	0.000000	0	2005	0.000000	0		
231	event:/UI/sound_chest_down	0.000000	0.000000	0	0	0.000000	0		
232	event:/UI/sound_use_drug	0.000000	0.000000	0	2006	0.000000	0		
233	event:/UI/sound_equip_advance	0.000000	0.000000	0	0	0.000000	0		
234	event:/UI/sound_equip_refining	0.000000	0.000000	0	0	0.000000	0		
235	event:/UI/sound_jewel	0.000000	0.000000	0	0	0.000000	0		
236	event:/UI/sound_count_down	0.000000	0.000000	0	0	0.000000	0		
237	event:/UI/sound_enchant	0.000000	0.000000	0	0	0.000000	0		
238	event:/UI/sound_gathering	0.000000	0.000000	0	0	0.000000	0		
239	event:/UI/sound_mining	0.000000	0.000000	0	0	0.000000	0		
240	event:/UI/sound_dead	0.000000	0.000000	0	0	0.000000	0		
241	event:/UI/sound_crack_in	0.000000	0.000000	0	0	0.000000	0		
242	event:/UI/sound_crack_get	0.000000	0.000000	0	0	0.000000	0		
243	event:/UI/sound_achievement	0.000000	0.000000	0	0	0.000000	0		
244	event:/UI/sound_mission_clear	0.000000	0.000000	0	0	0.000000	0		
245	event:/UI/sound_footstep	0.000000	0.000000	0	0	0.000000	0		
246	event:/UI/sound_buy_success	0.000000	0.000000	0	0	0.000000	0		
247	event:/UI/sound_enchant_fin	0.000000	0.000000	0	2007	0.000000	0		
248	event:/UI/sound_footstep_ride101	0.000000	0.000000	0	0	0.000000	0		
249	event:/UI/sound_catch_fairy	0.000000	0.000000	0	0	0.000000	0		
250	event:/UI/sound_catch_success	0.000000	0.000000	0	0	0.000000	0		
251	event:/UI/sound_catch_failure	0.000000	0.000000	0	0	0.000000	0		
252	event:/UI/sound_catch_lapa	0.000000	0.000000	0	0	0.000000	0		
253	event:/UI/sound_compose_bule	0.000000	0.000000	0	0	0.000000	0		
254	event:/UI/sound_compose_purple	0.000000	0.000000	0	0	0.000000	0		
255	event:/UI/sound_compose_gold	0.000000	0.000000	0	0	0.000000	0		
301	event:/sound/10010	0.000000	0.000000	0	0	0.000000	0		
302	event:/sound/10011	0.000000	0.000000	0	0	0.000000	0		
303	event:/sound/10012	0.000000	0.000000	0	0	0.000000	0		
304	event:/sound/10013	0.000000	0.000000	0	0	0.000000	0		
305	event:/sound/10014	0.000000	0.000000	0	0	0.000000	0		
306	event:/sound/10015	0.000000	0.000000	0	0	0.000000	0		
401	event:/sound/20010	0.000000	0.000000	0	0	0.000000	0		
402	event:/sound/20011	0.000000	0.000000	0	0	0.000000	0		
403	event:/sound/20012	0.000000	0.000000	0	0	0.000000	0		
404	event:/sound/20013	0.000000	0.000000	0	0	0.000000	0		
405	event:/SOUND/victory-a	0.000000	0.000000	0	0	0.000000	0		
406	event:/Novice/bbq_rotate	0.000000	0.000000	0	0	0.000000	0		
407	event:/Novice/bbq_voice	0.000000	0.000000	0	0	0.000000	0		
408	event:/Novice/change	0.000000	0.000000	0	0	0.000000	0		
409	event:/Novice/crab_pace	0.000000	0.000000	0	0	0.000000	0		
410	event:/Novice/dance_voice	0.000000	0.000000	0	0	0.000000	0		
411	event:/Novice/drop_wood	0.000000	0.000000	0	0	0.000000	0		
412	event:/Novice/kicking	0.000000	0.000000	0	0	0.000000	0		
413	event:/Novice/mmg_atk	0.000000	0.000000	0	0	0.000000	0		
414	event:/Novice/mmg_birth	0.000000	0.000000	0	0	0.000000	0		
415	event:/Novice/mushi_firing	0.000000	0.000000	0	0	0.000000	0		
416	event:/Novice/open_door	0.000000	0.000000	0	0	0.000000	0		
417	event:/Novice/open_treasurebox	0.000000	0.000000	0	0	0.000000	0		
418	event:/Novice/running_water	0.000000	0.000000	0	0	0.000000	0		
419	event:/Novice/seabird	0.000000	0.000000	0	0	0.000000	0		
420	event:/Novice/seawave	0.000000	0.000000	0	0	0.000000	0		
421	event:/Novice/shicaimo_die	0.000000	0.000000	0	0	0.000000	0		
422	event:/Novice/ship_voice01	0.000000	0.000000	0	0	0.000000	0		
423	event:/Novice/ship_voice02	0.000000	0.000000	0	0	0.000000	0		
424	event:/Novice/torch	0.000000	0.000000	0	0	0.000000	0		
425	event:/Novice/tuaman_talk	0.000000	0.000000	0	0	0.000000	0		
426	event:/Novice/wind_ship	0.000000	0.000000	0	0	0.000000	0		
427	event:/Novice/s0m001	0.000000	0.000000	0	0	0.000000	0		
428	event:/Novice/s0m003	0.000000	0.000000	0	0	0.000000	0		
429	event:/Novice/s0m005	0.000000	0.000000	0	0	0.000000	0		
430	event:/Novice/s0m013	0.000000	0.000000	0	0	0.000000	0		
431	event:/Novice/s0m012	0.000000	0.000000	0	0	0.000000	0		
432	event:/Novice/s0m011	0.000000	0.000000	0	0	0.000000	0		
433	event:/Novice/s0m006	0.000000	0.000000	0	0	0.000000	0		
434	event:/Attack/sound_tuamanatk	0.000000	0.000000	0	0	0.000000	0		
435	event:/Attack/sound_qiutuatk	0.000000	0.000000	0	0	0.000000	0		
436	event:/UI/sound_lihua	0.000000	0.000000	0	0	0.000000	0		
437	event:/UI/sound_zuolun	0.000000	0.000000	0	0	0.000000	0		
438	event:/UI/sound_lihua	0.000000	0.000000	0	0	0.000000	0		
439	event:/UI/sound_lihua	0.000000	0.000000	0	0	0.000000	0		
440	event:/UISec/sound_pay	0.000000	0.000000	0	0	0.000000	0		
442	event:/UISec/sound_wish	0.000000	0.000000	0	0	0.000000	0		
443	event:/UISec/sound_taro_deal	0.000000	0.000000	0	0	0.000000	0		
444	event:/UISec/sound_taro_open	0.000000	0.000000	0	0	0.000000	0		
445	event:/UISec/sound_taro_bubble	0.000000	0.000000	0	0	0.000000	0		
446	event:/UISec/sound_cut_draw	0.000000	0.000000	0	0	0.000000	0		
447	event:/UISec/sound_online_draw	0.000000	0.000000	0	0	0.000000	0		
448	event:/UISec/sound_online_draw_quick	0.000000	0.000000	0	0	0.000000	0		
449	event:/UISec/sound_poker_deal_1	0.000000	0.000000	0	0	0.000000	0		
450	event:/UISec/sound_poker_deal_2	0.000000	0.000000	0	0	0.000000	0		
451	event:/UISec/sound_poker_deal_3	0.000000	0.000000	0	0	0.000000	0		
452	event:/UISec/sound_poker_open	0.000000	0.000000	0	0	0.000000	0		
453	event:/UISec/sound_poker_right	0.000000	0.000000	0	0	0.000000	0		
454	event:/UISec/sound_win	0.000000	0.000000	0	0	0.000000	0		
455	event:/UISec/lightgame_countdown_sound	0.000000	0.000000	0	0	0.000000	0		
456	event:/UISec/lightgame_click_sound	0.000000	0.000000	0	0	0.000000	0		
457	event:/UISec/treasure_hunt_01	0.000000	0.000000	0	0	0.000000	0		
458	event:/UISec/treasure_hunt_02	0.000000	0.000000	0	0	0.000000	0		
459	event:/UISec/treasure_hunt_01	0.000000	0.000000	0	0	0.000000	0		
460	event:/UISec/treasure_hunt_04	0.000000	0.000000	0	0	0.000000	0		
461	event:/UISec/treasure_hunt_05	0.000000	0.000000	0	0	0.000000	0		
462	event:/UISec/treasure_hunt_06	0.000000	0.000000	0	0	0.000000	0		
463	event:/UISec/treasure_hunt_02	0.000000	0.000000	0	0	0.000000	0		
464	event:/UISec/sound_lose	0.000000	0.000000	0	0	0.000000	0		
465	event:/UISec/sound_win_2	0.000000	0.000000	0	0	0.000000	0		
500	s1m001_bgm1	0.000000	0.000000	0	0	0.000000	0		
501	s1m002_bgm2	0.000000	0.000000	0	0	0.000000	0		
502	s1m001	0.000000	0.000000	0	0	0.000000	0		
503	s1m002	0.000000	0.000000	0	0	0.000000	0		
504	s1m003	0.000000	0.000000	0	0	0.000000	0		
505	s1m004	0.000000	0.000000	0	0	0.000000	0		
506	s1m005	0.000000	0.000000	0	0	0.000000	0		
507	s1m006	0.000000	0.000000	0	0	0.000000	0		
508	s1m008	0.000000	0.000000	0	0	0.000000	0		
509	s1m014	0.000000	0.000000	0	0	0.000000	0		
510	s1m00601	0.000000	0.000000	0	0	0.000000	0		
511	event:/Novice/earthquake	0.000000	0.000000	0	0	0.000000	0		
601	event:/UI/firstblood	0.000000	0.000000	0	0	0.000000	0		
602	event:/UI/shutdown	0.000000	0.000000	0	0	0.000000	0		
603	event:/UI/doublekill	0.000000	0.000000	0	0	0.000000	0		
604	event:/UI/triblekill	0.000000	0.000000	0	0	0.000000	0		
605	event:/UI/quadrakill	0.000000	0.000000	0	0	0.000000	0		
606	event:/UI/pentakill	0.000000	0.000000	0	0	0.000000	0		
607	event:/Npc1/siro05	0.000000	0.000000	0	0	0.000000	0		
608	event:/Npc1/siro06	0.000000	0.000000	0	0	0.000000	0		
609	event:/Npc1/siro07	0.000000	0.000000	0	0	0.000000	0		
1000	event:/Attack/sound_warrior_attack_combo01	0.000000	0.000000	0	0	0.000000	0		
1001	event:/Attack/sound_warrior_attack_combo02	0.000000	0.000000	0	0	0.000000	0		
1100	event:/Attack/sound_Mage_attack_combo01	0.000000	0.000000	0	0	0.000000	0		
1101	event:/Attack/sound_Mage_attack_combo02	0.000000	0.000000	0	0	0.000000	0		
1200	event:/Attack/sound_shooter_attack_combo01	0.000000	0.000000	0	0	0.000000	0		
1201	event:/Attack/sound_shooter_attack_combo02	0.000000	0.000000	0	0	0.000000	0		
1300	event:/Attack/sound_treatment_attack_combo01	0.000000	0.000000	0	0	0.000000	0		
1301	event:/Attack/sound_treatment_attack_combo02	0.000000	0.000000	0	0	0.000000	0		
1400	event:/Attack/sound_assassin_attack_combo01	0.000000	0.000000	0	0	0.000000	0		
1401	event:/Attack/sound_assassin_attack_combo02	0.000000	0.000000	0	0	0.000000	0		
1500	event:/Attack/sound_knight_attack_combo01	0.000000	0.000000	0	0	0.000000	0		
1501	event:/Attack/sound_knight_attack_combo02	0.000000	0.000000	0	0	0.000000	0		
2001	event:/Attack/sound_attack_Gethit	0.000000	0.000000	0	0	0.000000	0		
3000	event:/Show/sound_new_warrior_m	0.000000	0.000000	0	3000	0.000000	0		
3001	event:/Show/sound_new_mage_w	0.000000	0.000000	0	3000	0.000000	0		
3002	event:/Show/sound_new_shooter_w	0.000000	0.000000	0	3000	0.000000	0		
3003	event:/Show/sound_new_treatment_w	0.000000	0.000000	0	3000	0.000000	0		
3004	event:/Show/sound_new_assassin_m	0.000000	0.000000	0	3000	0.000000	0		
4110	event:/Attack/sound_warrior_skill1	0.000000	0.000000	0	0	0.000000	0		
4120	event:/Attack/sound_warrior_skill2	0.000000	0.000000	0	0	0.000000	0		
4130	event:/Attack/sound_warrior_skill3_2	0.000000	0.000000	0	0	0.000000	0		
4131	event:/Attack/sound_warrior_skill3_3	0.000000	0.000000	0	0	0.000000	0		
4140	event:/Attack/sound_warrior_skill4	0.000000	0.000000	0	0	0.000000	0		
4150	event:/Attack/sound_warrior_skill5	0.000000	0.000000	0	0	0.000000	0		
4160	event:/Attack/sound_warrior_skill6_1	0.000000	0.000000	0	0	0.000000	0		
4161	event:/Attack/sound_warrior_skill6_2	0.000000	0.000000	0	0	0.000000	0		
4170	event:/Attack/sound_warrior_skill7_1	0.000000	0.000000	0	0	0.000000	0		
4171	event:/Attack/sound_warrior_skill7_2	0.000000	0.000000	0	0	0.000000	0		
4172	event:/Attack/sound_warrior_skill7_3	0.000000	0.000000	0	0	0.000000	0		
4180	event:/Attack/sound_warrior_skill8	0.000000	0.000000	0	0	0.000000	0		
4190	event:/Attack/sound_warrior_skill9_1	0.000000	0.000000	0	0	0.000000	0		
4191	event:/Attack/sound_warrior_skill9_2	0.000000	0.000000	0	0	0.000000	0		
4210	event:/Attack/sound_shooter_skill1_1	0.000000	0.000000	0	0	0.000000	0		
4211	event:/Attack/sound_shooter_skill1_2	0.000000	0.000000	0	0	0.000000	0		
4220	event:/Attack/sound_shooter_skill2_1	0.000000	0.000000	0	0	0.000000	0		
4221	event:/Attack/sound_shooter_skill2_2	0.000000	0.000000	0	0	0.000000	0		
4230	event:/Attack/sound_shooter_skill3	0.000000	0.000000	0	0	0.000000	0		
4240	event:/Attack/sound_shooter_skill4	0.000000	0.000000	0	0	0.000000	0		
4250	event:/Attack/sound_shooter_skill5_1	0.000000	0.000000	0	0	0.000000	0		
4251	event:/Attack/sound_shooter_skill5_2	0.000000	0.000000	0	0	0.000000	0		
4260	event:/Attack/sound_shooter_skill6_1	0.000000	0.000000	0	0	0.000000	0		
4261	event:/Attack/sound_shooter_skill6_2	0.000000	0.000000	0	0	0.000000	0		
4270	event:/Attack/sound_shooter_skill7_1	0.000000	0.000000	0	0	0.000000	0		
4271	event:/Attack/sound_shooter_skill7_2	0.000000	0.000000	0	0	0.000000	0		
4280	event:/Attack/sound_shooter_skill8_1	0.000000	0.000000	0	0	0.000000	0		
4310	event:/Attack/sound_treatment_skill1_1	0.000000	0.000000	0	0	0.000000	0		
4311	event:/Attack/sound_treatment_skill1_2	0.000000	0.000000	0	0	0.000000	0		
4320	event:/Attack/sound_treatment_skill2	0.000000	0.000000	0	0	0.000000	0		
4330	event:/Attack/sound_treatment_skill3	0.000000	0.000000	0	0	0.000000	0		
4340	event:/Attack/sound_treatment_skill4	0.000000	0.000000	0	0	0.000000	0		
4350	event:/Attack/sound_treatment_skill5	0.000000	0.000000	0	0	0.000000	0		
4360	event:/Attack/sound_treatment_skill6	0.000000	0.000000	0	0	0.000000	0		
4370	event:/Attack/sound_treatment_skill7	0.000000	0.000000	0	0	0.000000	0		
4380	event:/Attack/sound_treatment_skill8_1	0.000000	0.000000	0	0	0.000000	0		
4381	event:/Attack/sound_treatment_skill8_2	0.000000	0.000000	0	0	0.000000	0		
4390	event:/Attack/sound_treatment_skill9	0.000000	0.000000	0	0	0.000000	0		
4401	event:/Attack/sound_mage_overload_1	0.000000	0.000000	0	0	0.000000	0		
4402	event:/Attack/sound_mage_overload_2	0.000000	0.000000	0	0	0.000000	0		
4410	event:/Skill/sound_mage_skill1_1	0.000000	0.000000	0	0	0.000000	0		
4411	event:/Skill/sound_mage_skill1_2	0.000000	0.000000	0	0	0.000000	0		
4420	event:/Skill/sound_mage_skill2	0.000000	0.000000	0	0	0.000000	0		
4430	event:/Skill/sound_mage_skill3_1	0.000000	0.000000	0	0	0.000000	0		
4431	event:/Skill/sound_mage_skill3_2	0.000000	0.000000	0	0	0.000000	0		
4440	event:/Skill/sound_mage_skill4_1	0.000000	0.000000	0	0	0.000000	0		
4441	event:/Skill/sound_mage_skill4_2	0.000000	0.000000	0	0	0.000000	0		
4450	event:/Skill/sound_mage_skill5	0.000000	0.000000	0	0	0.000000	0		
4460	event:/Skill/sound_mage_skill6_1	0.000000	0.000000	0	0	0.000000	0		
4461	event:/Skill/sound_mage_skill6_2	0.000000	0.000000	0	0	0.000000	0		
4470	event:/Skill/sound_mage_skill7	0.000000	0.000000	0	0	0.000000	0		
4480	event:/Skill/sound_mage_skill8	0.000000	0.000000	0	0	0.000000	0		
4490	event:/Attack/sound_mage_skill9_1	0.000000	0.000000	0	0	0.000000	0		
4491	event:/Attack/sound_mage_skill9_2	0.000000	0.000000	0	0	0.000000	0		
4492	event:/Attack/sound_mage_skill9_3	0.000000	0.000000	0	0	0.000000	0		
4510	event:/Skill/sound_assassin_skill1	0.000000	0.000000	0	0	0.000000	0		
4520	event:/Skill/sound_assassin_skill2_1	0.000000	0.000000	0	0	0.000000	0		
4521	event:/Skill/sound_assassin_skill2_2	0.000000	0.000000	0	0	0.000000	0		
4530	event:/Skill/sound_assassin_skill3	0.000000	0.000000	0	0	0.000000	0		
4540	event:/Skill/sound_assassin_skill4	0.000000	0.000000	0	0	0.000000	0		
4550	event:/Skill/sound_assassin_skill5	0.000000	0.000000	0	0	0.000000	0		
4560	event:/Skill/sound_assassin_skill6_1	0.000000	0.000000	0	0	0.000000	0		
4561	event:/Skill/sound_assassin_skill6_2	0.000000	0.000000	0	0	0.000000	0		
4570	event:/Skill/sound_assassin_skill7_1	0.000000	0.000000	0	0	0.000000	0		
4571	event:/Skill/sound_assassin_skill7_2	0.000000	0.000000	0	0	0.000000	0		
4580	event:/Skill/sound_assassin_skill8	0.000000	0.000000	0	0	0.000000	0		
4610	event:/Attack/sound_knight_skill1_1	0.000000	0.000000	0	0	0.000000	0		
4611	event:/Attack/sound_knight_skill1_2	0.000000	0.000000	0	0	0.000000	0		
4620	event:/Attack/sound_knight_skill2	0.000000	0.000000	0	0	0.000000	0		
4630	event:/Attack/sound_knight_skill3	0.000000	0.000000	0	0	0.000000	0		
4640	event:/Attack/sound_knight_skill4_1	0.000000	0.000000	0	0	0.000000	0		
4641	event:/Attack/sound_knight_skill4_2	0.000000	0.000000	0	0	0.000000	0		
4660	event:/Attack/sound_knight_skill6	0.000000	0.000000	0	0	0.000000	0		
4670	event:/Attack/sound_knight_skill7	0.000000	0.000000	0	0	0.000000	0		
4680	event:/Attack/sound_knight_skill8	0.000000	0.000000	0	0	0.000000	0		
4690	event:/Attack/sound_knight_skill9_1	0.000000	0.000000	0	0	0.000000	0		
4691	event:/Attack/sound_knight_skill9_2	0.000000	0.000000	0	0	0.000000	0		
4692	event:/UISec/sound_starchild_change1	0.000000	0.000000	0	0	0.000000	0		
4693	event:/UISec/sound_starchild_change2	0.000000	0.000000	0	0	0.000000	0		
4694	event:/Soldier/sound_skill_400000	0.000000	0.000000	0	0	0.000000	0		
4695	event:/Soldier/sound_skill_400001	0.000000	0.000000	0	0	0.000000	0		
4696	event:/Soldier/sound_skill_400005	0.000000	0.000000	0	0	0.000000	0		
4697	event:/Soldier/sound_skill_400600	0.000000	0.000000	0	0	0.000000	0		
4698	event:/Soldier/sound_skill_400601	0.000000	0.000000	0	0	0.000000	0		
4699	event:/Soldier/sound_skill_400602	0.000000	0.000000	0	0	0.000000	0		
4700	event:/Soldier/sound_skill_400603	0.000000	0.000000	0	0	0.000000	0		
4701	event:/Soldier/sound_skill_400604	0.000000	0.000000	0	0	0.000000	0		
4702	event:/Soldier/sound_skill_400605	0.000000	0.000000	0	0	0.000000	0		
4703	event:/Soldier/sound_skill_401500	0.000000	0.000000	0	0	0.000000	0		
4704	event:/Soldier/sound_skill_401501	0.000000	0.000000	0	0	0.000000	0		
4705	event:/Soldier/sound_skill_401502	0.000000	0.000000	0	0	0.000000	0		
4706	event:/Soldier/sound_skill_401503	0.000000	0.000000	0	0	0.000000	0		
4707	event:/Soldier/sound_skill_401504	0.000000	0.000000	0	0	0.000000	0		
4708	event:/Soldier/sound_skill_401505	0.000000	0.000000	0	0	0.000000	0		
4709	event:/Soldier/sound_skill_401600	0.000000	0.000000	0	0	0.000000	0		
4710	event:/Soldier/sound_skill_401601	0.000000	0.000000	0	0	0.000000	0		
4711	event:/Soldier/sound_skill_401602	0.000000	0.000000	0	0	0.000000	0		
4712	event:/Soldier/sound_skill_401603	0.000000	0.000000	0	0	0.000000	0		
4713	event:/Soldier/sound_skill_401604	0.000000	0.000000	0	0	0.000000	0		
4714	event:/Soldier/sound_skill_401605	0.000000	0.000000	0	0	0.000000	0		
4715	event:/Soldier/sound_skill_401300	0.000000	0.000000	0	0	0.000000	0		
4716	event:/Soldier/sound_skill_401301	0.000000	0.000000	0	0	0.000000	0		
