属性编号	属性名称	秒伤统计时记录	缩写	评分变化时是否显示	显示方式	值类型	值基数	是否是使者属性
111	PropName_111	1	ODRD	0	1	1	10000	0
112	PropName_112	0	CSKILLHEALPER	0	1	1	10000	0
113	PropName_113	0	SKHEALPERMIN	0	1	1	1	0
114	PropName_114	0	SKHEALPERMAX	0	1	1	1	0
115	PropName_115	0	SKDRD	0	1	1	10000	0
116	PropName_116	1	SCDDRD	0	0	1	1	0
131	PropName_131	1	HUMANDIN	1	1	1	10000	0
132	PropName_132	1	HUMANDRE	1	1	1	10000	0
133	PropName_133	1	ANIMALDIN	1	1	1	10000	0
134	PropName_134	1	ANIMALDRE	1	1	1	10000	0
135	PropName_135	1	INSECTDIN	1	1	1	10000	0
136	PropName_136	1	INSECTDRE	1	1	1	10000	0
137	PropName_137	1	DEMONDIN	1	1	1	10000	0
138	PropName_138	1	DEMONDRE	1	1	1	10000	0
139	PropName_139	1	PUPPETDIN	1	1	1	10000	0
140	PropName_140	1	PUPPETDRE	1	1	1	10000	0
141	PropName_141	1	GHOSTDIN	1	1	1	10000	0
142	PropName_142	1	GHOSTDRE	1	1	1	10000	0
143	PropName_143	1	MACHINEDIN	1	1	1	10000	0
144	PropName_144	1	MACHINEDRE	1	1	1	10000	0
145	PropName_145	1	PLANTDIN	1	1	1	10000	0
146	PropName_146	1	PLANTDRE	1	1	1	10000	0
147	PropName_147	1	ELEMENTDIN	1	1	1	10000	0
148	PropName_148	1	ELEMENTDRE	1	1	1	10000	0
149	PropName_149	1	NORMOSTERDIN	1	1	1	10000	0
150	PropName_150	1	NORMOSTERDRE	1	1	1	10000	0
151	PropName_151	1	ELITEDIN	1	1	1	10000	0
152	PropName_152	1	ELITEDRE	1	1	1	10000	0
153	PropName_153	1	BOSSDIN	1	1	1	10000	0
154	PropName_154	1	BOSSDRE	1	1	1	10000	0
155	PropName_155	0	SBPER	0	1	1	10000	0
156	PropName_156	0	TDPER	1	1	1	10000	0
157	PropName_157	0	NASBPER	0	1	1	10000	0
158	PropName_158	0	STUNDIC	1	1	1	10000	0
160	PropName_160	0	ROOTDIC	1	1	1	10000	0
161	PropName_161	0	SLOWDIC	1	1	1	10000	0
162	PropName_162	0	STUNDOD	0	1	1	10000	0
163	PropName_163	0	SILDOD	0	1	1	10000	0
164	PropName_164	0	ROOTDOD	0	1	1	10000	0
165	PropName_165	0	SLOWDOD	0	1	1	10000	0
166	PropName_166	0	NABNOCRI	0	1	1	1	0
167	PropName_167	0	NANOCRIPA	0	1	1	10000	0
168	PropName_168	0	SLOWDAMPER	0	1	1	10000	0
169	PropName_169	0	NDHEALPR	0	1	1	10000	0
170	PropName_170	0	NDHEALPER	0	1	1	10000	0
171	PropName_171	0	SUITRED	0	0	1	10000	0
172	PropName_172	1	CRIADDHPPER	0	1	1	10000	0
173	PropName_173	1	HHDIC	1	1	1	10000	0
174	PropName_174	1	LHDIC	1	1	1	10000	0
175	PropName_175	1	DOTDIC	0	1	1	10000	0
176	PropName_176	0	MAXPVPDHPPER	0	1	1	10000	0
177	PropName_177	0	SEDSBPER	0	1	1	10000	0
178	PropName_178	1	DADATTPER	0	1	1	10000	0
179	PropName_179	1	JSKILLCDRD	0	1	1	10000	0
180	PropName_180	0	SPRD	0	1	1	10000	0
181	PropName_181	0	EXSHIELD	0	1	1	1	0
182	PropName_182	0	EXSHIELDPROP	0	1	1	10000	0
183	PropName_183	0	EXSHILEDMAX	0	1	1	10000	0
184	PropName_184	1	RAGEDRE	1	1	1	10000	0
185	PropName_185	1	DFESTRPER	1	1	1	10000	0
186	PropName_186	1	HUMODIC	1	1	1	10000	0
187	PropName_187	1	HUMODRD	1	1	1	10000	0
188	PropName_188	0	HEALRDPER	0	1	1	10000	0
189	PropName_189	1	SKILLSCDDRD	0	0	1	1	0
190	PropName_190	1	SOULODIC	0	1	1	10000	0
191	PropName_191	1	SOULODRD	0	1	1	10000	0
192	PropName_192	1	SHIELDOBTPER	0	1	1	10000	0
201	PropName_201	0	CRKMORESLVR	0	1	1	10000	0
202	PropName_202	0	WTMORESLVR	0	1	1	10000	0
203	PropName_203	0	DIGTRSUREDROP	0	1	1	10000	0
204	PropName_204	0	FOODHPRGPER	0	1	1	10000	0
205	PropName_205	0	FOODMPRGPER	0	1	1	10000	0
206	PropName_206	1	DISDEFPER	1	1	1	10000	0
207	PropName_207	0	PATNGIFTFRD	1	1	1	10000	0
208	PropName_208	0	PATNTEAMFRD	1	1	1	10000	0
209	PropName_209	0	LOGPER	1	1	1	10000	0
210	PropName_210	0	LOGDIS	1	0	1	1	0
211	PropName_211	0	PETHPMAXPER	0	1	1	10000	0
212	PropName_212	0	PETATTPER	0	1	1	10000	0
213	PropName_213	0	PETDEFPER	0	1	1	10000	0
214	PropName_214	0	INCSUITADVANCED	0	0	1	1	0
215	PropName_215	0	SKILLCUSTOMPROP0	0	0	1	1	0
216	PropName_216	0	SKILLCUSTOMPROP1	0	0	1	1	0
217	PropName_217	0	SKILLCUSTOMPROP2	0	0	1	1	0
218	PropName_218	0	SKILLCUSTOMPROP3	0	0	1	1	0
219	PropName_219	0	SKILLCUSTOMPROP4	0	0	1	1	0
220	PropName_220	0	SKILLCUSTOMPROP5	0	0	1	1	0
221	PropName_221	0	SKILLCUSTOMPROP6	0	0	1	1	0
222	PropName_222	0	SKILLCUSTOMPROP7	0	0	1	1	0
223	PropName_223	0	SKILLCUSTOMPROP8	0	0	1	1	0
224	PropName_224	0	SKILLCUSTOMPROP9	0	0	1	1	0
225	PropName_225	0	MDPER	0	1	1	10000	0
226	PropName_226	0	MDMULTI	0	1	1	10000	0
227	PropName_227	0	SPEEDCUTPER	0	1	1	10000	0
228	PropName_228	0	MDSPER	0	1	1	10000	0
229	PropName_229	0	MDSMULTI	0	1	1	10000	0
230	PropName_230	1	SOLDIERDIC	1	1	1	10000	0
231	PropName_231	1	MASTERDIC	1	1	1	10000	0
232	PropName_232	1	SHOOTERDIC	1	1	1	10000	0
233	PropName_233	1	PASTORDIC	1	1	1	10000	0
234	PropName_234	1	KILLERDIC	1	1	1	10000	0
235	PropName_235	1	KNIGHTDIC	1	1	1	10000	0
236	PropName_236	1	SOLDIERDRD	1	1	1	10000	0
237	PropName_237	1	MASTERDRD	1	1	1	10000	0
238	PropName_238	1	SHOOTERDRD	1	1	1	10000	0
239	PropName_239	1	PASTORDRD	1	1	1	10000	0
240	PropName_240	1	KILLERDRD	1	1	1	10000	0
241	PropName_241	1	KNIGHTDRD	1	1	1	10000	0
242	PropName_242	0	EXDRD0	0	1	1	10000	0
243	PropName_243	0	EXDRD1	0	1	1	10000	0
244	PropName_244	0	EXDRD2	0	1	1	10000	0
245	PropName_245	0	EXDRD3	0	1	1	10000	0
246	PropName_246	0	EXDRD4	0	1	1	10000	0
247	PropName_247	0	EXDRD5	0	1	1	10000	0
248	PropName_248	0	EXDRD6	0	1	1	10000	0
249	PropName_249	0	EXDRD7	0	1	1	10000	0
250	PropName_250	0	EXDRD8	0	1	1	10000	0
251	PropName_251	0	EXDRD9	0	1	1	10000	0
252	PropName_252	0	DISEXDRD0	0	1	1	10000	0
253	PropName_253	0	DISEXDRD1	0	1	1	10000	0
254	PropName_254	0	DISEXDRD2	0	1	1	10000	0
255	PropName_255	0	DISEXDRD3	0	1	1	10000	0
256	PropName_256	0	DISEXDRD4	0	1	1	10000	0
257	PropName_257	0	DISEXDRD5	0	1	1	10000	0
258	PropName_258	0	DISEXDRD6	0	1	1	10000	0
259	PropName_259	0	DISEXDRD7	0	1	1	10000	0
260	PropName_260	0	DISEXDRD8	0	1	1	10000	0
261	PropName_261	0	DISEXDRD9	0	1	1	10000	0
262	PropName_262	1	SEDDIC	0	1	1	10000	0
263	PropName_263	0	SEDPER	0	1	1	10000	0
264	PropName_264	0	FURYMAX	0	0	1	10000	0
265	PropName_265	0	FURYRG	0	0	1	1	0
266	PropName_266	0	FURYRD	0	0	1	1	0
267	PropName_267	0	SEDSKILLHEALPER	0	1	1	10000	0
268	PropName_268	0	STARSOULADDITION1	0	1	1	10000	0
269	PropName_269	0	STARSOULADDITION2	0	1	1	10000	0
270	PropName_270	0	STARSOULADDITION3	0	1	1	10000	0
271	PropName_271	0	STARSOULADDITION4	0	1	1	10000	0
272	PropName_272	0	FORGERATE	0	1	1	10000	0
273	PropName_273	0	FISHPOINT	0	0	1	1	0
274	PropName_274	0	NECKLACES_EARRINGSTOAS	0	1	1	10000	0
275	PropName_275	0	BRACELET_RINGTOAS	0	1	1	10000	0
276	PropName_276	0	WEAPONS_HEADGEARTOAS	0	1	1	10000	0
277	PropName_277	0	SHOULDER_CLOTHINGTOAS	0	1	1	10000	0
278	PropName_278	0	PANTS_SHOESTOAS	0	1	1	10000	0
279	PropName_279	0	ELEHPMAX	1	0	1	1	0
280	PropName_280	0	ELEHPPER	1	1	1	10000	0
281	PropName_281	0	ELEATT	1	0	1	1	0
282	PropName_282	0	ELEATTPER	1	1	1	10000	0
283	PropName_283	0	ELECRIRATE	1	1	1	10000	0
284	PropName_284	0	ELECDGRATE	1	1	1	10000	0
285	PropName_285	0	ELEDEF	1	0	1	1	0
286	PropName_286	0	ELEDEFPER	1	1	1	10000	0
287	PropName_287	0	ELERESRATE	1	1	1	10000	0
288	PropName_288	0	ELECDDRATE	1	1	1	10000	0
289	PropName_289	0	ELEDIC	1	1	1	10000	0
290	PropName_290	0	ELEDRD	1	1	1	10000	0
291	PropName_291	0	ELELETTER	1	1	1	10000	0
292	PropName_292	0	ELERESIST	1	1	1	10000	0
293	PropName_293	0	ELECDRD	1	1	1	10000	0
294	PropName_294	0	ELEBLESS	1	1	1	10000	0
295	PropName_295	0	ELEBREAK	1	1	1	10000	0
301	PropName_301	1	ENVOYHPMAX	1	0	1	1	1
302	PropName_302	0	ENVOYHPRG	1	0	1	1	1
303	PropName_303	0	ENVOYHPER	1	1	1	10000	1
311	PropName_311	0	ENVOYHEALTF	1	1	1	10000	0
312	PropName_312	1	ENVOYDIC	1	1	1	10000	0
313	PropName_313	1	ENVOYDRD	1	1	1	10000	0
314	PropName_314	1	ENVOYTGDIC	1	1	1	10000	0
315	PropName_315	1	ENVOYTGDRD	1	1	1	10000	0
316	PropName_316	1	ENVOYSKILLDRD	0	1	1	10000	0
331	PropName_331	1	ENVOYATT	1	0	1	1	0
332	PropName_332	1	ENVOYATTPER	1	1	1	10000	0
333	PropName_333	0	MAXPVEDHPPER	0	1	1	10000	0
