流水	任务类型	任务参数	任务目标	任务参数2	任务目标2	显示类型	显示内容	任务描述	奖励	链接命令	链接参数	开放等级
11071	2	111,125,106	1859,1550,1551			2	111,125,106	contract_task_des_11071	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11072	2	124,119,123	1859,1550,1551			2	124,119,123	contract_task_des_11072	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11073	1	1859,1550,1551	1			1	1	contract_task_des_11073	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11074	1	1859,1550,1551	3			1	3	contract_task_des_11074	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11075	1	1859,1550,1551	5			1	5	contract_task_des_11075	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11076	1	1859,1550,1551	8			1	8	contract_task_des_11076	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11077	1	1859,1550,1551	13			1	13	contract_task_des_11077	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11078	2	106,140,113	1859,1550,1551			2	106,140,113	contract_task_des_11078	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11079	2	115,117,127	1859,1550,1551			2	115,117,127	contract_task_des_11079	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11080	1	1859,1550,1551	1			1	1	contract_task_des_11080	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11081	1	1859,1550,1551	3			1	3	contract_task_des_11081	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11082	1	1859,1550,1551	5			1	5	contract_task_des_11082	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11083	1	1859,1550,1551	8			1	8	contract_task_des_11083	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11084	1	1859,1550,1551	14			1	14	contract_task_des_11084	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11085	2	103,115,111	1859,1550,1551			2	103,115,111	contract_task_des_11085	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11086	2	118,126,125	1859,1550,1551			2	118,126,125	contract_task_des_11086	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11087	1	1859,1550,1551	1			1	1	contract_task_des_11087	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11088	1	1859,1550,1551	3			1	3	contract_task_des_11088	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11089	1	1859,1550,1551	5			1	5	contract_task_des_11089	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11090	1	1859,1550,1551	8			1	8	contract_task_des_11090	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11091	1	1859,1550,1551	15			1	15	contract_task_des_11091	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11092	2	114,119,111	1859,1550,1551			2	114,119,111	contract_task_des_11092	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
11093	2	113,116,127	1859,1550,1551			2	113,116,127	contract_task_des_11093	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21001	1	1859,1550,1551	4			1	4	contract_task_des_21001	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21002	1	1859,1550,1551	15			1	15	contract_task_des_21002	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21003	1	1859,1550,1551	20			1	20	contract_task_des_21003	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21004	1	1859,1550,1551	25			1	25	contract_task_des_21004	item140000011024,1	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21005	3	1859,1550,1551	1			1	1	contract_task_des_21005	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21006	3	1859,1550,1551	5			1	5	contract_task_des_21006	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21007	3	1859,1550,1551	10			1	10	contract_task_des_21007	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21008	3	1859,1550,1551	15			1	15	contract_task_des_21008	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
21009	1	1860,1553,1554,1106,1108	1			1	1	contract_task_des_21009	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1860	76
21010	1	1860,1553,1554,1106,1108	3			1	3	contract_task_des_21010	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21011	1	1860,1553,1554,1106,1108	5			1	5	contract_task_des_21011	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	76
21012	1	1860,1553,1554,1106,1108	8			1	8	contract_task_des_21012	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21013	1	1860,1553,1554,1106,1108	12			1	12	contract_task_des_21013	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21014	1	1860,1553,1554,1106,1108	16			1	16	contract_task_des_21014	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21015	1	1860,1553,1554,1106,1108	20			1	20	contract_task_des_21015	item100900001001,150	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21016	1	1860,1553,1554,1106,1108	25			1	25	contract_task_des_21016	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21017	1	1860,1553,1554,1106,1108	30			1	30	contract_task_des_21017	item100900001001,80	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21018	1	1860,1553,1554,1106,1108	35			1	35	contract_task_des_21018	item100900001001,50	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21019	1	1860,1553,1554,1106,1108	45			1	45	contract_task_des_21019	item140000011025,1	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21020	2	201,215,218	1860,1553,1554,1106,1108			2	201,215,218	contract_task_des_21020	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21021	2	205,222,210	1860,1553,1554,1106,1108			2	205,222,210	contract_task_des_21021	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21022	2	209,245,229	1860,1553,1554,1106,1108			2	209,245,229	contract_task_des_21022	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21023	2	211,217,247	1860,1553,1554,1106,1108			2	211,217,247	contract_task_des_21023	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21024	2	213,228,230	1860,1553,1554,1106,1108			2	213,228,230	contract_task_des_21024	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21025	2	214,227,248	1860,1553,1554,1106,1108			2	214,227,248	contract_task_des_21025	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21026	2	203,247,231	1860,1553,1554,1106,1108			2	203,247,231	contract_task_des_21026	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
21027	2	206,223,232	1860,1553,1554,1106,1108			2	206,223,232	contract_task_des_21027	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
12012	1	1853	1			1	1	contract_task_des_12012	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12013	1	1853	3			1	3	contract_task_des_12013	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12014	1	1853	5			1	5	contract_task_des_12014	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12015	1	1853	8			1	8	contract_task_des_12015	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12016	2	122,108	1853			2	122,108	contract_task_des_12016	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12017	2	102,118,112	1853			2	102,118,112	contract_task_des_12017	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12018	1	1853	1			1	1	contract_task_des_12018	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12019	1	1853	3			1	3	contract_task_des_12019	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12020	1	1853	5			1	5	contract_task_des_12020	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12021	1	1853	8			1	8	contract_task_des_12021	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12022	2	123,139	1853			2	123,139	contract_task_des_12022	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12023	2	105,109,114	1853			2	105,109,114	contract_task_des_12023	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12024	1	1853	1			1	1	contract_task_des_12024	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12025	1	1853	3			1	3	contract_task_des_12025	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12026	1	1853	5			1	5	contract_task_des_12026	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12027	1	1853	8			1	8	contract_task_des_12027	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12028	1	1853	12			1	12	contract_task_des_12028	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12029	2	113,109	1853			2	113,109	contract_task_des_12029	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12030	2	106,116,135	1853			2	106,116,135	contract_task_des_12030	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12031	1	1853	1			1	1	contract_task_des_12031	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12032	1	1853	3			1	3	contract_task_des_12032	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12033	1	1853	5			1	5	contract_task_des_12033	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12034	1	1853	8			1	8	contract_task_des_12034	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12035	1	1853	12			1	12	contract_task_des_12035	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12036	2	115,117	1853			2	115,117	contract_task_des_12036	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12037	2	136,109,103	1853			2	136,109,103	contract_task_des_12037	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12038	1	1853	1			1	1	contract_task_des_12038	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12039	1	1853	3			1	3	contract_task_des_12039	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12040	1	1853	5			1	5	contract_task_des_12040	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12041	1	1853	8			1	8	contract_task_des_12041	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12042	1	1853	12			1	12	contract_task_des_12042	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12043	2	123,124	1853			2	123,124	contract_task_des_12043	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12044	2	113,106,109	1853			2	113,106,109	contract_task_des_12044	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12045	1	1853	1			1	1	contract_task_des_12045	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12046	1	1853	3			1	3	contract_task_des_12046	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12047	1	1853	5			1	5	contract_task_des_12047	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12048	1	1853	8			1	8	contract_task_des_12048	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12049	1	1853	12			1	12	contract_task_des_12049	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12050	2	122,112,106	1853			2	122,112,106	contract_task_des_12050	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12051	2	115,137,103	1853			2	115,137,103	contract_task_des_12051	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12052	1	1853	1			1	1	contract_task_des_12052	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12053	1	1853	3			1	3	contract_task_des_12053	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12054	1	1853	5			1	5	contract_task_des_12054	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12055	1	1853	8			1	8	contract_task_des_12055	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12056	1	1853	12			1	12	contract_task_des_12056	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12057	2	114,138,103	1853			2	114,138,103	contract_task_des_12057	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12058	2	110,122,109	1853			2	110,122,109	contract_task_des_12058	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12059	1	1853	1			1	1	contract_task_des_12059	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12060	1	1853	3			1	3	contract_task_des_12060	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12061	1	1853	5			1	5	contract_task_des_12061	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12062	1	1853	8			1	8	contract_task_des_12062	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12063	1	1853	12			1	12	contract_task_des_12063	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12064	2	111,125,109	1853			2	111,125,109	contract_task_des_12064	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12065	2	120,118,124	1853			2	120,118,124	contract_task_des_12065	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12066	1	1853	1			1	1	contract_task_des_12066	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12067	1	1853	3			1	3	contract_task_des_12067	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12068	1	1853	5			1	5	contract_task_des_12068	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12069	1	1853	8			1	8	contract_task_des_12069	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12070	1	1853	12			1	12	contract_task_des_12070	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12071	2	111,112,106	1853			2	111,112,106	contract_task_des_12071	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12072	2	124,126,123	1853			2	124,126,123	contract_task_des_12072	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12073	1	1853	1			1	1	contract_task_des_12073	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12074	1	1853	3			1	3	contract_task_des_12074	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12075	1	1853	5			1	5	contract_task_des_12075	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12076	1	1853	8			1	8	contract_task_des_12076	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12077	1	1853	13			1	13	contract_task_des_12077	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12078	2	106,109,113	1853			2	106,109,113	contract_task_des_12078	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12079	2	115,117,127	1853			2	115,117,127	contract_task_des_12079	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12080	1	1853	1			1	1	contract_task_des_12080	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12081	1	1853	3			1	3	contract_task_des_12081	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12082	1	1853	5			1	5	contract_task_des_12082	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12083	1	1853	8			1	8	contract_task_des_12083	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12084	1	1853	14			1	14	contract_task_des_12084	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12085	2	103,115,111	1853			2	103,115,111	contract_task_des_12085	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12086	2	118,122,125	1853			2	118,122,125	contract_task_des_12086	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12087	1	1853	1			1	1	contract_task_des_12087	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12088	1	1853	3			1	3	contract_task_des_12088	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12089	1	1853	5			1	5	contract_task_des_12089	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12090	1	1853	8			1	8	contract_task_des_12090	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12091	1	1853	15			1	15	contract_task_des_12091	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12092	2	114,139,111	1853			2	114,139,111	contract_task_des_12092	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
12093	2	113,116,127	1853			2	113,116,127	contract_task_des_12093	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
22001	1	1853	4			1	4	contract_task_des_22001	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
22002	1	1853	15			1	15	contract_task_des_22002	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
22003	1	1853	20			1	20	contract_task_des_22003	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
22004	1	1853	25			1	25	contract_task_des_22004	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
22005	3	1853	1			1	1	contract_task_des_22005	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
22006	3	1853	5			1	5	contract_task_des_22006	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
