流水	世界等级	世界等级	BossID	评级	存活时间	伤害线	评级描述	评级奖励
155	71	80	Monster11	5	60	10000	RatingDes5	item1043,320;item106400001106,2;item171002010001,1
156	71	80	Monster11	6	40	10000	RatingDes6	item1043,320;item106400001106,2;item171002010001,1
157	81	90	Monster11	1	90	1000000000	RatingDes1	item1043,320;item106400001106,5;item171002010002,2
158	81	90	Monster11	2	90	300000000	RatingDes2	item1043,320;item106400001106,3;item171002010002,1
159	81	90	Monster11	3	90	100000000	RatingDes3	item1043,320;item106400001106,2;item171002010002,1
160	81	90	Monster11	4	90	10000	RatingDes4	item1043,320;item106400001106,2;item171002010001,1
161	81	90	Monster11	5	60	10000	RatingDes5	item1043,320;item106400001106,2;item171002010001,1
162	81	90	Monster11	6	40	10000	RatingDes6	item1043,320;item106400001106,2;item171002010001,1
163	91	110	Monster11	1	90	3500000000	RatingDes1	item1043,320;item106400001106,5;item171002010002,2
164	91	110	Monster11	2	90	1000000000	RatingDes2	item1043,320;item106400001106,3;item171002010002,1
165	91	110	Monster11	3	90	300000000	RatingDes3	item1043,320;item106400001106,2;item171002010002,1
166	91	110	Monster11	4	90	10000	RatingDes4	item1043,320;item106400001106,2;item171002010001,1
167	91	110	Monster11	5	60	10000	RatingDes5	item1043,320;item106400001106,2;item171002010001,1
168	91	110	Monster11	6	40	10000	RatingDes6	item1043,320;item106400001106,2;item171002010001,1
169	10	40	Monster12	1	90	5000000	RatingDes1	item1043,360;item106400001106,6;item171002010002,2
170	10	40	Monster12	2	90	1500000	RatingDes2	item1043,360;item106400001106,4;item171002010002,1
171	10	40	Monster12	3	90	800000	RatingDes3	item1043,360;item106400001106,3;item171002010002,1
172	10	40	Monster12	4	90	10000	RatingDes4	item1043,360;item106400001106,3;item171002010001,2
173	10	40	Monster12	5	60	10000	RatingDes5	item1043,360;item106400001106,2;item171002010001,1
174	10	40	Monster12	6	40	10000	RatingDes6	item1043,360;item106400001106,2;item171002010001,1
175	41	50	Monster12	1	90	15000000	RatingDes1	item1043,360;item106400001106,6;item171002010002,2
176	41	50	Monster12	2	90	6000000	RatingDes2	item1043,360;item106400001106,4;item171002010002,1
177	41	50	Monster12	3	90	4000000	RatingDes3	item1043,360;item106400001106,3;item171002010002,1
178	41	50	Monster12	4	90	10000	RatingDes4	item1043,360;item106400001106,3;item171002010001,2
179	41	50	Monster12	5	60	10000	RatingDes5	item1043,360;item106400001106,2;item171002010001,1
180	41	50	Monster12	6	40	10000	RatingDes6	item1043,360;item106400001106,2;item171002010001,1
181	51	60	Monster12	1	90	40000000	RatingDes1	item1043,360;item106400001106,6;item171002010002,2
182	51	60	Monster12	2	90	15000000	RatingDes2	item1043,360;item106400001106,4;item171002010002,1
183	51	60	Monster12	3	90	7500000	RatingDes3	item1043,360;item106400001106,3;item171002010002,1
184	51	60	Monster12	4	90	10000	RatingDes4	item1043,360;item106400001106,3;item171002010001,2
185	51	60	Monster12	5	60	10000	RatingDes5	item1043,360;item106400001106,2;item171002010001,1
186	51	60	Monster12	6	40	10000	RatingDes6	item1043,360;item106400001106,2;item171002010001,1
187	61	70	Monster12	1	90	100000000	RatingDes1	item1043,360;item106400001106,6;item171002010002,2
188	61	70	Monster12	2	90	45000000	RatingDes2	item1043,360;item106400001106,4;item171002010002,1
189	61	70	Monster12	3	90	25000000	RatingDes3	item1043,360;item106400001106,3;item171002010002,1
190	61	70	Monster12	4	90	10000	RatingDes4	item1043,360;item106400001106,3;item171002010001,2
191	61	70	Monster12	5	60	10000	RatingDes5	item1043,360;item106400001106,2;item171002010001,1
192	61	70	Monster12	6	40	10000	RatingDes6	item1043,360;item106400001106,2;item171002010001,1
193	71	80	Monster12	1	90	500000000	RatingDes1	item1043,360;item106400001106,6;item171002010002,2
194	71	80	Monster12	2	90	100000000	RatingDes2	item1043,360;item106400001106,4;item171002010002,1
195	71	80	Monster12	3	90	40000000	RatingDes3	item1043,360;item106400001106,3;item171002010002,1
196	71	80	Monster12	4	90	10000	RatingDes4	item1043,360;item106400001106,3;item171002010001,2
197	71	80	Monster12	5	60	10000	RatingDes5	item1043,360;item106400001106,2;item171002010001,1
198	71	80	Monster12	6	40	10000	RatingDes6	item1043,360;item106400001106,2;item171002010001,1
199	81	90	Monster12	1	90	1000000000	RatingDes1	item1043,360;item106400001106,6;item171002010002,2
200	81	90	Monster12	2	90	300000000	RatingDes2	item1043,360;item106400001106,4;item171002010002,1
201	81	90	Monster12	3	90	100000000	RatingDes3	item1043,360;item106400001106,3;item171002010002,1
202	81	90	Monster12	4	90	10000	RatingDes4	item1043,360;item106400001106,3;item171002010001,2
203	81	90	Monster12	5	60	10000	RatingDes5	item1043,360;item106400001106,2;item171002010001,1
204	81	90	Monster12	6	40	10000	RatingDes6	item1043,360;item106400001106,2;item171002010001,1
205	91	110	Monster12	1	90	3500000000	RatingDes1	item1043,360;item106400001106,6;item171002010002,2
206	91	110	Monster12	2	90	1000000000	RatingDes2	item1043,360;item106400001106,4;item171002010002,1
207	91	110	Monster12	3	90	300000000	RatingDes3	item1043,360;item106400001106,3;item171002010002,1
208	91	110	Monster12	4	90	10000	RatingDes4	item1043,360;item106400001106,3;item171002010001,2
209	91	110	Monster12	5	60	10000	RatingDes5	item1043,360;item106400001106,2;item171002010001,1
210	91	110	Monster12	6	40	10000	RatingDes6	item1043,360;item106400001106,2;item171002010001,1
211	10	40	Monster13	1	90	5000000	RatingDes1	item1043,400;item106400001106,7;item171002010002,2
212	10	40	Monster13	2	90	1500000	RatingDes2	item1043,400;item106400001106,4;item171002010002,1
213	10	40	Monster13	3	90	800000	RatingDes3	item1043,400;item106400001106,3;item171002010002,1
214	10	40	Monster13	4	90	10000	RatingDes4	item1043,400;item106400001106,3;item171002010001,2
215	10	40	Monster13	5	60	10000	RatingDes5	item1043,400;item106400001106,2;item171002010001,1
216	10	40	Monster13	6	40	10000	RatingDes6	item1043,400;item106400001106,2;item171002010001,1
217	41	50	Monster13	1	90	15000000	RatingDes1	item1043,400;item106400001106,7;item171002010002,2
218	41	50	Monster13	2	90	6000000	RatingDes2	item1043,400;item106400001106,4;item171002010002,1
219	41	50	Monster13	3	90	4000000	RatingDes3	item1043,400;item106400001106,3;item171002010002,1
220	41	50	Monster13	4	90	10000	RatingDes4	item1043,400;item106400001106,3;item171002010001,2
221	41	50	Monster13	5	60	10000	RatingDes5	item1043,400;item106400001106,2;item171002010001,1
222	41	50	Monster13	6	40	10000	RatingDes6	item1043,400;item106400001106,2;item171002010001,1
223	51	60	Monster13	1	90	40000000	RatingDes1	item1043,400;item106400001106,7;item171002010002,2
224	51	60	Monster13	2	90	15000000	RatingDes2	item1043,400;item106400001106,4;item171002010002,1
225	51	60	Monster13	3	90	7500000	RatingDes3	item1043,400;item106400001106,3;item171002010002,1
226	51	60	Monster13	4	90	10000	RatingDes4	item1043,400;item106400001106,3;item171002010001,2
227	51	60	Monster13	5	60	10000	RatingDes5	item1043,400;item106400001106,2;item171002010001,1
228	51	60	Monster13	6	40	10000	RatingDes6	item1043,400;item106400001106,2;item171002010001,1
229	61	70	Monster13	1	90	100000000	RatingDes1	item1043,400;item106400001106,7;item171002010002,2
230	61	70	Monster13	2	90	45000000	RatingDes2	item1043,400;item106400001106,4;item171002010002,1
231	61	70	Monster13	3	90	25000000	RatingDes3	item1043,400;item106400001106,3;item171002010002,1
232	61	70	Monster13	4	90	10000	RatingDes4	item1043,400;item106400001106,3;item171002010001,2
233	61	70	Monster13	5	60	10000	RatingDes5	item1043,400;item106400001106,2;item171002010001,1
234	61	70	Monster13	6	40	10000	RatingDes6	item1043,400;item106400001106,2;item171002010001,1
235	71	80	Monster13	1	90	500000000	RatingDes1	item1043,400;item106400001106,7;item171002010002,2
236	71	80	Monster13	2	90	100000000	RatingDes2	item1043,400;item106400001106,4;item171002010002,1
237	71	80	Monster13	3	90	40000000	RatingDes3	item1043,400;item106400001106,3;item171002010002,1
238	71	80	Monster13	4	90	10000	RatingDes4	item1043,400;item106400001106,3;item171002010001,2
239	71	80	Monster13	5	60	10000	RatingDes5	item1043,400;item106400001106,2;item171002010001,1
240	71	80	Monster13	6	40	10000	RatingDes6	item1043,400;item106400001106,2;item171002010001,1
241	81	90	Monster13	1	90	1000000000	RatingDes1	item1043,400;item106400001106,7;item171002010002,2
242	81	90	Monster13	2	90	300000000	RatingDes2	item1043,400;item106400001106,4;item171002010002,1
243	81	90	Monster13	3	90	100000000	RatingDes3	item1043,400;item106400001106,3;item171002010002,1
244	81	90	Monster13	4	90	10000	RatingDes4	item1043,400;item106400001106,3;item171002010001,2
245	81	90	Monster13	5	60	10000	RatingDes5	item1043,400;item106400001106,2;item171002010001,1
246	81	90	Monster13	6	40	10000	RatingDes6	item1043,400;item106400001106,2;item171002010001,1
247	91	110	Monster13	1	90	3500000000	RatingDes1	item1043,400;item106400001106,7;item171002010002,2
248	91	110	Monster13	2	90	1000000000	RatingDes2	item1043,400;item106400001106,4;item171002010002,1
249	91	110	Monster13	3	90	300000000	RatingDes3	item1043,400;item106400001106,3;item171002010002,1
250	91	110	Monster13	4	90	10000	RatingDes4	item1043,400;item106400001106,3;item171002010001,2
251	91	110	Monster13	5	60	10000	RatingDes5	item1043,400;item106400001106,2;item171002010001,1
252	91	110	Monster13	6	40	10000	RatingDes6	item1043,400;item106400001106,2;item171002010001,1
253	10	40	Monster14	1	90	5000000	RatingDes1	item1043,440;item106400001106,8;item171002010002,3
254	10	40	Monster14	2	90	1500000	RatingDes2	item1043,440;item106400001106,5;item171002010002,1
255	10	40	Monster14	3	90	800000	RatingDes3	item1043,440;item106400001106,4;item171002010002,1
256	10	40	Monster14	4	90	10000	RatingDes4	item1043,440;item106400001106,3;item171002010001,2
257	10	40	Monster14	5	60	10000	RatingDes5	item1043,440;item106400001106,2;item171002010001,1
258	10	40	Monster14	6	40	10000	RatingDes6	item1043,440;item106400001106,2;item171002010001,1
259	41	50	Monster14	1	90	15000000	RatingDes1	item1043,440;item106400001106,8;item171002010002,3
260	41	50	Monster14	2	90	6000000	RatingDes2	item1043,440;item106400001106,5;item171002010002,1
261	41	50	Monster14	3	90	4000000	RatingDes3	item1043,440;item106400001106,4;item171002010002,1
262	41	50	Monster14	4	90	10000	RatingDes4	item1043,440;item106400001106,3;item171002010001,2
263	41	50	Monster14	5	60	10000	RatingDes5	item1043,440;item106400001106,2;item171002010001,1
264	41	50	Monster14	6	40	10000	RatingDes6	item1043,440;item106400001106,2;item171002010001,1
265	51	60	Monster14	1	90	40000000	RatingDes1	item1043,440;item106400001106,8;item171002010002,3
266	51	60	Monster14	2	90	15000000	RatingDes2	item1043,440;item106400001106,5;item171002010002,1
267	51	60	Monster14	3	90	7500000	RatingDes3	item1043,440;item106400001106,4;item171002010002,1
268	51	60	Monster14	4	90	10000	RatingDes4	item1043,440;item106400001106,3;item171002010001,2
269	51	60	Monster14	5	60	10000	RatingDes5	item1043,440;item106400001106,2;item171002010001,1
270	51	60	Monster14	6	40	10000	RatingDes6	item1043,440;item106400001106,2;item171002010001,1
271	61	70	Monster14	1	90	100000000	RatingDes1	item1043,440;item106400001106,8;item171002010002,3
272	61	70	Monster14	2	90	45000000	RatingDes2	item1043,440;item106400001106,5;item171002010002,1
273	61	70	Monster14	3	90	25000000	RatingDes3	item1043,440;item106400001106,4;item171002010002,1
274	61	70	Monster14	4	90	10000	RatingDes4	item1043,440;item106400001106,3;item171002010001,2
275	61	70	Monster14	5	60	10000	RatingDes5	item1043,440;item106400001106,2;item171002010001,1
276	61	70	Monster14	6	40	10000	RatingDes6	item1043,440;item106400001106,2;item171002010001,1
277	71	80	Monster14	1	90	500000000	RatingDes1	item1043,440;item106400001106,8;item171002010002,3
278	71	80	Monster14	2	90	100000000	RatingDes2	item1043,440;item106400001106,5;item171002010002,1
279	71	80	Monster14	3	90	40000000	RatingDes3	item1043,440;item106400001106,4;item171002010002,1
280	71	80	Monster14	4	90	10000	RatingDes4	item1043,440;item106400001106,3;item171002010001,2
281	71	80	Monster14	5	60	10000	RatingDes5	item1043,440;item106400001106,2;item171002010001,1
282	71	80	Monster14	6	40	10000	RatingDes6	item1043,440;item106400001106,2;item171002010001,1
283	81	90	Monster14	1	90	1000000000	RatingDes1	item1043,440;item106400001106,8;item171002010002,3
284	81	90	Monster14	2	90	300000000	RatingDes2	item1043,440;item106400001106,5;item171002010002,1
285	81	90	Monster14	3	90	100000000	RatingDes3	item1043,440;item106400001106,4;item171002010002,1
286	81	90	Monster14	4	90	10000	RatingDes4	item1043,440;item106400001106,3;item171002010001,2
287	81	90	Monster14	5	60	10000	RatingDes5	item1043,440;item106400001106,2;item171002010001,1
288	81	90	Monster14	6	40	10000	RatingDes6	item1043,440;item106400001106,2;item171002010001,1
289	91	110	Monster14	1	90	3500000000	RatingDes1	item1043,440;item106400001106,8;item171002010002,3
290	91	110	Monster14	2	90	1000000000	RatingDes2	item1043,440;item106400001106,5;item171002010002,1
291	91	110	Monster14	3	90	300000000	RatingDes3	item1043,440;item106400001106,4;item171002010002,1
