港口ID	据点名称	港口介绍	港口图标	港口背景	坐标	港口坐标	航行路径	下一个据点	据点类型	出售商品	商人ID	首次入港事件	入港事件	探索选项	特殊探索
1012	SailPointName012	SailPointDEC012	icon_gangkou	navi_bg02	52.4,547.37	32.22,-41.11		1046	1	item240000001006,item240000001007,item240000001011,item240000001013,item240000001017	4	0	112	6;7;8	0
1013	SailPointName013	SailPointDEC013	icon_gangkou	navi_bg03	-57.49,379.31	33.33,-43.33		1047	1	item240000001006,item240000001011,item240000001013,item240000001017,item240000001019	1	0	113	7;8;9	0
1014	SailPointName014	SailPointDEC014	icon_gangkou	navi_bg04	-226.36,230.77	45.56,-47.78		1015	1	item240000001006,item240000001011,item240000001012,item240000001018,item240000001019	2	0	114	8;9;10	11
1015	SailPointName015	SailPointDEC015	icon_gangkou_1	navi_bg05	-335.74,82.39	72.22,-20		1048	1	item240000001006,item240000001012,item240000001017,item240000001019,item240000002001	3	0	115	9;10;2	12
1016	SailPointName016	SailPointDEC016	icon_gangkou	navi_bg01	-516.89,-19.26	62.22,-46.67		1049	1	item240000001006,item240000001019,item240000002001,item240000002003,item240000002004	4	0	116	10;2;3	0
1017	SailPointName017	SailPointDEC017	icon_gangkou	navi_bg02	-451.66,-249.51	13,-50		1050	1	item240000001006,item240000002001,item240000002003,item240000002005,item240000002008	1	0	117	2;3;4	0
1018	SailPointName018	SailPointDEC018	icon_gangkou	navi_bg03	-706.49,-322.36	-55,-52		1052	1	item240000001006,item240000002001,item240000002004,item240000002006,item240000002008	2	0	118	3;4;5	11
1019	SailPointName019	SailPointDEC019	icon_gangkou	navi_bg04	-766.08,-164.21	-55.05,-12.79		1053	1	item240000001010,item240000002001,item240000002004,item240000002006,item240000002008	3	0	119	5;6;7	0
1020	SailPointName020	SailPointDEC020	icon_gangkou	navi_bg05	-781.84,47.87	-73.98,7.79		1021	1	item240000001010,item240000002004,item240000002005,item240000002006,item240000002010	4	0	120	6;7;8	0
1021	SailPointName021	SailPointDEC021	icon_gangkou	navi_bg01	-767.51,220.49	-77,33		1054	1	item240000001010,item240000002003,item240000002005,item240000002008,item240000002009	1	0	121	7;8;9	11
1022	SailPointName022	SailPointDEC022	icon_gangkou	navi_bg02	-563.68,273.12	-12.66,61.15		1023	1	item240000001010,item240000002004,item240000002006,item240000002008,item240000002010	2	0	122	8;9;10	0
1023	SailPointName023	SailPointDEC023	icon_gangkou	navi_bg03	-409.27,219.04	-24.08,44.25		1055	1	item240000001010,item240000002003,item240000002008,item240000002009,item240000002011	3	0	123	9;10;2	0
1024	SailPointName024	SailPointDEC024	icon_gangkou	navi_bg04	-192.82,433.45	-0.66,64.87		1056	1	item240000001010,item240000002006,item240000002009,item240000002011,item240000002014	4	0	124	10;2;3	11
1025	SailPointName025	SailPointDEC025	icon_gangkou_1	navi_bg05	-121.74,667	3.94,58.92		1057	1	item240000001010,item240000002006,item240000002010,item240000002011,item240000002014	1	0	125	2;3;4	12
1026	SailPointName026	SailPointDEC026	icon_gangkou	navi_bg01	95.26,780.32	0.25,83.05		1058	1	item240000001010,item240000002010,item240000002011,item240000002014,item240000002015	2	0	126	3;4;5	0
1027	SailPointName027	SailPointDEC027	icon_gangkou	navi_bg02	342.76,671.52	65.78,44.03		1028	1	item240000001020,item240000002014,item240000002016,item240000002017,item240000002020	3	0	127	5;6;7	0
1028	SailPointName028	SailPointDEC028	icon_gangkou_1	navi_bg03	406.42,558.87	70.21,30.21		1059	1	item240000001020,item240000002015,item240000002017,item240000002018,item240000002020	4	0	128	6;7;8	12
1029	SailPointName029	SailPointDEC029	icon_gangkou	navi_bg04	597.69,518.63	64.05,6.22		1060	1	item240000001020,item240000002015,item240000002016,item240000002019,item240000002020	1	0	129	7;8;9	11
1030	SailPointName030	SailPointDEC030	icon_gangkou	navi_bg05	594.8,244.75	11.87,56.67		1061	1	item240000001020,item240000002016,item240000002018,item240000002019,item240000002020	2	0	130	8;9;10	0
1031	SailPointName031	SailPointDEC031	icon_gangkou	navi_bg01	779.75,157.56	68.37,11.7		1062	1	item240000001020,item240000002015,item240000002016,item240000002018,item240000002019	3	0	131	9;10;2	0
1032	SailPointName032	SailPointDEC032	icon_gangkou	navi_bg02	750.16,-90.65	76.15,6.25		1033	1	item240000001020,item240000002013,item240000002016,item240000002018,item240000002020	4	0	132	10;2;3	0
1033	SailPointName033	SailPointDEC033	icon_gangkou_1	navi_bg03	815.83,-255.85	59.65,-19.7		1063	1	item240000001020,item240000002013,item240000002016,item240000002017,item240000002019	1	0	133	2;3;4	12
1034	SailPointName034	SailPointDEC034	icon_gangkou	navi_bg04	673.8,-426.85	11.5,-56.02		1064	1	item240000001020,item240000002012,item240000002016,item240000002017,item240000002019	2	0	134	3;4;5	0
1035	SailPointName035	SailPointDEC035	icon_gangkou	navi_bg05	437.26,-514.99	56.98,-52.21		1065	1	item240000001005,item240000002002,item240000002007,item240000002012,item240000002013	3	0	135	5;6;7	11
1036	SailPointName036	SailPointDEC036	icon_gangkou	navi_bg01	143.29,-532.14	6,-53.58		1066	1	item240000001005,item240000001016,item240000002002,item240000002007,item240000002012	4	0	136	6;7;8	0
1037	SailPointName037	SailPointDEC037	icon_gangkou_1	navi_bg02	2.02,-687.25	9.58,-57.23		1067	1	item240000001004,item240000001005,item240000001016,item240000002002,item240000002007	1	0	137	7;8;9	12
1038	SailPointName038	SailPointDEC038	icon_gangkou	navi_bg03	-64.19,-440.97	-44.23,-47.49		1039	1	item240000001004,item240000001008,item240000001011,item240000001015,item240000001016	2	0	138	8;9;10	0
1039	SailPointName039	SailPointDEC039	icon_gangkou	navi_bg04	-251.19,-556.79	8.37,-36.28		1069	1	item240000001004,item240000001005,item240000001011,item240000001014,item240000001015	3	0	139	9;10;2	0
1040	SailPointName040	SailPointDEC040	icon_gangkou	navi_bg05	-441.89,-584.85	-2.79,-54.42		1070	1	item240000001004,item240000001005,item240000001011,item240000001014,item240000001015	4	0	140	10;2;3	0
1041	SailPointName041	SailPointDEC041	icon_gangkou_2	navi_bg01	-158.79,-213.57	-11.02,58.78		1003	2	item240000002022,item240000001002,item240000001007,item240000001009,item240000001015	1	41	141	2;3;4	12
1042	SailPointName042	SailPointDEC042	icon_gangkou_2	navi_bg02	92.01,-222.42	64.91,56.33		1004	2	item240000002028,item240000001002,item240000001007,item240000001009,item240000001015	2	42	142	3;4;5	12
1043	SailPointName043	SailPointDEC043	icon_gangkou_2	navi_bg03	348.32,-255.67	-25.71,51.43		1005	2	item240000002025,item240000001002,item240000001008,item240000001013,item240000001017	3	43	143	5;6;7	12
1044	SailPointName044	SailPointDEC044	icon_gangkou_2	navi_bg04	424.68,-66.26	-35.51,-42.86		1007	2	item240000002030,item240000001003,item240000001009,item240000001011,item240000001017	4	44	144	6;7;8	12
1045	SailPointName045	SailPointDEC045	icon_gangkou_2	navi_bg05	270.92,317.2	-63.55,13		1010	2	item240000002029,item240000001003,item240000001011,item240000001013,item240000001017	1	45	145	7;8;9	11
1046	SailPointName046	SailPointDEC046	icon_gangkou_2	navi_bg01	102.81,356.79	-20.02,52.12		1013	2	item240000002024,item240000001011,item240000001012,item240000001018,item240000001019	2	46	146	8;9;10	11
1047	SailPointName047	SailPointDEC047	icon_gangkou_2	navi_bg02	-28.98,211.07	-37.94,22.42		1014	2	item240000002022,item240000001011,item240000001017,item240000001018,item240000002001	3	47	147	9;10;2	12
1048	SailPointName048	SailPointDEC048	icon_gangkou_2	navi_bg03	-334.66,-63.53	53.33,-48.89		1016	2	item240000002023,item240000001013,item240000001018,item240000002001,item240000002003	4	48	148	10;2;3	12
1049	SailPointName049	SailPointDEC049	icon_gangkou_2	navi_bg04	-571.22,-169.85	71.16,12.27		1017	2	item240000002026,item240000001018,item240000002001,item240000002004,item240000002005	1	49	149	2;3;4	12
1050	SailPointName050	SailPointDEC050	icon_gangkou_2	navi_bg05	-583.65,-407.92	57,-46		1051	2	item240000002030,item240000001018,item240000002004,item240000002006,item240000002008	2	50	150	3;4;5	12
1051	SailPointName051	SailPointDEC051	icon_gangkou_2	navi_bg01	-768.58,-549.38	53.6,50.81		1018	2	item240000002029,item240000001018,item240000002003,item240000002005,item240000002009	3	51	151	5;6;7	11
1052	SailPointName052	SailPointDEC052	icon_gangkou_2	navi_bg02	-902.72,-292.26	71.77,20.16		1019	2	item240000002024,item240000001018,item240000002003,item240000002005,item240000002009	4	52	152	6;7;8	11
1053	SailPointName053	SailPointDEC053	icon_gangkou_2	navi_bg03	-837.17,-68.34	-66.63,9.21		1020	2	item240000002022,item240000001018,item240000002003,item240000002008,item240000002010	1	53	153	7;8;9	12
1054	SailPointName054	SailPointDEC054	icon_gangkou_2	navi_bg04	-595.28,133.82	-38.87,33.29		1022	2	item240000002028,item240000002003,item240000002004,item240000002006,item240000002009	2	54	154	8;9;10	12
1055	SailPointName055	SailPointDEC055	icon_gangkou_2	navi_bg05	-399.16,475.38	17.14,-50.21		1024	2	item240000002026,item240000002005,item240000002009,item240000002010,item240000002011	3	55	155	9;10;2	12
1056	SailPointName056	SailPointDEC056	icon_gangkou_2	navi_bg01	-299.93,703.01	9.47,-64.03		1025	2	item240000002021,item240000002005,item240000002011,item240000002014,item240000002015	4	56	156	10;2;3	12
1057	SailPointName057	SailPointDEC057	icon_gangkou_2	navi_bg02	15.41,697.01	-23.39,56.7		1026	2	item240000002027,item240000002009,item240000002010,item240000002014,item240000002015	1	57	157	2;3;4	11
1058	SailPointName058	SailPointDEC058	icon_gangkou_2	navi_bg03	204.37,695.2	47.19,51.29		1027	2	item240000002024,item240000002011,item240000002014,item240000002015,item240000002016	2	58	158	3;4;5	11
1059	SailPointName059	SailPointDEC059	icon_gangkou_2	navi_bg04	601.42,717.7	5.45,-53.68		1029	2	item240000002022,item240000002014,item240000002017,item240000002018,item240000002019	3	59	159	5;6;7	12
1060	SailPointName060	SailPointDEC060	icon_gangkou_2	navi_bg05	500.48,406.92	-3.81,-47.99		1030	2	item240000002023,item240000002015,item240000002017,item240000002018,item240000002019	4	60	160	6;7;8	12
1061	SailPointName061	SailPointDEC061	icon_gangkou_2	navi_bg01	816.32,348.73	-41.64,-42.86		1031	2	item240000002025,item240000002013,item240000002017,item240000002018,item240000002020	1	61	161	7;8;9	12
1062	SailPointName062	SailPointDEC062	icon_gangkou_2	navi_bg02	925.39,27.79	-57.47,1.11		1032	2	item240000002021,item240000002013,item240000002017,item240000002019,item240000002020	2	62	162	8;9;10	12
1063	SailPointName063	SailPointDEC063	icon_gangkou_2	navi_bg03	913.67,-449.83	-58.07,24.63		1034	2	item240000002027,item240000002012,item240000002013,item240000002018,item240000002020	3	63	163	9;10;2	11
1064	SailPointName064	SailPointDEC064	icon_gangkou_2	navi_bg04	474.63,-342.07	2.45,-61.23		1035	2	item240000002024,item240000002007,item240000002012,item240000002013,item240000002016	4	64	164	10;2;3	11
1065	SailPointName065	SailPointDEC065	icon_gangkou_2	navi_bg05	316.25,-615.99	22.79,-58.84		1036	2	item240000002022,item240000001016,item240000002002,item240000002007,item240000002012	3	65	165	5;6;7	12
1066	SailPointName066	SailPointDEC066	icon_gangkou_2	navi_bg01	180,-823.58	-25.46,68.75		1037	2	item240000002026,item240000001011,item240000002002,item240000002007,item240000002012	4	66	166	6;7;8	12
1067	SailPointName067	SailPointDEC067	icon_gangkou_2	navi_bg02	-176.85,-685.95	-62.66,0.98		1068	2	item240000002025,item240000001005,item240000001011,item240000002002,item240000002007	1	67	167	7;8;9	12
1068	SailPointName068	SailPointDEC068	icon_gangkou_2	navi_bg03	-21.34,-590.48	-62.56,11.31		1038	2	item240000002030,item240000001005,item240000001011,item240000001016,item240000002002	2	68	168	8;9;10	12
1069	SailPointName069	SailPointDEC069	icon_gangkou_2	navi_bg04	-441.14,-777.71	8.83,58.77		1040	2	item240000002027,item240000001005,item240000001008,item240000001014,item240000001016	3	69	169	9;10;2	11
1070	SailPointName070	SailPointDEC070	icon_gangkou_2	navi_bg05	-452.79,-477.8	-70.51,-2.26		1001	2	item240000002024,item240000001004,item240000001008,item240000001011,item240000001015	4	70	170	10;2;3	11
