流水id	npc编号	天赋技能等级	洗练消耗	洗练消耗银币
53	soldier_npc_10006	3	item105000000028,1	1,20000
54	soldier_npc_10006	4	item105000000028,1	1,20000
55	soldier_npc_10006	5	item105000000028,1	1,20000
56	soldier_npc_10006	6	item105000000028,1	1,20000
57	soldier_npc_10006	7	item105000000028,1	1,20000
58	soldier_npc_10006	8	item105000000028,1	1,20000
59	soldier_npc_10006	9	item105000000028,1	1,20000
60	soldier_npc_10006	10	item105000000028,1	1,20000
61	soldier_npc_10007	1	item105000000028,1	1,20000
62	soldier_npc_10007	2	item105000000028,1	1,20000
63	soldier_npc_10007	3	item105000000028,1	1,20000
64	soldier_npc_10007	4	item105000000028,1	1,20000
65	soldier_npc_10007	5	item105000000028,1	1,20000
66	soldier_npc_10007	6	item105000000028,1	1,20000
67	soldier_npc_10007	7	item105000000028,1	1,20000
68	soldier_npc_10007	8	item105000000028,1	1,20000
69	soldier_npc_10007	9	item105000000028,1	1,20000
70	soldier_npc_10007	10	item105000000028,1	1,20000
71	soldier_npc_10008	1	item105000000028,1	1,20000
72	soldier_npc_10008	2	item105000000028,1	1,20000
73	soldier_npc_10008	3	item105000000028,1	1,20000
74	soldier_npc_10008	4	item105000000028,1	1,20000
75	soldier_npc_10008	5	item105000000028,1	1,20000
76	soldier_npc_10008	6	item105000000028,1	1,20000
77	soldier_npc_10008	7	item105000000028,1	1,20000
78	soldier_npc_10008	8	item105000000028,1	1,20000
79	soldier_npc_10008	9	item105000000028,1	1,20000
80	soldier_npc_10008	10	item105000000028,1	1,20000
81	soldier_npc_10009	1	item105000000028,1	1,20000
82	soldier_npc_10009	2	item105000000028,1	1,20000
83	soldier_npc_10009	3	item105000000028,1	1,20000
84	soldier_npc_10009	4	item105000000028,1	1,20000
85	soldier_npc_10009	5	item105000000028,1	1,20000
86	soldier_npc_10009	6	item105000000028,1	1,20000
87	soldier_npc_10009	7	item105000000028,1	1,20000
88	soldier_npc_10009	8	item105000000028,1	1,20000
89	soldier_npc_10009	9	item105000000028,1	1,20000
90	soldier_npc_10009	10	item105000000028,1	1,20000
91	soldier_npc_10010	1	item105000000028,1	1,20000
92	soldier_npc_10010	2	item105000000028,1	1,20000
93	soldier_npc_10010	3	item105000000028,1	1,20000
94	soldier_npc_10010	4	item105000000028,1	1,20000
95	soldier_npc_10010	5	item105000000028,1	1,20000
96	soldier_npc_10010	6	item105000000028,1	1,20000
97	soldier_npc_10010	7	item105000000028,1	1,20000
98	soldier_npc_10010	8	item105000000028,1	1,20000
99	soldier_npc_10010	9	item105000000028,1	1,20000
100	soldier_npc_10010	10	item105000000028,1	1,20000
101	soldier_npc_10012	1	item105000000028,1	1,20000
102	soldier_npc_10012	2	item105000000028,1	1,20000
103	soldier_npc_10012	3	item105000000028,1	1,20000
104	soldier_npc_10012	4	item105000000028,1	1,20000
105	soldier_npc_10012	5	item105000000028,1	1,20000
106	soldier_npc_10012	6	item105000000028,1	1,20000
107	soldier_npc_10012	7	item105000000028,1	1,20000
108	soldier_npc_10012	8	item105000000028,1	1,20000
109	soldier_npc_10012	9	item105000000028,1	1,20000
110	soldier_npc_10012	10	item105000000028,1	1,20000
111	soldier_npc_10013	1	item105000000028,1	1,20000
112	soldier_npc_10013	2	item105000000028,1	1,20000
113	soldier_npc_10013	3	item105000000028,1	1,20000
114	soldier_npc_10013	4	item105000000028,1	1,20000
115	soldier_npc_10013	5	item105000000028,1	1,20000
116	soldier_npc_10013	6	item105000000028,1	1,20000
117	soldier_npc_10013	7	item105000000028,1	1,20000
118	soldier_npc_10013	8	item105000000028,1	1,20000
119	soldier_npc_10013	9	item105000000028,1	1,20000
120	soldier_npc_10013	10	item105000000028,1	1,20000
121	soldier_npc_10014	1	item105000000028,1	1,20000
122	soldier_npc_10014	2	item105000000028,1	1,20000
123	soldier_npc_10014	3	item105000000028,1	1,20000
124	soldier_npc_10014	4	item105000000028,1	1,20000
125	soldier_npc_10014	5	item105000000028,1	1,20000
126	soldier_npc_10014	6	item105000000028,1	1,20000
127	soldier_npc_10014	7	item105000000028,1	1,20000
128	soldier_npc_10014	8	item105000000028,1	1,20000
129	soldier_npc_10014	9	item105000000028,1	1,20000
130	soldier_npc_10014	10	item105000000028,1	1,20000
131	soldier_npc_10015	1	item105000000028,1	1,20000
132	soldier_npc_10015	2	item105000000028,1	1,20000
133	soldier_npc_10015	3	item105000000028,1	1,20000
134	soldier_npc_10015	4	item105000000028,1	1,20000
135	soldier_npc_10015	5	item105000000028,1	1,20000
136	soldier_npc_10015	6	item105000000028,1	1,20000
137	soldier_npc_10015	7	item105000000028,1	1,20000
138	soldier_npc_10015	8	item105000000028,1	1,20000
139	soldier_npc_10015	9	item105000000028,1	1,20000
140	soldier_npc_10015	10	item105000000028,1	1,20000
141	soldier_npc_10016	1	item105000000028,1	1,20000
142	soldier_npc_10016	2	item105000000028,1	1,20000
143	soldier_npc_10016	3	item105000000028,1	1,20000
144	soldier_npc_10016	4	item105000000028,1	1,20000
145	soldier_npc_10016	5	item105000000028,1	1,20000
146	soldier_npc_10016	6	item105000000028,1	1,20000
147	soldier_npc_10016	7	item105000000028,1	1,20000
148	soldier_npc_10016	8	item105000000028,1	1,20000
149	soldier_npc_10016	9	item105000000028,1	1,20000
150	soldier_npc_10016	10	item105000000028,1	1,20000
151	soldier_npc_10017	1	item105000000028,1	1,20000
152	soldier_npc_10017	2	item105000000028,1	1,20000
153	soldier_npc_10017	3	item105000000028,1	1,20000
154	soldier_npc_10017	4	item105000000028,1	1,20000
155	soldier_npc_10017	5	item105000000028,1	1,20000
156	soldier_npc_10017	6	item105000000028,1	1,20000
157	soldier_npc_10017	7	item105000000028,1	1,20000
158	soldier_npc_10017	8	item105000000028,1	1,20000
159	soldier_npc_10017	9	item105000000028,1	1,20000
160	soldier_npc_10017	10	item105000000028,1	1,20000
161	soldier_npc_10018	1	item105000000028,1	1,20000
162	soldier_npc_10018	2	item105000000028,1	1,20000
163	soldier_npc_10018	3	item105000000028,1	1,20000
164	soldier_npc_10018	4	item105000000028,1	1,20000
165	soldier_npc_10018	5	item105000000028,1	1,20000
166	soldier_npc_10018	6	item105000000028,1	1,20000
167	soldier_npc_10018	7	item105000000028,1	1,20000
168	soldier_npc_10018	8	item105000000028,1	1,20000
169	soldier_npc_10018	9	item105000000028,1	1,20000
170	soldier_npc_10018	10	item105000000028,1	1,20000
171	soldier_npc_10019	1	item105000000028,1	1,20000
172	soldier_npc_10019	2	item105000000028,1	1,20000
173	soldier_npc_10019	3	item105000000028,1	1,20000
174	soldier_npc_10019	4	item105000000028,1	1,20000
175	soldier_npc_10019	5	item105000000028,1	1,20000
176	soldier_npc_10019	6	item105000000028,1	1,20000
177	soldier_npc_10019	7	item105000000028,1	1,20000
178	soldier_npc_10019	8	item105000000028,1	1,20000
179	soldier_npc_10019	9	item105000000028,1	1,20000
180	soldier_npc_10019	10	item105000000028,1	1,20000
181	soldier_npc_10020	1	item105000000028,1	1,20000
182	soldier_npc_10020	2	item105000000028,1	1,20000
183	soldier_npc_10020	3	item105000000028,1	1,20000
184	soldier_npc_10020	4	item105000000028,1	1,20000
185	soldier_npc_10020	5	item105000000028,1	1,20000
186	soldier_npc_10020	6	item105000000028,1	1,20000
187	soldier_npc_10020	7	item105000000028,1	1,20000
188	soldier_npc_10020	8	item105000000028,1	1,20000
189	soldier_npc_10020	9	item105000000028,1	1,20000
190	soldier_npc_10020	10	item105000000028,1	1,20000
191	soldier_npc_10021	1	item105000000028,1	1,20000
192	soldier_npc_10021	2	item105000000028,1	1,20000
193	soldier_npc_10021	3	item105000000028,1	1,20000
194	soldier_npc_10021	4	item105000000028,1	1,20000
195	soldier_npc_10021	5	item105000000028,1	1,20000
196	soldier_npc_10021	6	item105000000028,1	1,20000
197	soldier_npc_10021	7	item105000000028,1	1,20000
198	soldier_npc_10021	8	item105000000028,1	1,20000
199	soldier_npc_10021	9	item105000000028,1	1,20000
200	soldier_npc_10021	10	item105000000028,1	1,20000
201	soldier_npc_10022	1	item105000000028,1	1,20000
202	soldier_npc_10022	2	item105000000028,1	1,20000
203	soldier_npc_10022	3	item105000000028,1	1,20000
204	soldier_npc_10022	4	item105000000028,1	1,20000
205	soldier_npc_10022	5	item105000000028,1	1,20000
206	soldier_npc_10022	6	item105000000028,1	1,20000
207	soldier_npc_10022	7	item105000000028,1	1,20000
208	soldier_npc_10022	8	item105000000028,1	1,20000
209	soldier_npc_10022	9	item105000000028,1	1,20000
210	soldier_npc_10022	10	item105000000028,1	1,20000
211	soldier_npc_10023	1	item105000000028,1	1,20000
212	soldier_npc_10023	2	item105000000028,1	1,20000
213	soldier_npc_10023	3	item105000000028,1	1,20000
214	soldier_npc_10023	4	item105000000028,1	1,20000
215	soldier_npc_10023	5	item105000000028,1	1,20000
216	soldier_npc_10023	6	item105000000028,1	1,20000
217	soldier_npc_10023	7	item105000000028,1	1,20000
218	soldier_npc_10023	8	item105000000028,1	1,20000
219	soldier_npc_10023	9	item105000000028,1	1,20000
220	soldier_npc_10023	10	item105000000028,1	1,20000
221	soldier_npc_10024	1	item105000000028,1	1,20000
222	soldier_npc_10024	2	item105000000028,1	1,20000
223	soldier_npc_10024	3	item105000000028,1	1,20000
224	soldier_npc_10024	4	item105000000028,1	1,20000
225	soldier_npc_10024	5	item105000000028,1	1,20000
226	soldier_npc_10024	6	item105000000028,1	1,20000
227	soldier_npc_10024	7	item105000000028,1	1,20000
228	soldier_npc_10024	8	item105000000028,1	1,20000
229	soldier_npc_10024	9	item105000000028,1	1,20000
230	soldier_npc_10024	10	item105000000028,1	1,20000
231	soldier_npc_10025	1	item105000000028,1	1,20000
232	soldier_npc_10025	2	item105000000028,1	1,20000
233	soldier_npc_10025	3	item105000000028,1	1,20000
234	soldier_npc_10025	4	item105000000028,1	1,20000
235	soldier_npc_10025	5	item105000000028,1	1,20000
236	soldier_npc_10025	6	item105000000028,1	1,20000
237	soldier_npc_10025	7	item105000000028,1	1,20000
238	soldier_npc_10025	8	item105000000028,1	1,20000
239	soldier_npc_10025	9	item105000000028,1	1,20000
240	soldier_npc_10025	10	item105000000028,1	1,20000
241	soldier_npc_10026	1	item105000000028,1	1,20000
242	soldier_npc_10026	2	item105000000028,1	1,20000
243	soldier_npc_10026	3	item105000000028,1	1,20000
244	soldier_npc_10026	4	item105000000028,1	1,20000
245	soldier_npc_10026	5	item105000000028,1	1,20000
246	soldier_npc_10026	6	item105000000028,1	1,20000
247	soldier_npc_10026	7	item105000000028,1	1,20000
248	soldier_npc_10026	8	item105000000028,1	1,20000
249	soldier_npc_10026	9	item105000000028,1	1,20000
250	soldier_npc_10026	10	item105000000028,1	1,20000
251	soldier_npc_10027	1	item105000000028,1	1,20000
252	soldier_npc_10027	2	item105000000028,1	1,20000
253	soldier_npc_10027	3	item105000000028,1	1,20000
254	soldier_npc_10027	4	item105000000028,1	1,20000
255	soldier_npc_10027	5	item105000000028,1	1,20000
256	soldier_npc_10027	6	item105000000028,1	1,20000
257	soldier_npc_10027	7	item105000000028,1	1,20000
258	soldier_npc_10027	8	item105000000028,1	1,20000
259	soldier_npc_10027	9	item105000000028,1	1,20000
260	soldier_npc_10027	10	item105000000028,1	1,20000
261	soldier_npc_10028	1	item105000000028,1	1,20000
262	soldier_npc_10028	2	item105000000028,1	1,20000
263	soldier_npc_10028	3	item105000000028,1	1,20000
264	soldier_npc_10028	4	item105000000028,1	1,20000
265	soldier_npc_10028	5	item105000000028,1	1,20000
266	soldier_npc_10028	6	item105000000028,1	1,20000
267	soldier_npc_10028	7	item105000000028,1	1,20000
268	soldier_npc_10028	8	item105000000028,1	1,20000
269	soldier_npc_10028	9	item105000000028,1	1,20000
270	soldier_npc_10028	10	item105000000028,1	1,20000
271	soldier_npc_10029	1	item105000000028,1	1,20000
272	soldier_npc_10029	2	item105000000028,1	1,20000
273	soldier_npc_10029	3	item105000000028,1	1,20000
274	soldier_npc_10029	4	item105000000028,1	1,20000
275	soldier_npc_10029	5	item105000000028,1	1,20000
276	soldier_npc_10029	6	item105000000028,1	1,20000
277	soldier_npc_10029	7	item105000000028,1	1,20000
278	soldier_npc_10029	8	item105000000028,1	1,20000
279	soldier_npc_10029	9	item105000000028,1	1,20000
280	soldier_npc_10029	10	item105000000028,1	1,20000
281	soldier_npc_10030	1	item105000000028,1	1,20000
282	soldier_npc_10030	2	item105000000028,1	1,20000
283	soldier_npc_10030	3	item105000000028,1	1,20000
284	soldier_npc_10030	4	item105000000028,1	1,20000
285	soldier_npc_10030	5	item105000000028,1	1,20000
286	soldier_npc_10030	6	item105000000028,1	1,20000
287	soldier_npc_10030	7	item105000000028,1	1,20000
288	soldier_npc_10030	8	item105000000028,1	1,20000
289	soldier_npc_10030	9	item105000000028,1	1,20000
290	soldier_npc_10030	10	item105000000028,1	1,20000
291	soldier_npc_10031	1	item105000000028,1	1,20000
292	soldier_npc_10031	2	item105000000028,1	1,20000
293	soldier_npc_10031	3	item105000000028,1	1,20000
294	soldier_npc_10031	4	item105000000028,1	1,20000
295	soldier_npc_10031	5	item105000000028,1	1,20000
296	soldier_npc_10031	6	item105000000028,1	1,20000
297	soldier_npc_10031	7	item105000000028,1	1,20000
298	soldier_npc_10031	8	item105000000028,1	1,20000
299	soldier_npc_10031	9	item105000000028,1	1,20000
300	soldier_npc_10031	10	item105000000028,1	1,20000
301	soldier_npc_10032	1	item105000000028,1	1,20000
302	soldier_npc_10032	2	item105000000028,1	1,20000
303	soldier_npc_10032	3	item105000000028,1	1,20000
304	soldier_npc_10032	4	item105000000028,1	1,20000
305	soldier_npc_10032	5	item105000000028,1	1,20000
306	soldier_npc_10032	6	item105000000028,1	1,20000
307	soldier_npc_10032	7	item105000000028,1	1,20000
308	soldier_npc_10032	8	item105000000028,1	1,20000
309	soldier_npc_10032	9	item105000000028,1	1,20000
310	soldier_npc_10032	10	item105000000028,1	1,20000
311	soldier_npc_10033	1	item105000000028,1	1,20000
312	soldier_npc_10033	2	item105000000028,1	1,20000
313	soldier_npc_10033	3	item105000000028,1	1,20000
314	soldier_npc_10033	4	item105000000028,1	1,20000
315	soldier_npc_10033	5	item105000000028,1	1,20000
316	soldier_npc_10033	6	item105000000028,1	1,20000
317	soldier_npc_10033	7	item105000000028,1	1,20000
318	soldier_npc_10033	8	item105000000028,1	1,20000
319	soldier_npc_10033	9	item105000000028,1	1,20000
320	soldier_npc_10033	10	item105000000028,1	1,20000
321	soldier_npc_10034	1	item105000000028,1	1,20000
322	soldier_npc_10034	2	item105000000028,1	1,20000
323	soldier_npc_10034	3	item105000000028,1	1,20000
324	soldier_npc_10034	4	item105000000028,1	1,20000
325	soldier_npc_10034	5	item105000000028,1	1,20000
326	soldier_npc_10034	6	item105000000028,1	1,20000
327	soldier_npc_10034	7	item105000000028,1	1,20000
328	soldier_npc_10034	8	item105000000028,1	1,20000
329	soldier_npc_10034	9	item105000000028,1	1,20000
330	soldier_npc_10034	10	item105000000028,1	1,20000
331	soldier_npc_10035	1	item105000000028,1	1,20000
332	soldier_npc_10035	2	item105000000028,1	1,20000
333	soldier_npc_10035	3	item105000000028,1	1,20000
334	soldier_npc_10035	4	item105000000028,1	1,20000
335	soldier_npc_10035	5	item105000000028,1	1,20000
336	soldier_npc_10035	6	item105000000028,1	1,20000
337	soldier_npc_10035	7	item105000000028,1	1,20000
338	soldier_npc_10035	8	item105000000028,1	1,20000
339	soldier_npc_10035	9	item105000000028,1	1,20000
340	soldier_npc_10035	10	item105000000028,1	1,20000
341	soldier_npc_10036	1	item105000000028,1	1,20000
342	soldier_npc_10036	2	item105000000028,1	1,20000
343	soldier_npc_10036	3	item105000000028,1	1,20000
344	soldier_npc_10036	4	item105000000028,1	1,20000
345	soldier_npc_10036	5	item105000000028,1	1,20000
346	soldier_npc_10036	6	item105000000028,1	1,20000
347	soldier_npc_10036	7	item105000000028,1	1,20000
348	soldier_npc_10036	8	item105000000028,1	1,20000
349	soldier_npc_10036	9	item105000000028,1	1,20000
350	soldier_npc_10036	10	item105000000028,1	1,20000
351	soldier_npc_10037	1	item105000000028,1	1,20000
352	soldier_npc_10037	2	item105000000028,1	1,20000
353	soldier_npc_10037	3	item105000000028,1	1,20000
354	soldier_npc_10037	4	item105000000028,1	1,20000
355	soldier_npc_10037	5	item105000000028,1	1,20000
356	soldier_npc_10037	6	item105000000028,1	1,20000
357	soldier_npc_10037	7	item105000000028,1	1,20000
358	soldier_npc_10037	8	item105000000028,1	1,20000
359	soldier_npc_10037	9	item105000000028,1	1,20000
360	soldier_npc_10037	10	item105000000028,1	1,20000
361	soldier_npc_10038	1	item105000000028,1	1,20000
362	soldier_npc_10038	2	item105000000028,1	1,20000
363	soldier_npc_10038	3	item105000000028,1	1,20000
364	soldier_npc_10038	4	item105000000028,1	1,20000
365	soldier_npc_10038	5	item105000000028,1	1,20000
366	soldier_npc_10038	6	item105000000028,1	1,20000
367	soldier_npc_10038	7	item105000000028,1	1,20000
368	soldier_npc_10038	8	item105000000028,1	1,20000
369	soldier_npc_10038	9	item105000000028,1	1,20000
370	soldier_npc_10038	10	item105000000028,1	1,20000
371	soldier_npc_10039	1	item105000000028,1	1,20000
372	soldier_npc_10039	2	item105000000028,1	1,20000
373	soldier_npc_10039	3	item105000000028,1	1,20000
374	soldier_npc_10039	4	item105000000028,1	1,20000
375	soldier_npc_10039	5	item105000000028,1	1,20000
376	soldier_npc_10039	6	item105000000028,1	1,20000
377	soldier_npc_10039	7	item105000000028,1	1,20000
378	soldier_npc_10039	8	item105000000028,1	1,20000
379	soldier_npc_10039	9	item105000000028,1	1,20000
380	soldier_npc_10039	10	item105000000028,1	1,20000
381	soldier_npc_10040	1	item105000000028,1	1,20000
382	soldier_npc_10040	2	item105000000028,1	1,20000
383	soldier_npc_10040	3	item105000000028,1	1,20000
384	soldier_npc_10040	4	item105000000028,1	1,20000
385	soldier_npc_10040	5	item105000000028,1	1,20000
386	soldier_npc_10040	6	item105000000028,1	1,20000
387	soldier_npc_10040	7	item105000000028,1	1,20000
388	soldier_npc_10040	8	item105000000028,1	1,20000
389	soldier_npc_10040	9	item105000000028,1	1,20000
390	soldier_npc_10040	10	item105000000028,1	1,20000
391	soldier_npc_10041	1	item105000000028,1	1,20000
392	soldier_npc_10041	2	item105000000028,1	1,20000
393	soldier_npc_10041	3	item105000000028,1	1,20000
394	soldier_npc_10041	4	item105000000028,1	1,20000
395	soldier_npc_10041	5	item105000000028,1	1,20000
396	soldier_npc_10041	6	item105000000028,1	1,20000
397	soldier_npc_10041	7	item105000000028,1	1,20000
398	soldier_npc_10041	8	item105000000028,1	1,20000
399	soldier_npc_10041	9	item105000000028,1	1,20000
400	soldier_npc_10041	10	item105000000028,1	1,20000
401	soldier_npc_10042	1	item105000000028,1	1,20000
402	soldier_npc_10042	2	item105000000028,1	1,20000
403	soldier_npc_10042	3	item105000000028,1	1,20000
404	soldier_npc_10042	4	item105000000028,1	1,20000
405	soldier_npc_10042	5	item105000000028,1	1,20000
406	soldier_npc_10042	6	item105000000028,1	1,20000
407	soldier_npc_10042	7	item105000000028,1	1,20000
408	soldier_npc_10042	8	item105000000028,1	1,20000
409	soldier_npc_10042	9	item105000000028,1	1,20000
410	soldier_npc_10042	10	item105000000028,1	1,20000
411	soldier_npc_10043	1	item105000000028,1	1,20000
412	soldier_npc_10043	2	item105000000028,1	1,20000
413	soldier_npc_10043	3	item105000000028,1	1,20000
414	soldier_npc_10043	4	item105000000028,1	1,20000
415	soldier_npc_10043	5	item105000000028,1	1,20000
416	soldier_npc_10043	6	item105000000028,1	1,20000
417	soldier_npc_10043	7	item105000000028,1	1,20000
418	soldier_npc_10043	8	item105000000028,1	1,20000
419	soldier_npc_10043	9	item105000000028,1	1,20000
420	soldier_npc_10043	10	item105000000028,1	1,20000
421	soldier_npc_10044	1	item105000000028,1	1,20000
422	soldier_npc_10044	2	item105000000028,1	1,20000
423	soldier_npc_10044	3	item105000000028,1	1,20000
424	soldier_npc_10044	4	item105000000028,1	1,20000
425	soldier_npc_10044	5	item105000000028,1	1,20000
426	soldier_npc_10044	6	item105000000028,1	1,20000
427	soldier_npc_10044	7	item105000000028,1	1,20000
428	soldier_npc_10044	8	item105000000028,1	1,20000
429	soldier_npc_10044	9	item105000000028,1	1,20000
430	soldier_npc_10044	10	item105000000028,1	1,20000
431	soldier_npc_10045	1	item105000000028,1	1,20000
432	soldier_npc_10045	2	item105000000028,1	1,20000
433	soldier_npc_10045	3	item105000000028,1	1,20000
434	soldier_npc_10045	4	item105000000028,1	1,20000
435	soldier_npc_10045	5	item105000000028,1	1,20000
436	soldier_npc_10045	6	item105000000028,1	1,20000
437	soldier_npc_10045	7	item105000000028,1	1,20000
438	soldier_npc_10045	8	item105000000028,1	1,20000
439	soldier_npc_10045	9	item105000000028,1	1,20000
440	soldier_npc_10045	10	item105000000028,1	1,20000
441	soldier_npc_10046	1	item105000000028,1	1,20000
442	soldier_npc_10046	2	item105000000028,1	1,20000
443	soldier_npc_10046	3	item105000000028,1	1,20000
444	soldier_npc_10046	4	item105000000028,1	1,20000
445	soldier_npc_10046	5	item105000000028,1	1,20000
446	soldier_npc_10046	6	item105000000028,1	1,20000
447	soldier_npc_10046	7	item105000000028,1	1,20000
448	soldier_npc_10046	8	item105000000028,1	1,20000
449	soldier_npc_10046	9	item105000000028,1	1,20000
450	soldier_npc_10046	10	item105000000028,1	1,20000
451	soldier_npc_10047	1	item105000000028,1	1,20000
452	soldier_npc_10047	2	item105000000028,1	1,20000
453	soldier_npc_10047	3	item105000000028,1	1,20000
454	soldier_npc_10047	4	item105000000028,1	1,20000
455	soldier_npc_10047	5	item105000000028,1	1,20000
456	soldier_npc_10047	6	item105000000028,1	1,20000
457	soldier_npc_10047	7	item105000000028,1	1,20000
458	soldier_npc_10047	8	item105000000028,1	1,20000
459	soldier_npc_10047	9	item105000000028,1	1,20000
460	soldier_npc_10047	10	item105000000028,1	1,20000
461	soldier_npc_10048	1	item105000000028,1	1,20000
462	soldier_npc_10048	2	item105000000028,1	1,20000
463	soldier_npc_10048	3	item105000000028,1	1,20000
464	soldier_npc_10048	4	item105000000028,1	1,20000
465	soldier_npc_10048	5	item105000000028,1	1,20000
466	soldier_npc_10048	6	item105000000028,1	1,20000
467	soldier_npc_10048	7	item105000000028,1	1,20000
468	soldier_npc_10048	8	item105000000028,1	1,20000
469	soldier_npc_10048	9	item105000000028,1	1,20000
470	soldier_npc_10048	10	item105000000028,1	1,20000
471	soldier_npc_10049	1	item105000000028,1	1,20000
472	soldier_npc_10049	2	item105000000028,1	1,20000
473	soldier_npc_10049	3	item105000000028,1	1,20000
474	soldier_npc_10049	4	item105000000028,1	1,20000
475	soldier_npc_10049	5	item105000000028,1	1,20000
476	soldier_npc_10049	6	item105000000028,1	1,20000
477	soldier_npc_10049	7	item105000000028,1	1,20000
478	soldier_npc_10049	8	item105000000028,1	1,20000
479	soldier_npc_10049	9	item105000000028,1	1,20000
480	soldier_npc_10049	10	item105000000028,1	1,20000
481	soldier_npc_10050	1	item105000000028,1	1,20000
482	soldier_npc_10050	2	item105000000028,1	1,20000
483	soldier_npc_10050	3	item105000000028,1	1,20000
484	soldier_npc_10050	4	item105000000028,1	1,20000
485	soldier_npc_10050	5	item105000000028,1	1,20000
486	soldier_npc_10050	6	item105000000028,1	1,20000
487	soldier_npc_10050	7	item105000000028,1	1,20000
488	soldier_npc_10050	8	item105000000028,1	1,20000
489	soldier_npc_10050	9	item105000000028,1	1,20000
490	soldier_npc_10050	10	item105000000028,1	1,20000
491	soldier_npc_10051	1	item105000000028,1	1,20000
492	soldier_npc_10051	2	item105000000028,1	1,20000
493	soldier_npc_10051	3	item105000000028,1	1,20000
494	soldier_npc_10051	4	item105000000028,1	1,20000
495	soldier_npc_10051	5	item105000000028,1	1,20000
496	soldier_npc_10051	6	item105000000028,1	1,20000
497	soldier_npc_10051	7	item105000000028,1	1,20000
498	soldier_npc_10051	8	item105000000028,1	1,20000
499	soldier_npc_10051	9	item105000000028,1	1,20000
500	soldier_npc_10051	10	item105000000028,1	1,20000
501	soldier_npc_10053	1	item105000000028,1	1,20000
502	soldier_npc_10053	2	item105000000028,1	1,20000
503	soldier_npc_10053	3	item105000000028,1	1,20000
504	soldier_npc_10053	4	item105000000028,1	1,20000
505	soldier_npc_10053	5	item105000000028,1	1,20000
506	soldier_npc_10053	6	item105000000028,1	1,20000
507	soldier_npc_10053	7	item105000000028,1	1,20000
508	soldier_npc_10053	8	item105000000028,1	1,20000
509	soldier_npc_10053	9	item105000000028,1	1,20000
510	soldier_npc_10053	10	item105000000028,1	1,20000
511	soldier_npc_10054	1	item105000000028,1	1,20000
512	soldier_npc_10054	2	item105000000028,1	1,20000
513	soldier_npc_10054	3	item105000000028,1	1,20000
514	soldier_npc_10054	4	item105000000028,1	1,20000
