勋章ID	地图ID	勋章名称	勋章描述	属性加成	勋章图标	对应的道具id
8414	1004	MedalName8414	MedalDes8414	23,20	travelmedal_4014	item127000068058,1
8415	1004	MedalName8415	MedalDes8415	25,20	travelmedal_4015	item127000068059,1
8416	1004	MedalName8416	MedalDes8416	21,20	travelmedal_4016	item127000068060,1
8417	1004	MedalName8417	MedalDes8417	22,20	travelmedal_4017	item127000068061,1
8418	1004	MedalName8418	MedalDes8418	24,20	travelmedal_4018	item127000068062,1
8419	1004	MedalName8419	MedalDes8419	26,20	travelmedal_4019	item127000068063,1
8420	1004	MedalName8420	MedalDes8420	1,60	travelmedal_4020	item127000068064,1
8421	1004	MedalName8421	MedalDes8421	3,6	travelmedal_4021	item127000068065,1
8422	1004	MedalName8422	MedalDes8422	4,6	travelmedal_4022	item127000068066,1
8501	1005	MedalName8501	MedalDes8501	23,20	travelmedal_5001	item127000068067,1
8502	1005	MedalName8502	MedalDes8502	25,20	travelmedal_5002	item127000068068,1
8503	1005	MedalName8503	MedalDes8503	21,20	travelmedal_5003	item127000068069,1
8504	1005	MedalName8504	MedalDes8504	22,20	travelmedal_5004	item127000068070,1
8505	1005	MedalName8505	MedalDes8505	24,20	travelmedal_5005	item127000068071,1
8506	1005	MedalName8506	MedalDes8506	26,20	travelmedal_5006	item127000068072,1
8507	1005	MedalName8507	MedalDes8507	1,60	travelmedal_5007	item127000068073,1
8508	1005	MedalName8508	MedalDes8508	3,6	travelmedal_5008	item127000068074,1
8509	1005	MedalName8509	MedalDes8509	4,6	travelmedal_5009	item127000068075,1
8510	1005	MedalName8510	MedalDes8510	23,20	travelmedal_5010	item127000068076,1
8511	1005	MedalName8511	MedalDes8511	25,20	travelmedal_5011	item127000068077,1
8512	1005	MedalName8512	MedalDes8512	21,20	travelmedal_5012	item127000068078,1
8513	1005	MedalName8513	MedalDes8513	22,20	travelmedal_5013	item127000068079,1
8514	1005	MedalName8514	MedalDes8514	24,20	travelmedal_5014	item127000068080,1
8515	1005	MedalName8515	MedalDes8515	26,20	travelmedal_5015	item127000068081,1
8516	1005	MedalName8516	MedalDes8516	1,60	travelmedal_5016	item127000068082,1
8517	1005	MedalName8517	MedalDes8517	3,6	travelmedal_5017	item127000068083,1
8518	1005	MedalName8518	MedalDes8518	4,6	travelmedal_5018	item127000068084,1
8519	1005	MedalName8519	MedalDes8519	23,20	travelmedal_5019	item127000068085,1
8520	1005	MedalName8520	MedalDes8520	25,20	travelmedal_5020	item127000068086,1
8521	1005	MedalName8521	MedalDes8521	21,20	travelmedal_5021	item127000068087,1
8522	1005	MedalName8522	MedalDes8522	22,20	travelmedal_5022	item127000068088,1
8523	1005	MedalName8523	MedalDes8523	24,20	travelmedal_5023	item127000068089,1
8524	1005	MedalName8524	MedalDes8524	26,20	travelmedal_5024	item127000068090,1
8525	1005	MedalName8525	MedalDes8525	1,60	travelmedal_5025	item127000068091,1
8601	1006	MedalName8601	MedalDes8601	3,6	travelmedal_6001	item127000068092,1
8602	1006	MedalName8602	MedalDes8602	4,6	travelmedal_6002	item127000068093,1
8603	1006	MedalName8603	MedalDes8603	23,20	travelmedal_6003	item127000068094,1
8604	1006	MedalName8604	MedalDes8604	25,20	travelmedal_6004	item127000068095,1
8605	1006	MedalName8605	MedalDes8605	21,20	travelmedal_6005	item127000068096,1
8606	1006	MedalName8606	MedalDes8606	22,20	travelmedal_6006	item127000068097,1
8607	1006	MedalName8607	MedalDes8607	24,20	travelmedal_6007	item127000068098,1
8608	1006	MedalName8608	MedalDes8608	26,20	travelmedal_6008	item127000068099,1
8609	1006	MedalName8609	MedalDes8609	1,60	travelmedal_6009	item127000068100,1
8610	1006	MedalName8610	MedalDes8610	3,6	travelmedal_6010	item127000068101,1
8611	1006	MedalName8611	MedalDes8611	4,6	travelmedal_6011	item127000068102,1
8612	1006	MedalName8612	MedalDes8612	23,20	travelmedal_6012	item127000068103,1
8613	1006	MedalName8613	MedalDes8613	25,20	travelmedal_6013	item127000068104,1
8614	1006	MedalName8614	MedalDes8614	21,20	travelmedal_6014	item127000068105,1
8615	1006	MedalName8615	MedalDes8615	22,20	travelmedal_6015	item127000068106,1
8616	1006	MedalName8616	MedalDes8616	24,20	travelmedal_6016	item127000068107,1
8617	1006	MedalName8617	MedalDes8617	26,20	travelmedal_6017	item127000068108,1
8618	1006	MedalName8618	MedalDes8618	1,60	travelmedal_6018	item127000068109,1
8619	1006	MedalName8619	MedalDes8619	3,6	travelmedal_6019	item127000068110,1
8620	1006	MedalName8620	MedalDes8620	4,6	travelmedal_6020	item127000068111,1
8621	1006	MedalName8621	MedalDes8621	23,20	travelmedal_6021	item127000068112,1
8622	1006	MedalName8622	MedalDes8622	25,20	travelmedal_6022	item127000068113,1
8623	1006	MedalName8623	MedalDes8623	21,20	travelmedal_6023	item127000068114,1
8624	1006	MedalName8624	MedalDes8624	22,20	travelmedal_6024	item127000068115,1
8625	1006	MedalName8625	MedalDes8625	24,20	travelmedal_6025	item127000068116,1
8626	1006	MedalName8626	MedalDes8626	26,20	travelmedal_6026	item127000068117,1
