流水id	推送商品组id	商品档位	Npc原画	npc气泡	礼包名字	礼包Icon	礼包描述	礼包价值	礼包内容	展示特效	限购次数	购买类型	购买参数	持续时间
505	505	1	7daysaward_19christmas	UI_PushGift_NpcLanguage505	UI_PushGift_Name505	icon_treasurebox06_0	PushGift_Des505	350	item1014,6480;item8103010121006,50	0,41100023,0	1	2	1013	28800
601	601	1	7daysaward_19christmas	UI_PushGift_NpcLanguage601	UI_PushGift_Name601	item_91000000390	PushGift_Des601	350	item1014,500;item170000120020,250	0,41100023,0	2	2	6064	43200
701	701	1	7daysaward_19christmas	UI_PushGift_NpcLanguage701	UI_PushGift_Name701	item_91000000391	PushGift_Des701	510	item1014,980;item8103010131003,40	0	2	2	6084	14400
702	702	1	7daysaward_19christmas	UI_PushGift_NpcLanguage702	UI_PushGift_Name702	item_91000000391	PushGift_Des702	300	item1001,648000;item90000000125,1	0,41100023,0	2	2	1013	43200
801	801	1	7daysaward_19christmas	UI_PushGift_NpcLanguage801	UI_PushGift_Name801	icon_treasurebox03_0	PushGift_Des801	600	item107000042101,1;item107000042201,1;item107000042303,1	0,41100023,0	1	2	6064	14400
802	802	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name801	icon_treasurebox03_0	PushGift_Des801	460	item1014,500;item107000042101,1;item107000042201,1;item107000042303,1	0,41100023,0	1	2	6073	14400
901	901	1	7daysaward_19christmas	UI_PushGift_NpcLanguage901	UI_PushGift_Name901	icon_treasurebox03_0	PushGift_Des901	1000	item1014,300;item105000000029,10;item107999900001,50	0,41100023,0	1	2	6064	86400
1001	1001	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1001	UI_PushGift_Name1001	icon_treasurebox04_0	PushGift_Des1001	800	item1014,500;item8103010132121,1;item161000000002,5	0,41100023,0	1	2	6073	86400
1101	1101	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1101	UI_PushGift_Name1101	icon_treasurebox05_0	PushGift_Des1101	720	item1014,1880;item8200000800002,20;item100500000001,100;item101040101017,100	0,41100023,0,0	1	2	7000	86400
1201	1201	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1201	UI_PushGift_Name1201	icon_treasurebox06_0	PushGift_Des1201	460	item1014,1680;item8103010111018,15;item8200000800010,10;item91000000877,2	0,41100023,0,0	1	2	6101	86400
1301	1301	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1301	UI_PushGift_Name1301	icon_treasurebox06_0	PushGift_Des1301	388	item1014,5000;item119100000003,5;item102000020233,50;item8103015110413,100	0,41100023,0,0	1	2	6131	86400
1401	1401	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1401	UI_PushGift_Name1401	icon_treasurebox03_0	PushGift_Des1401	406	item1014,980;item100500000001,300	0,41100023	1	2	6084	14400
1402	1402	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1402	UI_PushGift_Name1402	icon_treasurebox03_0	PushGift_Des1402	500	item1014,300;item100500000001,120	0,41100023	1	2	6064	14400
1403	1403	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1403	UI_PushGift_Name1403	icon_treasurebox03_0	PushGift_Des1403	350	item1014,4880;item100500000001,1300	0,41100023	1	2	6171	28800
1501	1501	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1501	UI_PushGift_Name1501	icon_treasurebox03_0	PushGift_Des1501	279	item1014,2680;item119000000050,10	0,41100023	1	2	6131	14400
1601	1601	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1601	UI_PushGift_Name1601	icon_treasurebox04_0	PushGift_Des1601	265	item91000000022,1;item119000000050,15	41100023,0	1	2	1013	14400
1602	1602	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1602	UI_PushGift_Name1602	icon_treasurebox04_0	PushGift_Des1602	330	item1014,1280;item119100000003,5;item100000000001,5	0,41100023	1	2	6094	14400
1603	1603	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1602	icon_treasurebox04_0	PushGift_Des1602	246	item1014,3280;item119100000003,10	0,41100023	1	2	6152	14400
1701	1701	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1701	UI_PushGift_Name1701	icon_treasurebox05_0	PushGift_Des1701	467	item1014,980;item171000101021,300	0,41100023	1	2	6084	14400
1801	1801	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1801	UI_PushGift_Name1801	icon_treasurebox06_0	PushGift_Des1801	400	item1014,1980;item171000101021,400;item171000101001,200	0,41100023,0	1	2	7031	14400
1802	1802	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1802	icon_treasurebox06_0	PushGift_Des1802	470	item1014,980;item171000101021,300	0,41100023	1	2	6084	14400
1803	1803	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1803	icon_treasurebox06_0	PushGift_Des1803	290	item1014,6480;item171000101043,1	0,41100023	1	2	1013	28800
1804	1804	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1804	icon_treasurebox06_0	PushGift_Des1804	490	item1014,980;item171000101012,350;item171000101011,50	0,41100023,0	1	2	6084	14400
1805	1805	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1805	icon_treasurebox06_0	PushGift_Des1805	430	item1014,1980;item171000101012,600;item171000101011,80	0,41100023,0	1	2	7031	14400
1806	1806	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1806	icon_treasurebox06_0	PushGift_Des1806	430	item1014,1280;item91000000263,1;item171000101021,100	0,41100023,0	1	2	6094	14400
1807	1807	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1807	icon_treasurebox06_0	PushGift_Des1807	300	item1014,6480;item91000000285,1;item171000101021,200	0,41100023,0	1	2	1013	28800
1808	1808	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1808	icon_treasurebox06_0	PushGift_Des1808	490	item1014,980;item171000101003,20;item171000101002,50;item171000101001,50	0,41100023,0,0	1	2	6084	14400
1809	1809	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name1809	icon_treasurebox06_0	PushGift_Des1809	420	item1014,4880;item171000101003,100;item171000101002,150;item171000101001,200	0,41100023,0,0	1	2	6171	28800
1901	1901	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1901	UI_PushGift_Name1901	icon_treasurebox06_0	PushGift_Des1901	500	item1014,300;item107300000001,60	0,41100023,0,0	1	2	6064	14400
2001	2001	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2001	UI_PushGift_Name2001	icon_treasurebox06_0	PushGift_Des2001	600	item1014,500;item107300000002,50	0,41100023	1	2	6073	14400
2002	2002	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name2001	icon_treasurebox06_0	PushGift_Des2001	400	item1014,1680;item107300000002,100	0,41100023,0	1	2	6101	14400
2101	2101	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2101	UI_PushGift_Name2101	icon_treasurebox06_0	PushGift_Des2101	640	item1014,500;item107999900003,10;item107999900002,50	0,41100023,0	1	2	6073	14400
2201	2201	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2201	UI_PushGift_Name2201	icon_treasurebox06_0	PushGift_Des2201	480	item1014,1980;item8102020061003,2;item102020061002,50	0,41100023,0	1	2	7031	14400
2202	2202	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2201	UI_PushGift_Name2202	icon_treasurebox06_0	PushGift_Des2202	360	item102020061002,45		1	2	6094	14400
2203	2203	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2201	UI_PushGift_Name2203	icon_treasurebox06_0	PushGift_Des2202	260	item102020061002,85		1	2	6152	14400
2204	2204	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2201	UI_PushGift_Name2204	icon_treasurebox06_0	PushGift_Des2202	290	item102020061002,140		1	2	6171	14400
2205	2205	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2201	UI_PushGift_Name2205	icon_treasurebox06_0	PushGift_Des2202	300	item102020061002,190		1	2	1013	14400
2206	2206	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2201	UI_PushGift_Name2206	icon_treasurebox06_0	PushGift_Des2201	405	item1014,6480;item8102020061003,4;item102020061002,150	0,41100023,0	1	2	1013	14400
2211	2211	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2211	UI_PushGift_Name2211	icon_treasurebox06_0	PushGift_Des2211	340	item1014,880;item8102020061003,1;item102020061001,85	0,41100023,0	1	2	7000	14400
2212	2212	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2211	UI_PushGift_Name2212	icon_treasurebox06_0	PushGift_Des2212	372	item1014,1980;item8102020061003,1;item102020061001,120;item102020061002,30	0,41100023,0	1	2	7031	14400
2213	2213	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2211	UI_PushGift_Name2213	icon_treasurebox06_0	PushGift_Des2213	400	item1014,3280;item8102020061003,2;item102020061001,140;item102020061002,60	0,41100023,0	1	2	6152	14400
2214	2214	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2211	UI_PushGift_Name2214	icon_treasurebox06_0	PushGift_Des2214	300	item1014,2680;item8102020061003,2;item102020061001,300	0,41100023,0	1	2	6131	14400
2215	2215	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2211	UI_PushGift_Name2212	icon_treasurebox06_0	PushGift_Des2215	490	item1014,300;item102020061001,115	0,41100023,0	1	2	6064	14400
2216	2216	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2211	UI_PushGift_Name2213	icon_treasurebox06_0	PushGift_Des2216	410	item1014,880;item102020061001,270	0,41100023,0	1	2	7000	14400
2217	2217	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2211	UI_PushGift_Name2214	icon_treasurebox06_0	PushGift_Des2217	430	item1014,980;item102020061001,320	0,41100023,0	1	2	6084	14400
2301	2301	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2301	UI_PushGift_Name2301	icon_treasurebox06_0	PushGift_Des2301	260	item1014,6480;item91000000380,1	0,41100023	1	2	1013	43200
2401	2401	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2401	UI_PushGift_Name2401	icon_treasurebox06_0	PushGift_Des2401	408	item1014,3280;item8103015110412,3;item103015110413,270;item8103015110407,24	0,41100023,0	1	2	6152	14400
2402	2402	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2401	UI_PushGift_Name2401	icon_treasurebox06_0	PushGift_Des2401	408	item1014,3280;item8103015110412,3;item103015110413,270;item8103015110407,24	0,41100023,0	1	2	6152	14400
2403	2403	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2401	UI_PushGift_Name2401	icon_treasurebox06_0	PushGift_Des2401	408	item1014,3280;item8103015110412,3;item103015110413,270;item8103015110407,24	0,41100023,0	1	2	6152	14400
2404	2404	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2401	UI_PushGift_Name2401	icon_treasurebox06_0	PushGift_Des2401	408	item1014,3280;item8103015110412,3;item103015110413,270;item8103015110407,24	0,41100023,0	1	2	6152	14400
2405	2405	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2401	UI_PushGift_Name2401	icon_treasurebox06_0	PushGift_Des2401	408	item1014,3280;item8103015110412,3;item103015110413,270;item8103015110407,24	0,41100023,0	1	2	6152	14400
2406	2406	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2401	UI_PushGift_Name2401	icon_treasurebox06_0	PushGift_Des2401	408	item1014,3280;item8103015110412,3;item103015110413,270;item8103015110407,24	0,41100023,0	1	2	6152	14400
2411	2411	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2411	UI_PushGift_Name2411	icon_treasurebox06_0	PushGift_Des2411	380	item1014,1980;item8103015110413,180;item8103015110407,12;item91000000910,1	0	1	2	7031	14400
2412	2412	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2411	UI_PushGift_Name2411	icon_treasurebox06_0	PushGift_Des2411	380	item1014,1980;item8103015110413,180;item8103015110407,12;item91000000910,1	0	1	2	7031	14400
2413	2413	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2411	UI_PushGift_Name2411	icon_treasurebox06_0	PushGift_Des2411	380	item1014,1980;item8103015110413,180;item8103015110407,12;item91000000910,1	0	1	2	7031	14400
2414	2414	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2411	UI_PushGift_Name2411	icon_treasurebox06_0	PushGift_Des2411	380	item1014,1980;item8103015110413,180;item8103015110407,12;item91000000910,1	0	1	2	7031	14400
2415	2415	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2411	UI_PushGift_Name2411	icon_treasurebox06_0	PushGift_Des2411	380	item1014,1980;item8103015110413,180;item8103015110407,12;item91000000910,1	0	1	2	7031	14400
2416	2416	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2411	UI_PushGift_Name2411	icon_treasurebox06_0	PushGift_Des2411	380	item1014,1980;item8103015110413,180;item8103015110407,12;item91000000910,1	0	1	2	7031	14400
2501	2501	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2501	UI_PushGift_Name2501	icon_treasurebox06_0	PushGift_Des2501	350	item1014,4880;item91000000270,1;item103010139002,20	0,41100023,0	1	2	6171	28800
2601	2601	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2601	UI_PushGift_Name2601	icon_treasurebox06_0	PushGift_Des2601	330	item1014,3280;item8103015110401,5;item8103015110407,10	0,41100023,0	1	2	6152	28800
2602	2602	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2602	UI_PushGift_Name2602	icon_treasurebox06_0	PushGift_Des2602	520	item1014,500;item182000000403,1;item91000000905,10;item100000000002,2	0,41100023,0	1	2	6073	14400
2603	2603	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2603	UI_PushGift_Name2603	icon_treasurebox06_0	PushGift_Des2603	370	item8103015110404,2;item8103015110405,2;item8103015110402,2;item8103015110407,22	0,41100023,0	1	2	6152	14400
2604	2604	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2604	UI_PushGift_Name2604	icon_treasurebox06_0	PushGift_Des2604	430	item100000000063,1;item100000000064,1;item100000000065,1	0,41100023,0	1	2	6152	28800
2701	2701	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2701	UI_PushGift_Name2701	icon_treasurebox06_0	PushGift_Des2701	600	item1014,500;item102000020233,25	0,41100023,0	1	2	6073	14400
2801	2801	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2801	UI_PushGift_Name2801	icon_treasurebox06_0	PushGift_Des2801	740	item1014,500;item8103010121003,60;item107999900002,30;item105000000073,2	0,41100023,0	1	2	6073	14400
2901	2901	1	7daysaward_19christmas	UI_PushGift_NpcLanguage2901	UI_PushGift_Name2901	icon_treasurebox06_0	PushGift_Des2901	540	item1014,500;item8102020061003,1;item102020061001,100	0,41100023,0	1	2	6073	14400
3001	3001	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3001	UI_PushGift_Name3001	icon_treasurebox06_0	PushGift_Des3001	470	item1014,1980;item8103015110417,1;item8103015110415,30	0,41100023,0	1	2	7031	14400
3101	3101	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3101	UI_PushGift_Name3101	icon_treasurebox06_0	PushGift_Des3101	300	item1014,500;item100000000054,3;item119100000003,1	0,41100023,0	1	2	6073	14400
3201	3201	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3201	UI_PushGift_Name3201	icon_treasurebox06_0	PushGift_Des3201	520	item1014,500;item91000000374,5;item170000120020,20	0,41100023,0	1	2	6073	14400
3202	3202	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3201	UI_PushGift_Name3201	icon_treasurebox06_0	PushGift_Des3201	520	item1014,500;item91000000374,5;item170000120020,20	0,41100023,0	1	2	6073	14400
3203	3203	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3201	UI_PushGift_Name3201	icon_treasurebox06_0	PushGift_Des3201	520	item1014,500;item91000000374,5;item170000120020,20	0,41100023,0	1	2	6073	14400
3301	3301	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3301	UI_PushGift_Name3301	icon_treasurebox06_0	PushGift_Des3301	1000	item1014,300;item91000000909,1;item101200040004,30	0,41100023,0	1	2	6064	14400
3401	3401	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3401	UI_PushGift_Name3401	icon_treasurebox06_0	PushGift_Des3401	330	item1014,980;item103010139002,20;item100000000001,2	0,41100023,0	1	2	6084	14400
3402	3402	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name3402	icon_treasurebox06_0	PushGift_Des3402	260	item1014,6480;item103010139003,20;item100000000001,5	0,41100023,0	2	2	1013	28800
1102	1102	1	7daysaward_19christmas	UI_PushGift_NpcLanguage1102	UI_PushGift_Name1102	icon_treasurebox06_0	PushGift_Des1102	1250	item1014,2500;item91000000015,5;item119100000003,5;item100000000003,10	0,41100023,0	1	2	6094	86400
3501	3501	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3501	UI_PushGift_Name3501	icon_treasurebox06_0	PushGift_Des3501	460	item1014,980;item8103015110413,150;item8103015110302,8;item8103015110303,15	0,41100023,0	1	2	6084	14400
3502	3502	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3501	UI_PushGift_Name3501	icon_treasurebox06_0	PushGift_Des3501	460	item1014,980;item8103015110413,150;item8103015110302,8;item8103015110303,15	0,41100023,0	1	2	6084	14400
3503	3503	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3501	UI_PushGift_Name3501	icon_treasurebox06_0	PushGift_Des3501	460	item1014,980;item8103015110413,150;item8103015110302,8;item8103015110303,15	0,41100023,0	1	2	6084	14400
3504	3504	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3501	UI_PushGift_Name3501	icon_treasurebox06_0	PushGift_Des3501	460	item1014,980;item8103015110413,150;item8103015110302,8;item8103015110303,15	0,41100023,0	1	2	6084	14400
3505	3505	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3501	UI_PushGift_Name3501	icon_treasurebox06_0	PushGift_Des3501	460	item1014,980;item8103015110413,150;item8103015110302,8;item8103015110303,15	0,41100023,0	1	2	6084	14400
3506	3506	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3501	UI_PushGift_Name3501	icon_treasurebox06_0	PushGift_Des3501	460	item1014,980;item8103015110413,150;item8103015110302,8;item8103015110303,15	0,41100023,0	1	2	6084	14400
3601	3601	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3601	UI_PushGift_Name3601	icon_treasurebox06_0	PushGift_Des3601	550	item1014,980;item105000000029,10;item105000000073,2;item105000000072,10	0,41100023,0	1	2	6084	14400
3701	3701	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3701	UI_PushGift_Name3701	icon_treasurebox06_0	PushGift_Des3701	280	item91000000657,1;item107999900002,150	0,41100023,0	1	2	1013	43200
3801	3801	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3401	UI_PushGift_Name3801	icon_treasurebox06_0	PushGift_Des3801	280	item1014,1680;item91000000043,1;item100000000001,10	0,41100023,0	1	2	6101	14400
3802	3802	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name3802	icon_treasurebox06_0	PushGift_Des3802	285	item1014,6480;item91000000022,1;item100000000001,20	0,41100023,0	1	2	1013	28800
3901	3901	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name3901	icon_treasurebox06_0	PushGift_Des3901	460	item1014,500;item101031000021,3	0,41100023,0	1	2	6073	14400
4001	4001	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4001	icon_treasurebox06_0	PushGift_Des4001	410	item1014,880;item101040101017,240;item91000000928,1	0,41100023,0	1	2	7000	14400
4002	4002	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4001	icon_treasurebox06_0	PushGift_Des4001	390	item1014,1280;item101040101017,300;item101031000021,1	0,41100023,0	3	2	6094	14400
4003	4003	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4001	icon_treasurebox06_0	PushGift_Des4001	400	item1014,4880;item101040101016,65;item101031000021,2	0,41100023,0	1	2	6171	28800
4004	4004	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4001	icon_treasurebox06_0	PushGift_Des4001	350	item1014,2680;item101040101017,600;item91000000929,1	0,41100023,0	1	2	6131	14400
4005	4005	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4001	icon_treasurebox06_0	PushGift_Des4001	430	item1014,6480;item101040101016,100;item91000000930,1	0,41100023,0	2	2	1013	43200
4101	4101	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4101	icon_treasurebox06_0	PushGift_Des4101	300	item1014,6480;item91000000048,10;item1000,20000000	0,41100023,0	2	2	1013	43200
4102	4102	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4102	icon_treasurebox06_0	PushGift_Des4102	310	item1014,1880;item91000000929,3;item1000,20000000	0,41100023,0	2	2	6111	14400
4103	4103	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4103	icon_treasurebox06_0	PushGift_Des4103	300	item1014,3280;item91000000930,3;item1000,35000000	0,41100023,0	2	2	6152	14400
4201	4201	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4201	icon_treasurebox06_0	PushGift_Des4201	540	item1014,500;item160000000001,20;item100000000000,10	0,41100023,0	2	2	6073	14400
4301	4301	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4301	icon_treasurebox06_0	PushGift_Des4301	390	item1014,1980;item160000000001,10;item161000000002,15;item161000000001,20	0,41100023,0	1	2	7031	14400
4401	4401	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4401	icon_treasurebox06_0	PushGift_Des4401	380	item1014,880;item105000000029,10	0,41100023,0	1	2	7000	14400
4402	4402	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4402	icon_treasurebox06_0	PushGift_Des4402	350	item1014,4880;item105000000029,50	0,41100023,0	1	2	6171	14400
4501	4501	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4501	icon_treasurebox06_0	PushGift_Des4501	400	item1014,300;item8200000800009,30	0,41100023,0	1	2	6064	14400
4502	4502	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4502	icon_treasurebox06_0	PushGift_Des4502	390	item1014,500;item8200000800010,12	0,41100023,0	1	2	6073	14400
4503	4503	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4503	icon_treasurebox06_0	PushGift_Des4503	390	item1014,980;item8200000800011,5;item8200000800009,10	0,41100023,0	1	2	6084	14400
4504	4504	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4504	icon_treasurebox06_0	PushGift_Des4504	370	item1014,2680;item91000000368,2;item1019,3000	0,41100023,0	1	2	6131	14400
4505	4505	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4505	icon_treasurebox06_0	PushGift_Des4505	380	item1014,4880;item91000000368,3;item200000800004,5;item1019,5000	0,41100023,0	1	2	6171	14400
4601	4601	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4601	icon_treasurebox06_0	PushGift_Des4601	700	item1014,500;item8101020504900,10	0,41100023,0	1	2	6073	14400
4701	4701	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4701	icon_treasurebox06_0	PushGift_Des4701	500	item1014,300;item100000000002,5	0,41100023,0	1	2	6064	14400
4801	4801	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4801	icon_treasurebox06_0	PushGift_Des4801	840	item1014,300;item107300000001,80;item107999900002,20	0,41100023,0	1	2	6064	14400
4802	4802	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4802	icon_treasurebox06_0	PushGift_Des4802	460	item1014,1280;item107300000002,60;item107999900002,50	0,41100023,0	1	2	6094	14400
4202	4202	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4202	icon_treasurebox06_0	PushGift_Des4202	360	item1014,980;item103010131001,200;item8103010131003,15	0,41100023,0	1	2	6084	14400
4901	4901	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name4901	icon_treasurebox06_0	PushGift_Des4901	360	item1014,980;item102000020253,5	0,41100023,0	1	2	6084	14400
5001	5001	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5001	icon_treasurebox06_0	PushGift_Des5001	330	item1014,500;item91000000981,1;item102000020253,2	0,41100023,0	1	2	6073	14400
5002	5002	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5002	icon_treasurebox06_0	PushGift_Des5002	400	item1014,3280;item91000001000,1;item107999900002,100	0,41100023,0	1	2	6152	14400
