流水id	场景	世界等级小	世界等级大	展示怪物组	对应坐标组	奖励展示
9	271	51	60	monster15400207;monster15400208;monster15400209	64.8,5.5,13.9,215;-47.4,3.3,-38.1,110;-48.1,10.6,-83.1,34	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item100500000001,item103010121004,item107999900002,item170000120010
10	71	61	70	monster15400010;monster15400011;monster15400012	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010
11	171	61	70	monster15400110;monster15400111	-44.0,0.2,2.5,124;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010
12	271	61	70	monster15400210;monster15400211;monster15400212	64.8,5.5,13.9,215;-47.4,3.3,-38.1,110;-48.1,10.6,-83.1,34	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010
13	71	71	80	monster15400013;monster15400014;monster15400015	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
14	171	71	80	monster15400113;monster15400114	-44.0,0.2,2.5,124;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
15	271	71	80	monster15400213;monster15400214;monster15400215	64.8,5.5,13.9,215;-47.4,3.3,-38.1,110;-48.1,10.6,-83.1,34	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
16	71	81	90	monster15400016;monster15400017;monster15400018	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
17	171	81	90	monster15400116;monster15400117	-44.0,0.2,2.5,124;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
18	271	81	90	monster15400216;monster15400217;monster15400218	64.8,5.5,13.9,215;-47.4,3.3,-38.1,110;-48.1,10.6,-83.1,34	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
19	71	91	100	monster15400016;monster15400017;monster15400018	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
20	171	91	100	monster15400116;monster15400117	-44.0,0.2,2.5,124;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
21	271	91	100	monster15400216;monster15400217;monster15400218	64.8,5.5,13.9,215;-47.4,3.3,-38.1,110;-48.1,10.6,-83.1,34	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
22	71	101	110	monster15400016;monster15400017;monster15400018	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
23	171	101	110	monster15400116;monster15400117	-44.0,0.2,2.5,124;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
24	271	101	110	monster15400216;monster15400217;monster15400218	64.8,5.5,13.9,215;-47.4,3.3,-38.1,110;-48.1,10.6,-83.1,34	item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item8103010121008,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002,item170000120010;item103010133301,item103010134301,item103010135301,item103010136301,item103010137301,item103010132301,item103010132311,item103010132321,item103010132331,item107300000002,item200000800004,item102020060003,item103015110403,item103015110406,item103010132201,item103010132211,item103010132221,item103010132231,item107300000001,item103010111019,item103015110412,item104000000012,item104000000011,item101020504900,item8230000000217,item100500000001,item103010121004,item107999900002
