编号	主键id	弹出类型	组	弹出顺序优先级	功能类型	活动id	开启条件	关闭条件	间隔多少时间再次弹出	额外参数	是否禁止登录弹出	功能开启时是否弹出	触发后回主城调用登录组id	广告图	时间类型	开始时间	结束时间	开始时间	持续时间	跳转Url链接	跳转链接	跳转链接面板名
43	43	2	0	7	24	0			21600				0	bg_ad_doublediamond	2	2020-07-09-00:00:00	2020-07-15-23:59:59	0	0		LinkUI:MallPanel;2;2	MallPanel
44	44	2	0	7	24	0			21600				0	bg_qixi	2	2020-08-25-05:00:00	2020-08-31-23:59:59	0	0	https://sr.xinghegame.com/qixi/		
45	45	2	0	8	24	6810			21600				0	bg_kanjia825	2	2020-08-25-00:00:00	2020-09-02-23:59:59	0	0		LinkUI:FestivalActivityPanel;6810;37	FestivalActivityPanel
46	46	2	0	8	24	6015			21600				0	bg_taro1	2	2020-09-03-05:00:00	2020-09-09-23:59:59	0	0		LinkUI:FestivalActivityPanel;6015;24	FestivalActivityPanel
47	47	2	0	8	24	4424			21600				0	bg_star1	2	2020-09-07-00:00:00	2020-09-16-23:59:59	0	0		LinkUI:OpenServerActivityPanel;4424;18	OpenServerActivityPanel
62	62	2	0	8	37	16202			21600				0	bg_xianyu_fishweek	2	2020-10-29-00:00:00	2020-11-11-23:59:59	0	0		LinkUI:FishingCompetitionPanel	FishingCompetitionPanel
63	63	2	0	7	24	6020			21600				0	bg_taro2	2	2020-11-05-05:00:00	2020-11-11-23:59:59	0	0		LinkUI:FestivalActivityPanel;6020;24	FestivalActivityPanel
64	64	2	0	6	24	6316			21600				0	bg_xianyu_luckysix	2	2020-11-12-00:00:00	2020-11-18-23:59:59	0	0		LinkUI:FestivalActivityPanel;6316;9	FestivalActivityPanel
65	65	2	0	5	24	0			21600				0	bg_xianyu_ciyuan	2	2020-11-12-00:00:00	2020-11-25-23:59:59	0	0		LinkUI:SubSpaceBattlePanel	SubSpaceBattlePanel
66	66	2	0	7	24	0			21600				0	bg_xianyu_redskillstone	2	2020-11-12-00:00:00	2020-11-18-23:59:59	0	0			
67	67	2	0	5	24	0			21600				0	bg_xianyu_zhoubian	2	2020-11-12-00:00:00	2020-11-19-23:59:59	0	0	https://sr.xinghegame.com/dls/		
168	168	2	0	1	24	0			21600				0	bg_xianyu_wozongyini	2	2022-06-03-09:00:00	2022-06-09-23:59:59	0	0			
169	169	2	0	1	24	0			21600				0	bg_xianyu_manghe2	2	2022-06-13-09:00:00	2022-06-19-23:59:59	0	0			
170	170	1	0	11	181	0			21600				0		0			0	0		LinkUI:RewardRetrievePanel	RewardRetrievePanel
