流水号	技能编号	技能等级	学习获得武艺属性	学习获得才艺属性	升级消耗其他	升级消耗碎片	技能评分
115	1012	5	3,460;4,460		1,350000	item127000065012,20	2300
116	1012	6	3,520;4,520		1,400000	item127000065012,30	2600
117	1012	7	3,560;4,560		1,450000	item127000065012,40	2800
118	1012	8	3,600;4,600		1,500000	item127000065012,60	3000
119	1012	9	3,620;4,620		1,550000	item127000065012,80	3100
120	1012	10	3,640;4,640		1,600000	item127000065012,100	3200
121	1013	1	32,500;34,500			item127000065013,45	1000
122	1013	2	32,700;34,700		1,200000	item127000065013,5	1400
123	1013	3	32,850;34,850		1,250000	item127000065013,10	1700
124	1013	4	32,1000;34,1000		1,300000	item127000065013,15	2000
125	1013	5	32,1150;34,1150		1,350000	item127000065013,20	2300
126	1013	6	32,1300;34,1300		1,400000	item127000065013,30	2600
127	1013	7	32,1400;34,1400		1,450000	item127000065013,40	2800
128	1013	8	32,1500;34,1500		1,500000	item127000065013,60	3000
129	1013	9	32,1550;34,1550		1,550000	item127000065013,80	3100
130	1013	10	32,1600;34,1600		1,600000	item127000065013,100	3200
131	1014	1	3,200;35,500			item127000065014,45	1000
132	1014	2	3,280;35,700		1,200000	item127000065014,5	1400
133	1014	3	3,340;35,850		1,250000	item127000065014,10	1700
134	1014	4	3,400;35,1000		1,300000	item127000065014,15	2000
135	1014	5	3,460;35,1150		1,350000	item127000065014,20	2300
136	1014	6	3,520;35,1300		1,400000	item127000065014,30	2600
137	1014	7	3,560;35,1400		1,450000	item127000065014,40	2800
138	1014	8	3,600;35,1500		1,500000	item127000065014,60	3000
139	1014	9	3,620;35,1550		1,550000	item127000065014,80	3100
140	1014	10	3,640;35,1600		1,600000	item127000065014,100	3200
141	1015	1	30,500;4,200			item127000065015,45	1000
142	1015	2	30,700;4,280		1,200000	item127000065015,5	1400
143	1015	3	30,850;4,340		1,250000	item127000065015,10	1700
144	1015	4	30,1000;4,400		1,300000	item127000065015,15	2000
145	1015	5	30,1150;4,460		1,350000	item127000065015,20	2300
146	1015	6	30,1300;4,520		1,400000	item127000065015,30	2600
147	1015	7	30,1400;4,560		1,450000	item127000065015,40	2800
148	1015	8	30,1500;4,600		1,500000	item127000065015,60	3000
149	1015	9	30,1550;4,620		1,550000	item127000065015,80	3100
150	1015	10	30,1600;4,640		1,600000	item127000065015,100	3200
151	1016	1	32,500;35,500			item127000065016,45	1000
152	1016	2	32,700;35,700		1,200000	item127000065016,5	1400
153	1016	3	32,850;35,850		1,250000	item127000065016,10	1700
154	1016	4	32,1000;35,1000		1,300000	item127000065016,15	2000
155	1016	5	32,1150;35,1150		1,350000	item127000065016,20	2300
156	1016	6	32,1300;35,1300		1,400000	item127000065016,30	2600
157	1016	7	32,1400;35,1400		1,450000	item127000065016,40	2800
158	1016	8	32,1500;35,1500		1,500000	item127000065016,60	3000
159	1016	9	32,1550;35,1550		1,550000	item127000065016,80	3100
160	1016	10	32,1600;35,1600		1,600000	item127000065016,100	3200
161	1017	1	34,500;35,500			item127000065017,45	1000
162	1017	2	34,700;35,700		1,200000	item127000065017,5	1400
163	1017	3	34,850;35,850		1,250000	item127000065017,10	1700
164	1017	4	34,1000;35,1000		1,300000	item127000065017,15	2000
165	1017	5	34,1150;35,1150		1,350000	item127000065017,20	2300
166	1017	6	34,1300;35,1300		1,400000	item127000065017,30	2600
167	1017	7	34,1400;35,1400		1,450000	item127000065017,40	2800
168	1017	8	34,1500;35,1500		1,500000	item127000065017,60	3000
169	1017	9	34,1550;35,1550		1,550000	item127000065017,80	3100
170	1017	10	34,1600;35,1600		1,600000	item127000065017,100	3200
171	1018	1	3,200;30,500			item127000065018,45	1000
172	1018	2	3,280;30,700		1,200000	item127000065018,5	1400
173	1018	3	3,340;30,850		1,250000	item127000065018,10	1700
174	1018	4	3,400;30,1000		1,300000	item127000065018,15	2000
175	1018	5	3,460;30,1150		1,350000	item127000065018,20	2300
176	1018	6	3,520;30,1300		1,400000	item127000065018,30	2600
177	1018	7	3,560;30,1400		1,450000	item127000065018,40	2800
178	1018	8	3,600;30,1500		1,500000	item127000065018,60	3000
179	1018	9	3,620;30,1550		1,550000	item127000065018,80	3100
180	1018	10	3,640;30,1600		1,600000	item127000065018,100	3200
181	1019	1	4,200;34,500			item127000065019,45	1000
182	1019	2	4,280;34,700		1,200000	item127000065019,5	1400
183	1019	3	4,340;34,850		1,250000	item127000065019,10	1700
184	1019	4	4,400;34,1000		1,300000	item127000065019,15	2000
185	1019	5	4,460;34,1150		1,350000	item127000065019,20	2300
186	1019	6	4,520;34,1300		1,400000	item127000065019,30	2600
187	1019	7	4,560;34,1400		1,450000	item127000065019,40	2800
188	1019	8	4,600;34,1500		1,500000	item127000065019,60	3000
189	1019	9	4,620;34,1550		1,550000	item127000065019,80	3100
190	1019	10	4,640;34,1600		1,600000	item127000065019,100	3200
191	1020	1	1,2000;32,500			item127000065020,45	1000
192	1020	2	1,2800;32,700		1,200000	item127000065020,5	1400
193	1020	3	1,3400;32,850		1,250000	item127000065020,10	1700
194	1020	4	1,4000;32,1000		1,300000	item127000065020,15	2000
195	1020	5	1,4600;32,1150		1,350000	item127000065020,20	2300
196	1020	6	1,5200;32,1300		1,400000	item127000065020,30	2600
197	1020	7	1,5600;32,1400		1,450000	item127000065020,40	2800
198	1020	8	1,6000;32,1500		1,500000	item127000065020,60	3000
199	1020	9	1,6200;32,1550		1,550000	item127000065020,80	3100
200	1020	10	1,6400;32,1600		1,600000	item127000065020,100	3200
201	1021	1	1,2000	1,500		item127000065021,45	1000
202	1021	2	1,2800	1,700	1,200000	item127000065021,5	1400
203	1021	3	1,3400	1,850	1,250000	item127000065021,10	1700
204	1021	4	1,4000	1,1000	1,300000	item127000065021,15	2000
205	1021	5	1,4600	1,1150	1,350000	item127000065021,20	2300
206	1021	6	1,5200	1,1300	1,400000	item127000065021,30	2600
207	1021	7	1,5600	1,1400	1,450000	item127000065021,40	2800
208	1021	8	1,6000	1,1500	1,500000	item127000065021,60	3000
209	1021	9	1,6200	1,1550	1,550000	item127000065021,80	3100
210	1021	10	1,6400	1,1600	1,600000	item127000065021,100	3200
211	1022	1	3,200	3,500		item127000065022,45	1000
212	1022	2	3,280	3,700	1,200000	item127000065022,5	1400
213	1022	3	3,340	3,850	1,250000	item127000065022,10	1700
214	1022	4	3,400	3,1000	1,300000	item127000065022,15	2000
215	1022	5	3,460	3,1150	1,350000	item127000065022,20	2300
216	1022	6	3,520	3,1300	1,400000	item127000065022,30	2600
217	1022	7	3,560	3,1400	1,450000	item127000065022,40	2800
218	1022	8	3,600	3,1500	1,500000	item127000065022,60	3000
219	1022	9	3,620	3,1550	1,550000	item127000065022,80	3100
220	1022	10	3,640	3,1600	1,600000	item127000065022,100	3200
221	1023	1	4,200	5,500		item127000065023,45	1000
222	1023	2	4,280	5,700	1,200000	item127000065023,5	1400
223	1023	3	4,340	5,850	1,250000	item127000065023,10	1700
224	1023	4	4,400	5,1000	1,300000	item127000065023,15	2000
225	1023	5	4,460	5,1150	1,350000	item127000065023,20	2300
226	1023	6	4,520	5,1300	1,400000	item127000065023,30	2600
227	1023	7	4,560	5,1400	1,450000	item127000065023,40	2800
228	1023	8	4,600	5,1500	1,500000	item127000065023,60	3000
229	1023	9	4,620	5,1550	1,550000	item127000065023,80	3100
230	1023	10	4,640	5,1600	1,600000	item127000065023,100	3200
231	1024	1		1,500;2,500		item127000065024,45	1000
232	1024	2		1,700;2,700	1,200000	item127000065024,5	1400
233	1024	3		1,850;2,850	1,250000	item127000065024,10	1700
234	1024	4		1,1000;2,1000	1,300000	item127000065024,15	2000
235	1024	5		1,1150;2,1150	1,350000	item127000065024,20	2300
236	1024	6		1,1300;2,1300	1,400000	item127000065024,30	2600
237	1024	7		1,1400;2,1400	1,450000	item127000065024,40	2800
238	1024	8		1,1500;2,1500	1,500000	item127000065024,60	3000
239	1024	9		1,1550;2,1550	1,550000	item127000065024,80	3100
240	1024	10		1,1600;2,1600	1,600000	item127000065024,100	3200
241	1025	1		3,500;4,500		item127000065025,45	1000
242	1025	2		3,700;4,700	1,200000	item127000065025,5	1400
243	1025	3		3,850;4,850	1,250000	item127000065025,10	1700
244	1025	4		3,1000;4,1000	1,300000	item127000065025,15	2000
245	1025	5		3,1150;4,1150	1,350000	item127000065025,20	2300
246	1025	6		3,1300;4,1300	1,400000	item127000065025,30	2600
247	1025	7		3,1400;4,1400	1,450000	item127000065025,40	2800
248	1025	8		3,1500;4,1500	1,500000	item127000065025,60	3000
249	1025	9		3,1550;4,1550	1,550000	item127000065025,80	3100
250	1025	10		3,1600;4,1600	1,600000	item127000065025,100	3200
251	1026	1		5,500;6,500		item127000065026,45	1000
252	1026	2		5,700;6,700	1,200000	item127000065026,5	1400
253	1026	3		5,850;6,850	1,250000	item127000065026,10	1700
254	1026	4		5,1000;6,1000	1,300000	item127000065026,15	2000
255	1026	5		5,1150;6,1150	1,350000	item127000065026,20	2300
256	1026	6		5,1300;6,1300	1,400000	item127000065026,30	2600
257	1026	7		5,1400;6,1400	1,450000	item127000065026,40	2800
258	1026	8		5,1500;6,1500	1,500000	item127000065026,60	3000
259	1026	9		5,1550;6,1550	1,550000	item127000065026,80	3100
260	1026	10		5,1600;6,1600	1,600000	item127000065026,100	3200
261	1027	1		1,500;4,500		item127000065027,45	1000
262	1027	2		1,700;4,700	1,200000	item127000065027,5	1400
263	1027	3		1,850;4,850	1,250000	item127000065027,10	1700
264	1027	4		1,1000;4,1000	1,300000	item127000065027,15	2000
265	1027	5		1,1150;4,1150	1,350000	item127000065027,20	2300
266	1027	6		1,1300;4,1300	1,400000	item127000065027,30	2600
267	1027	7		1,1400;4,1400	1,450000	item127000065027,40	2800
268	1027	8		1,1500;4,1500	1,500000	item127000065027,60	3000
269	1027	9		1,1550;4,1550	1,550000	item127000065027,80	3100
270	1027	10		1,1600;4,1600	1,600000	item127000065027,100	3200
271	1028	1		2,500;5,500		item127000065028,45	1000
272	1028	2		2,700;5,700	1,200000	item127000065028,5	1400
273	1028	3		2,850;5,850	1,250000	item127000065028,10	1700
274	1028	4		2,1000;5,1000	1,300000	item127000065028,15	2000
275	1028	5		2,1150;5,1150	1,350000	item127000065028,20	2300
276	1028	6		2,1300;5,1300	1,400000	item127000065028,30	2600
277	1028	7		2,1400;5,1400	1,450000	item127000065028,40	2800
278	1028	8		2,1500;5,1500	1,500000	item127000065028,60	3000
279	1028	9		2,1550;5,1550	1,550000	item127000065028,80	3100
280	1028	10		2,1600;5,1600	1,600000	item127000065028,100	3200
281	1029	1		3,500;6,500		item127000065029,45	1000
282	1029	2		3,700;6,700	1,200000	item127000065029,5	1400
283	1029	3		3,850;6,850	1,250000	item127000065029,10	1700
284	1029	4		3,1000;6,1000	1,300000	item127000065029,15	2000
285	1029	5		3,1150;6,1150	1,350000	item127000065029,20	2300
286	1029	6		3,1300;6,1300	1,400000	item127000065029,30	2600
287	1029	7		3,1400;6,1400	1,450000	item127000065029,40	2800
288	1029	8		3,1500;6,1500	1,500000	item127000065029,60	3000
289	1029	9		3,1550;6,1550	1,550000	item127000065029,80	3100
290	1029	10		3,1600;6,1600	1,600000	item127000065029,100	3200
291	1030	1	1,2000;3,300;4,300			item127000065030,60	2000
292	1030	2	1,2800;3,420;4,420		1,400000	item127000065030,5	2800
293	1030	3	1,3400;3,510;4,510		1,450000	item127000065030,10	3400
294	1030	4	1,4000;3,600;4,600		1,500000	item127000065030,15	4000
295	1030	5	1,4600;3,690;4,690		1,550000	item127000065030,20	4600
296	1030	6	1,5200;3,780;4,780		1,600000	item127000065030,30	5200
297	1030	7	1,5600;3,840;4,840		1,650000	item127000065030,40	5600
298	1030	8	1,6000;3,900;4,900		1,700000	item127000065030,60	6000
299	1030	9	1,6200;3,930;4,930		1,750000	item127000065030,80	6200
300	1030	10	1,6400;3,960;4,960		1,800000	item127000065030,100	6400
301	1031	1	1,3000;32,500;4,300			item127000065031,60	2000
302	1031	2	1,4200;32,700;4,420		1,400000	item127000065031,5	2800
303	1031	3	1,5100;32,850;4,510		1,450000	item127000065031,10	3400
304	1031	4	1,6000;32,1000;4,600		1,500000	item127000065031,15	4000
305	1031	5	1,6900;32,1150;4,690		1,550000	item127000065031,20	4600
306	1031	6	1,7800;32,1300;4,780		1,600000	item127000065031,30	5200
307	1031	7	1,8400;32,1400;4,840		1,650000	item127000065031,40	5600
308	1031	8	1,9000;32,1500;4,900		1,700000	item127000065031,60	6000
309	1031	9	1,9300;32,1550;4,930		1,750000	item127000065031,80	6200
310	1031	10	1,9600;32,1600;4,960		1,800000	item127000065031,100	6400
311	1032	1	1,4000;34,500;35,500			item127000065032,60	2000
312	1032	2	1,5600;34,700;35,700		1,400000	item127000065032,5	2800
313	1032	3	1,6800;34,850;35,850		1,450000	item127000065032,10	3400
314	1032	4	1,8000;34,1000;35,1000		1,500000	item127000065032,15	4000
315	1032	5	1,9200;34,1150;35,1150		1,550000	item127000065032,20	4600
316	1032	6	1,10400;34,1300;35,1300		1,600000	item127000065032,30	5200
317	1032	7	1,11200;34,1400;35,1400		1,650000	item127000065032,40	5600
318	1032	8	1,12000;34,1500;35,1500		1,700000	item127000065032,60	6000
319	1032	9	1,12400;34,1550;35,1550		1,750000	item127000065032,80	6200
320	1032	10	1,12800;34,1600;35,1600		1,800000	item127000065032,100	6400
321	1033	1	1,3000;30,500;3,300			item127000065033,60	2000
322	1033	2	1,4200;30,700;3,420		1,400000	item127000065033,5	2800
323	1033	3	1,5100;30,850;3,510		1,450000	item127000065033,10	3400
324	1033	4	1,6000;30,1000;3,600		1,500000	item127000065033,15	4000
325	1033	5	1,6900;30,1150;3,690		1,550000	item127000065033,20	4600
326	1033	6	1,7800;30,1300;3,780		1,600000	item127000065033,30	5200
327	1033	7	1,8400;30,1400;3,840		1,650000	item127000065033,40	5600
328	1033	8	1,9000;30,1500;3,900		1,700000	item127000065033,60	6000
329	1033	9	1,9300;30,1550;3,930		1,750000	item127000065033,80	6200
330	1033	10	1,9600;30,1600;3,960		1,800000	item127000065033,100	6400
331	1034	1	3,400;32,500;34,500			item127000065034,60	2000
332	1034	2	3,560;32,700;34,700		1,400000	item127000065034,5	2800
333	1034	3	3,680;32,850;34,850		1,450000	item127000065034,10	3400
334	1034	4	3,800;32,1000;34,1000		1,500000	item127000065034,15	4000
335	1034	5	3,920;32,1150;34,1150		1,550000	item127000065034,20	4600
336	1034	6	3,1040;32,1300;34,1300		1,600000	item127000065034,30	5200
337	1034	7	3,1120;32,1400;34,1400		1,650000	item127000065034,40	5600
338	1034	8	3,1200;32,1500;34,1500		1,700000	item127000065034,60	6000
339	1034	9	3,1240;32,1550;34,1550		1,750000	item127000065034,80	6200
340	1034	10	3,1280;32,1600;34,1600		1,800000	item127000065034,100	6400
341	1035	1	3,300;4,300;30,500			item127000065035,60	2000
342	1035	2	3,420;4,420;30,700		1,400000	item127000065035,5	2800
343	1035	3	3,510;4,510;30,850		1,450000	item127000065035,10	3400
344	1035	4	3,600;4,600;30,1000		1,500000	item127000065035,15	4000
345	1035	5	3,690;4,690;30,1150		1,550000	item127000065035,20	4600
346	1035	6	3,780;4,780;30,1300		1,600000	item127000065035,30	5200
347	1035	7	3,840;4,840;30,1400		1,650000	item127000065035,40	5600
348	1035	8	3,900;4,900;30,1500		1,700000	item127000065035,60	6000
349	1035	9	3,930;4,930;30,1550		1,750000	item127000065035,80	6200
350	1035	10	3,960;4,960;30,1600		1,800000	item127000065035,100	6400
351	1036	1	3,400;30,500;35,500			item127000065036,60	2000
352	1036	2	3,560;30,700;35,700		1,400000	item127000065036,5	2800
353	1036	3	3,680;30,850;35,850		1,450000	item127000065036,10	3400
354	1036	4	3,800;30,1000;35,1000		1,500000	item127000065036,15	4000
355	1036	5	3,920;30,1150;35,1150		1,550000	item127000065036,20	4600
356	1036	6	3,1040;30,1300;35,1300		1,600000	item127000065036,30	5200
357	1036	7	3,1120;30,1400;35,1400		1,650000	item127000065036,40	5600
358	1036	8	3,1200;30,1500;35,1500		1,700000	item127000065036,60	6000
359	1036	9	3,1240;30,1550;35,1550		1,750000	item127000065036,80	6200
360	1036	10	3,1280;30,1600;35,1600		1,800000	item127000065036,100	6400
361	1037	1	4,400;32,500;30,500			item127000065037,60	2000
362	1037	2	4,560;32,700;30,700		1,400000	item127000065037,5	2800
363	1037	3	4,680;32,850;30,850		1,450000	item127000065037,10	3400
364	1037	4	4,800;32,1000;30,1000		1,500000	item127000065037,15	4000
365	1037	5	4,920;32,1150;30,1150		1,550000	item127000065037,20	4600
366	1037	6	4,1040;32,1300;30,1300		1,600000	item127000065037,30	5200
367	1037	7	4,1120;32,1400;30,1400		1,650000	item127000065037,40	5600
368	1037	8	4,1200;32,1500;30,1500		1,700000	item127000065037,60	6000
369	1037	9	4,1240;32,1550;30,1550		1,750000	item127000065037,80	6200
370	1037	10	4,1280;32,1600;30,1600		1,800000	item127000065037,100	6400
371	1038	1	4,400;34,500;35,500			item127000065038,60	2000
372	1038	2	4,560;34,700;35,700		1,400000	item127000065038,5	2800
373	1038	3	4,680;34,850;35,850		1,450000	item127000065038,10	3400
374	1038	4	4,800;34,1000;35,1000		1,500000	item127000065038,15	4000
375	1038	5	4,920;34,1150;35,1150		1,550000	item127000065038,20	4600
376	1038	6	4,1040;34,1300;35,1300		1,600000	item127000065038,30	5200
377	1038	7	4,1120;34,1400;35,1400		1,650000	item127000065038,40	5600
378	1038	8	4,1200;34,1500;35,1500		1,700000	item127000065038,60	6000
379	1038	9	4,1240;34,1550;35,1550		1,750000	item127000065038,80	6200
380	1038	10	4,1280;34,1600;35,1600		1,800000	item127000065038,100	6400
381	1039	1	4,300;1,3000;35,300			item127000065039,60	1800
382	1039	2	4,420;1,4200;35,420		1,400000	item127000065039,5	2520
383	1039	3	4,510;1,5100;35,510		1,450000	item127000065039,10	3060
384	1039	4	4,600;1,6000;35,600		1,500000	item127000065039,15	3600
385	1039	5	4,690;1,6900;35,690		1,550000	item127000065039,20	4140
386	1039	6	4,780;1,7800;35,780		1,600000	item127000065039,30	4680
387	1039	7	4,840;1,8400;35,840		1,650000	item127000065039,40	5040
388	1039	8	4,900;1,9000;35,900		1,700000	item127000065039,60	5400
389	1039	9	4,930;1,9300;35,930		1,750000	item127000065039,80	5580
390	1039	10	4,960;1,9600;35,960		1,800000	item127000065039,100	5760
391	1040	1	3,400;32,500;34,500			item127000065040,60	2000
392	1040	2	3,560;32,700;34,700		1,400000	item127000065040,5	2800
393	1040	3	3,680;32,850;34,850		1,450000	item127000065040,10	3400
394	1040	4	3,800;32,1000;34,1000		1,500000	item127000065040,15	4000
395	1040	5	3,920;32,1150;34,1150		1,550000	item127000065040,20	4600
396	1040	6	3,1040;32,1300;34,1300		1,600000	item127000065040,30	5200
397	1040	7	3,1120;32,1400;34,1400		1,650000	item127000065040,40	5600
398	1040	8	3,1200;32,1500;34,1500		1,700000	item127000065040,60	6000
399	1040	9	3,1240;32,1550;34,1550		1,750000	item127000065040,80	6200
400	1040	10	3,1280;32,1600;34,1600		1,800000	item127000065040,100	6400
401	1041	1	1,4000	1,500;4,500		item127000065041,60	2000
402	1041	2	1,5600	1,700;4,700	1,400000	item127000065041,5	2800
403	1041	3	1,6800	1,850;4,850	1,450000	item127000065041,10	3400
404	1041	4	1,8000	1,1000;4,1000	1,500000	item127000065041,15	4000
405	1041	5	1,9200	1,1150;4,1150	1,550000	item127000065041,20	4600
406	1041	6	1,10400	1,1300;4,1300	1,600000	item127000065041,30	5200
407	1041	7	1,11200	1,1400;4,1400	1,650000	item127000065041,40	5600
408	1041	8	1,12000	1,1500;4,1500	1,700000	item127000065041,60	6000
409	1041	9	1,12400	1,1550;4,1550	1,750000	item127000065041,80	6200
410	1041	10	1,12800	1,1600;4,1600	1,800000	item127000065041,100	6400
411	1042	1	3,400	5,500;2,500		item127000065042,60	2000
412	1042	2	3,560	5,700;2,700	1,400000	item127000065042,5	2800
413	1042	3	3,680	5,850;2,850	1,450000	item127000065042,10	3400
414	1042	4	3,800	5,1000;2,1000	1,500000	item127000065042,15	4000
415	1042	5	3,920	5,1150;2,1150	1,550000	item127000065042,20	4600
416	1042	6	3,1040	5,1300;2,1300	1,600000	item127000065042,30	5200
417	1042	7	3,1120	5,1400;2,1400	1,650000	item127000065042,40	5600
418	1042	8	3,1200	5,1500;2,1500	1,700000	item127000065042,60	6000
419	1042	9	3,1240	5,1550;2,1550	1,750000	item127000065042,80	6200
420	1042	10	3,1280	5,1600;2,1600	1,800000	item127000065042,100	6400
421	1043	1	4,400	3,500;6,500		item127000065043,60	2000
422	1043	2	4,560	3,700;6,700	1,400000	item127000065043,5	2800
423	1043	3	4,680	3,850;6,850	1,450000	item127000065043,10	3400
424	1043	4	4,800	3,1000;6,1000	1,500000	item127000065043,15	4000
425	1043	5	4,920	3,1150;6,1150	1,550000	item127000065043,20	4600
426	1043	6	4,1040	3,1300;6,1300	1,600000	item127000065043,30	5200
427	1043	7	4,1120	3,1400;6,1400	1,650000	item127000065043,40	5600
428	1043	8	4,1200	3,1500;6,1500	1,700000	item127000065043,60	6000
429	1043	9	4,1240	3,1550;6,1550	1,750000	item127000065043,80	6200
430	1043	10	4,1280	3,1600;6,1600	1,800000	item127000065043,100	6400
431	1044	1		1,600;4,600;5,800		item127000065044,60	2000
