流水	排行榜ID	排名最小区间	排名最大区间	奖励	开启类别
81	7	3	3	item1058,4500;item171002010002,40	2
82	7	4	4	item1058,4000;item171002010002,35	2
83	7	5	5	item1058,4000;item171002010002,30	2
84	7	6	6	item1058,3500;item171002010002,25	2
85	7	7	7	item1058,3500;item171002010002,20	2
86	7	8	8	item1058,3500;item171002010002,15	2
87	7	9	9	item1058,3500;item171002010002,10	2
88	7	10	10	item1058,3500;item171002010001,30	2
89	7	11	20	item1058,3000;item171002010001,25	2
90	7	21	50	item1058,2500;item171002010001,20	2
91	7	51	100	item1058,2000;item171002010001,15	2
92	8	1	1	item1058,5000;item171002010002,50	2
93	8	2	2	item1058,4500;item171002010002,45	2
94	8	3	3	item1058,4500;item171002010002,40	2
95	8	4	4	item1058,4000;item171002010002,35	2
96	8	5	5	item1058,4000;item171002010002,30	2
97	8	6	6	item1058,3500;item171002010002,25	2
98	8	7	7	item1058,3500;item171002010002,20	2
99	8	8	8	item1058,3500;item171002010002,15	2
100	8	9	9	item1058,3500;item171002010002,10	2
101	8	10	10	item1058,3500;item171002010001,30	2
102	8	11	20	item1058,3000;item171002010001,25	2
103	8	21	50	item1058,2500;item171002010001,20	2
104	8	51	100	item1058,2000;item171002010001,15	2
105	9	1	1	item1058,5000;item171002010002,50	2
106	9	2	2	item1058,4500;item171002010002,45	2
107	9	3	3	item1058,4500;item171002010002,40	2
108	9	4	4	item1058,4000;item171002010002,35	2
109	9	5	5	item1058,4000;item171002010002,30	2
110	9	6	6	item1058,3500;item171002010002,25	2
111	9	7	7	item1058,3500;item171002010002,20	2
112	9	8	8	item1058,3500;item171002010002,15	2
113	9	9	9	item1058,3500;item171002010002,10	2
114	9	10	10	item1058,3500;item171002010001,30	2
115	9	11	20	item1058,3000;item171002010001,25	2
116	9	21	50	item1058,2500;item171002010001,20	2
117	9	51	100	item1058,2000;item171002010001,15	2
118	10	1	1	item1058,5000;item171002010002,50	2
119	10	2	2	item1058,4500;item171002010002,45	2
120	10	3	3	item1058,4500;item171002010002,40	2
121	10	4	4	item1058,4000;item171002010002,35	2
122	10	5	5	item1058,4000;item171002010002,30	2
123	10	6	6	item1058,3500;item171002010002,25	2
124	10	7	7	item1058,3500;item171002010002,20	2
125	10	8	8	item1058,3500;item171002010002,15	2
126	10	9	9	item1058,3500;item171002010002,10	2
127	10	10	10	item1058,3500;item171002010001,30	2
128	10	11	20	item1058,3000;item171002010001,25	2
129	10	21	50	item1058,2500;item171002010001,20	2
130	10	51	100	item1058,2000;item171002010001,15	2
