流水	队伍类型	调用参数	标签序号	副本星级(挑战本专用)	功能icon	排序	最小等级	最大等级	初始评分	等级限制	限制最大人数	副本名字	是否默认启用评分	是否默认启用职业定位	坦克数量	输出数量	治疗数量	是否支持佣兵	前往副本目标组ID
24	26	1102	3	0	btn_dungeon	8	60	110	1000	60	10	TeamName1102	0	1	2	6	2	1	0
25	26	1107	6	0	btn_dungeon	8	60	110	1000	60	10	TeamName1107	0	1	2	6	2	1	0
26	26	1106	7	0	btn_dungeon	8	70	110	1000	70	10	TeamName1106	0	1	2	6	2	1	0
27	26	1108	9	0	btn_dungeon	8	70	110	1000	70	10	TeamName1108	0	1	2	6	2	1	0
28	26	1105	8	0	btn_dungeon	8	75	110	1000	75	10	TeamName1105	0	1	2	6	2	1	0
29	26	1110	10	0	btn_dungeon	8	75	110	1000	75	10	TeamName1110	0	1	2	6	2	1	0
30	30	3000	0	0	icon_daily	1	20	110	1000	20	5	TeamName3000	0	0	1	3	1	1	0
31	14	5000	0	0	icon_zd_juedou	13	32	110	1000	32	5	TeamName5000	0	0	1	3	1	0	0
32	33	0	0	0	btn_fuben	9	0	0	0	33	5	Team_EasyGroupMenu_4	0	0	0	0	0	0	0
33	33	1301	1	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName1	0	0	1	3	1	1	0
34	33	1302	2	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName2	0	0	1	3	1	1	0
35	33	1303	3	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName3	0	0	1	3	1	1	0
36	33	1304	4	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName4	0	0	1	3	1	1	0
37	33	1305	5	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName5	0	0	1	3	1	1	0
38	33	1306	6	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName6	0	0	1	3	1	1	0
39	33	1307	7	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName7	0	0	1	3	1	1	0
40	33	1308	8	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName8	0	0	1	3	1	1	0
41	33	1309	9	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName9	0	0	1	3	1	1	0
42	33	1310	10	0	btn_fuben	9	33	110	1000	33	5	TeamSecretName10	0	0	1	3	1	1	0
43	33	1311	11	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName11	0	0	1	3	1	1	0
44	33	1312	12	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName12	0	0	1	3	1	1	0
45	33	1313	13	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName13	0	0	1	3	1	1	0
46	33	1314	14	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName14	0	0	1	3	1	1	0
47	33	1315	15	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName15	0	0	1	3	1	1	0
48	33	1316	16	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName16	0	0	1	3	1	1	0
49	33	1317	17	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName17	0	0	1	3	1	1	0
50	33	1318	18	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName18	0	0	1	3	1	1	0
51	33	1319	19	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName19	0	0	1	3	1	1	0
52	33	1320	20	0	btn_fuben	9	41	110	1000	41	5	TeamSecretName20	0	0	1	3	1	1	0
53	33	1321	21	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName21	0	0	1	3	1	1	0
54	33	1322	22	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName22	0	0	1	3	1	1	0
55	33	1323	23	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName23	0	0	1	3	1	1	0
56	33	1324	24	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName24	0	0	1	3	1	1	0
57	33	1325	25	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName25	0	0	1	3	1	1	0
58	33	1326	26	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName26	0	0	1	3	1	1	0
59	33	1327	27	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName27	0	0	1	3	1	1	0
60	33	1328	28	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName28	0	0	1	3	1	1	0
61	33	1329	29	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName29	0	0	1	3	1	1	0
62	33	1330	30	0	btn_fuben	9	51	110	1000	51	5	TeamSecretName30	0	0	1	3	1	1	0
63	33	1331	31	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName31	0	0	1	3	1	1	0
64	33	1332	32	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName32	0	0	1	3	1	1	0
65	33	1333	33	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName33	0	0	1	3	1	1	0
66	33	1334	34	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName34	0	0	1	3	1	1	0
67	33	1335	35	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName35	0	0	1	3	1	1	0
68	33	1336	36	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName36	0	0	1	3	1	1	0
69	33	1337	37	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName37	0	0	1	3	1	1	0
70	33	1338	38	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName38	0	0	1	3	1	1	0
71	33	1339	39	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName39	0	0	1	3	1	1	0
72	33	1340	40	0	btn_fuben	9	61	110	1000	61	5	TeamSecretName40	0	0	1	3	1	1	0
73	33	1341	41	0	btn_fuben	9	71	110	1000	71	5	TeamSecretName41	0	0	1	3	1	1	0
74	33	1342	42	0	btn_fuben	9	71	110	1000	71	5	TeamSecretName42	0	0	1	3	1	1	0
75	33	1343	43	0	btn_fuben	9	71	110	1000	71	5	TeamSecretName43	0	0	1	3	1	1	0
76	33	1344	44	0	btn_fuben	9	71	110	1000	71	5	TeamSecretName44	0	0	1	3	1	1	0
77	33	1345	45	0	btn_fuben	9	71	110	1000	71	5	TeamSecretName45	0	0	1	3	1	1	0
78	33	1346	46	0	btn_fuben	9	81	110	1000	81	5	TeamSecretName46	0	0	1	3	1	1	0
79	33	1347	47	0	btn_fuben	9	81	110	1000	81	5	TeamSecretName47	0	0	1	3	1	1	0
80	33	1348	48	0	btn_fuben	9	81	110	1000	81	5	TeamSecretName48	0	0	1	3	1	1	0
81	33	1349	49	0	btn_fuben	9	81	110	1000	81	5	TeamSecretName49	0	0	1	3	1	1	0
82	33	1350	50	0	btn_fuben	9	81	110	1000	81	5	TeamSecretName50	0	0	1	3	1	1	0
83	33	1351	51	0	btn_fuben	9	91	110	1000	91	5	TeamSecretName51	0	0	1	3	1	1	0
84	33	1352	52	0	btn_fuben	9	91	110	1000	91	5	TeamSecretName52	0	0	1	3	1	1	0
85	33	1353	53	0	btn_fuben	9	91	110	1000	91	5	TeamSecretName53	0	0	1	3	1	1	0
86	33	1354	54	0	btn_fuben	9	91	110	1000	91	5	TeamSecretName54	0	0	1	3	1	1	0
87	33	1355	55	0	btn_fuben	9	91	110	1000	91	5	TeamSecretName55	0	0	1	3	1	1	0
88	34	1401	0	0	btn_fuben	10	40	110	1000	40	5	Team_EasyGroupMenu_5	0	0	1	3	1	1	0
89	87	0	0	0	btn_dungeon	11	0	0	0	0	5	Team_EasyGroupMenu_6	0	0	0	0	0		0
90	87	1601	1	0	btn_dungeon	11	1	110	1000	1	5	TeamName1601	0	0	1	3	1	1	0
91	87	1602	2	0	btn_dungeon	11	20	110	1000	20	5	TeamName1602	0	0	1	3	1	1	0
92	87	1603	3	0	btn_dungeon	11	20	110	1000	20	5	TeamName1603	0	0	1	3	1	1	0
93	87	1604	4	0	btn_dungeon	11	20	110	1000	20	5	TeamName1604	0	0	1	3	1	1	0
94	106	6000	0	0	kuafuzhanchangtubiao1	14	35	110	1000	35	5	TeamName6000	0	0	1	3	1	0	0
95	80	7000	0	0	icon_daily	12	42	110	1000	42	5	TeamName7000	0	0	1	3	1	1	0
96	109	8000	0	0	icon_daily	18	40	110	1000	40	5	TeamName8000	0	0	1	3	1	1	0
97	111	0	0	0	icon_daily	4	0	0	0	30	5	TeamName9000	0	0	1	3	1	1	0
98	111	9001	1	0	icon_daily	4	30	110	1000	30	5	TeamName9001	0	0	1	3	1	1	0
99	111	9002	2	0	icon_daily	4	30	110	1000	30	5	TeamName9002	0	0	1	3	1	1	0
100	111	9003	3	0	icon_daily	4	30	110	1000	30	5	TeamName9003	0	0	1	3	1	1	0
101	111	9004	4	0	icon_daily	4	30	110	1000	30	5	TeamName9004	0	0	1	3	1	1	0
102	111	9005	5	0	icon_daily	4	30	110	1000	30	5	TeamName9005	0	0	1	3	1	1	0
103	111	9006	6	0	icon_daily	4	30	110	1000	30	5	TeamName9006	0	0	1	3	1	1	0
104	111	9007	7	0	icon_daily	4	30	110	1000	30	5	TeamName9007	0	0	1	3	1	1	0
105	111	9008	8	0	icon_daily	4	30	110	1000	30	5	TeamName9008	0	0	1	3	1	1	0
106	111	9009	9	0	icon_daily	4	30	110	1000	30	5	TeamName9009	0	0	1	3	1	1	0
107	111	9010	10	0	icon_daily	4	30	110	1000	30	5	TeamName9010	0	0	1	3	1	1	0
108	111	9011	11	0	icon_daily	4	30	110	1000	30	5	TeamName9011	0	0	1	3	1	1	0
109	111	9012	12	0	icon_daily	4	30	110	1000	30	5	TeamName9012	0	0	1	3	1	1	0
110	278	0	0	0	icon_daily	5	0	0	0	60	5	TeamName7100	0	0	1	3	1	1	0
111	278	7101	1	0	icon_daily	5	60	110	1000	60	5	TeamName7101	0	0	1	3	1	1	0
112	278	7102	2	0	icon_daily	5	60	110	1000	60	5	TeamName7102	0	0	1	3	1	1	0
113	278	7103	3	0	icon_daily	5	60	110	1000	60	5	TeamName7103	0	0	1	3	1	1	0
114	278	7104	4	0	icon_daily	5	60	110	1000	60	5	TeamName7104	0	0	1	3	1	1	0
115	278	7105	5	0	icon_daily	5	60	110	1000	60	5	TeamName7105	0	0	1	3	1	1	0
116	278	7106	6	0	icon_daily	5	60	110	1000	60	5	TeamName7106	0	0	1	3	1	1	0
117	278	7107	7	0	icon_daily	5	60	110	1000	60	5	TeamName7107	0	0	1	3	1	1	0
118	278	7108	8	0	icon_daily	5	60	110	1000	60	5	TeamName7108	0	0	1	3	1	1	0
119	278	7109	9	0	icon_daily	5	60	110	1000	60	5	TeamName7109	0	0	1	3	1	1	0
120	278	7110	10	0	icon_daily	5	60	110	1000	60	5	TeamName7110	0	0	1	3	1	1	0
121	278	7111	11	0	icon_daily	5	60	110	1000	60	5	TeamName7111	0	0	1	3	1	1	0
122	278	7112	12	0	icon_daily	5	60	110	1000	60	5	TeamName7112	0	0	1	3	1	1	0
123	278	7113	13	0	icon_daily	5	60	110	1000	60	5	TeamName7113	0	0	1	3	1	1	0
124	278	7114	14	0	icon_daily	5	60	110	1000	60	5	TeamName7114	0	0	1	3	1	1	0
125	278	7115	15	0	icon_daily	5	60	110	1000	60	5	TeamName7115	0	0	1	3	1	1	0
126	278	7116	16	0	icon_daily	5	60	110	1000	60	5	TeamName7116	0	0	1	3	1	1	0
127	278	7117	17	0	icon_daily	5	60	110	1000	60	5	TeamName7117	0	0	1	3	1	1	0
128	278	7118	18	0	icon_daily	5	60	110	1000	60	5	TeamName7118	0	0	1	3	1	1	0
129	105	9100	0	0	icon_daily	7	39	110	1000	39	5	TeamName9100	0	0	1	3	1	0	0
130	122	9200	0	0	icon_relic	15	38	110	1000	38	5	TeamName9200	0	0	1	3	1	0	0
131	145	0	0	0	icon_daily	6	0	0	0	18	5	TeamName9300	0	0	1	3	1	1	0
132	145	1	1	0	icon_daily	6	18	110	1000	18	5	TeamName9301	0	0	1	3	1	1	0
133	145	7	2	0	icon_daily	6	25	110	1000	25	5	TeamName9302	0	0	1	3	1	1	0
134	145	13	3	0	icon_daily	6	35	110	1000	35	5	TeamName9303	0	0	1	3	1	1	0
135	145	19	4	0	icon_daily	6	45	110	1000	45	5	TeamName9304	0	0	1	3	1	1	0
136	145	25	5	0	icon_daily	6	55	110	1000	55	5	TeamName9305	0	0	1	3	1	1	0
137	145	31	6	0	icon_daily	6	60	110	1000	60	5	TeamName9306	0	0	1	3	1	1	0
138	145	37	7	0	icon_daily	6	65	110	1000	65	5	TeamName9307	0	0	1	3	1	1	0
139	145	43	8	0	icon_daily	6	75	110	1000	75	5	TeamName9308	0	0	1	3	1	1	0
140	27	0	0	0	btn_dungeon	16	0	0	0	48	5	Team_EasyGroupMenu_7	0	0	0	0	0	0	0
141	27	9301	1	1	btn_dungeon	16	48	110	10000	48	5	TeamName9301_1	0	0	1	3	1	1	300
142	27	9302	2	2	btn_dungeon	16	48	110	10000	48	5	TeamName9301_2	0	0	1	3	1	1	300
143	27	9303	3	3	btn_dungeon	16	50	110	10000	50	5	TeamName9301_3	0	0	1	3	1	1	300
144	27	9304	4	4	btn_dungeon	16	50	110	10000	50	5	TeamName9301_4	0	0	1	3	1	1	300
145	27	9305	5	5	btn_dungeon	16	54	110	10000	54	5	TeamName9301_5	0	0	1	3	1	1	300
146	27	9306	6	6	btn_dungeon	16	56	110	10000	56	5	TeamName9301_6	0	0	1	3	1	1	300
147	27	9307	7	7	btn_dungeon	16	58	110	10000	58	5	TeamName9301_7	0	0	1	3	1	1	300
148	27	9308	8	8	btn_dungeon	16	60	110	10000	60	5	TeamName9301_8	0	0	1	3	1	1	300
149	27	9309	9	9	btn_dungeon	16	60	110	10000	60	5	TeamName9301_9	0	0	1	3	1	1	300
150	27	9310	10	10	btn_dungeon	16	60	110	10000	60	5	TeamName9301_10	0	0	1	3	1	1	300
151	27	9311	11	11	btn_dungeon	16	60	110	10000	60	5	TeamName9301_11	0	0	1	3	1	1	300
152	27	9312	12	12	btn_dungeon	16	60	110	10000	60	5	TeamName9301_12	0	0	1	3	1	1	300
153	27	9401	13	1	btn_dungeon	16	49	110	10000	49	5	TeamName9401	0	0	1	3	1	1	400
154	27	9402	14	2	btn_dungeon	16	50	110	10000	50	5	TeamName9402	0	0	1	3	1	1	400
155	27	9403	15	3	btn_dungeon	16	53	110	10000	53	5	TeamName9403	0	0	1	3	1	1	400
156	27	9404	16	4	btn_dungeon	16	55	110	10000	55	5	TeamName9404	0	0	1	3	1	1	400
157	27	9405	17	5	btn_dungeon	16	57	110	10000	57	5	TeamName9405	0	0	1	3	1	1	400
158	27	9406	18	6	btn_dungeon	16	59	110	10000	59	5	TeamName9406	0	0	1	3	1	1	400
159	27	9407	19	7	btn_dungeon	16	60	110	10000	60	5	TeamName9407	0	0	1	3	1	1	400
160	27	9408	20	8	btn_dungeon	16	60	110	10000	60	5	TeamName9408	0	0	1	3	1	1	400
161	27	9409	21	9	btn_dungeon	16	60	110	10000	60	5	TeamName9409	0	0	1	3	1	1	400
162	27	9410	22	10	btn_dungeon	16	60	110	10000	60	5	TeamName9410	0	0	1	3	1	1	400
163	27	9411	23	11	btn_dungeon	16	60	110	10000	60	5	TeamName9411	0	0	1	3	1	1	400
164	27	9412	24	12	btn_dungeon	16	60	110	10000	60	5	TeamName9412	0	0	1	3	1	1	400
165	27	9501	25	1	btn_dungeon	16	49	110	10000	49	5	TeamName9501	0	0	1	3	1	1	500
166	27	9502	26	2	btn_dungeon	16	50	110	10000	50	5	TeamName9502	0	0	1	3	1	1	500
167	27	9503	27	3	btn_dungeon	16	53	110	10000	53	5	TeamName9503	0	0	1	3	1	1	500
168	27	9504	28	4	btn_dungeon	16	55	110	10000	55	5	TeamName9504	0	0	1	3	1	1	500
169	27	9505	29	5	btn_dungeon	16	57	110	10000	57	5	TeamName9505	0	0	1	3	1	1	500
170	27	9506	30	6	btn_dungeon	16	59	110	10000	59	5	TeamName9506	0	0	1	3	1	1	500
171	27	9507	31	7	btn_dungeon	16	60	110	10000	60	5	TeamName9507	0	0	1	3	1	1	500
172	27	9508	32	8	btn_dungeon	16	60	110	10000	60	5	TeamName9508	0	0	1	3	1	1	500
173	27	9509	33	9	btn_dungeon	16	60	110	10000	60	5	TeamName9509	0	0	1	3	1	1	500
174	27	9510	34	10	btn_dungeon	16	60	110	10000	60	5	TeamName9510	0	0	1	3	1	1	500
175	27	9511	35	11	btn_dungeon	16	60	110	10000	60	5	TeamName9511	0	0	1	3	1	1	500
176	27	9512	36	12	btn_dungeon	16	60	110	10000	60	5	TeamName9512	0	0	1	3	1	1	500
177	160	0	0	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam	0	0	1	3	1	1	0
178	160	10001	1	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam01	0	0	1	3	1	1	0
179	160	10002	2	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam02	0	0	1	3	1	1	0
180	160	10003	3	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam03	0	0	1	3	1	1	0
181	160	20001	4	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam04	0	0	1	3	1	1	0
182	160	20002	5	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam05	0	0	1	3	1	1	0
183	160	20003	6	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam06	0	0	1	3	1	1	0
184	160	30001	7	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam07	0	0	1	3	1	1	0
185	160	30002	8	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam08	0	0	1	3	1	1	0
186	160	30003	9	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam09	0	0	1	3	1	1	0
187	160	40001	10	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam10	0	0	1	3	1	1	0
188	160	40002	11	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam11	0	0	1	3	1	1	0
189	160	40003	12	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam12	0	0	1	3	1	1	0
190	160	50001	13	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam13	0	0	1	3	1	1	0
191	160	50002	14	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam14	0	0	1	3	1	1	0
192	160	50003	15	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam15	0	0	1	3	1	1	0
193	160	60001	16	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam16	0	0	1	3	1	1	0
194	160	60002	17	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam17	0	0	1	3	1	1	0
195	160	60003	18	0	icon_daily	17	1	110	10000	1	5	SzellPeakTeam18	0	0	1	3	1	1	0
196	184	184	0	0	icon_daily	19	38	110	1000	38	5	TeamNameStep	0	0	0	0	0	0	0
197	231	4000	0	0	icon_huodong	20	42	110	1000	42	5	TeamNameDisaster	0	0	1	3	1	0	0
198	288	1859	0	0	btn_contract	26	40	110	1000	40	5	TeamName2007	0	1	1	3	1	1	0
199	289	1860	0	0	btn_contract	27	50	110	1000	50	10	TeamName2008	0	1	2	6	2	1	0
200	420	1999	0	0	btn_subspacebattle_activity	25	30	110	1000	1	5	SubspaceBattle01	0	1	1	3	1	1	0
201	296	1999	0	0		29	65	110	1000	1	10	TeamName_HuntPvp	0	1	1	3	1	1	0
202	1508	4000	0	0	icon_huodong	2	30	110	1000	30	5	TeamName4001	0	0	1	3	1	0	0
203	26	1111	11	0	btn_dungeon	8	85	110	1000	85	10	TeamName1111	0	1	2	6	2	1	0
204	26	1112	12	0	btn_dungeon	8	85	110	1000	85	10	TeamName1112	0	1	2	6	2	1	0
205	324	1999	0	0	btn_holybattle	31	55	110	10000	54	5	TeamName_HolyBattle	0	0	0	0	0	0	0
206	446	0	0	0	icon_twelvestars_title	32	70	110	1000	70	5	TwelveStarsTeamName	0	0	0	0	0	1	0
207	446	1180	1	0	icon_twelvestars_title	32	70	110	1000	70	5	TwelveStarsTeamName1180	0	0	0	0	0	1	0
208	446	1181	2	0	icon_twelvestars_title	32	70	110	1000	70	5	TwelveStarsTeamName1181	0	0	0	0	0	1	0
209	458	0	0	0	icon_stardoor	33	67	110	1000	67	5	TeamName2009	0	0	1	3	1	1	0
210	458	1	1	0	icon_stardoor	33	67	110	1000	67	5	TeamName2009_1	0	0	1	3	1	1	0
211	458	2	2	0	icon_stardoor	33	67	110	1000	67	5	TeamName2009_2	0	0	1	3	1	1	0
212	458	3	3	0	icon_stardoor	33	67	110	1000	67	5	TeamName2009_3	0	0	1	3	1	1	0
213	458	4	4	0	icon_stardoor	33	68	110	1000	68	5	TeamName2009_4	0	0	1	3	1	1	0
214	458	5	5	0	icon_stardoor	33	68	110	1000	68	5	TeamName2009_5	0	0	1	3	1	1	0
215	458	6	6	0	icon_stardoor	33	68	110	1000	68	5	TeamName2009_6	0	0	1	3	1	1	0
216	458	7	7	0	icon_stardoor	33	69	110	1000	69	5	TeamName2009_7	0	0	1	3	1	1	0
217	458	8	8	0	icon_stardoor	33	69	110	1000	69	5	TeamName2009_8	0	0	1	3	1	1	0
218	458	9	9	0	icon_stardoor	33	69	110	1000	69	5	TeamName2009_9	0	0	1	3	1	1	0
219	458	10	10	0	icon_stardoor	33	70	110	1000	70	5	TeamName2009_10	0	0	1	3	1	1	0
220	458	11	11	0	icon_stardoor	33	70	110	1000	70	5	TeamName2009_11	0	0	1	3	1	1	0
221	458	12	12	0	icon_stardoor	33	70	110	1000	70	5	TeamName2009_12	0	0	1	3	1	1	0
222	458	13	13	0	icon_stardoor	33	71	110	1000	71	5	TeamName2009_13	0	0	1	3	1	1	0
223	458	14	14	0	icon_stardoor	33	71	110	1000	71	5	TeamName2009_14	0	0	1	3	1	1	0
224	458	15	15	0	icon_stardoor	33	71	110	1000	71	5	TeamName2009_15	0	0	1	3	1	1	0
225	26	1113	13	0	btn_dungeon	9	90	110	1000	90	10	TeamName1113	0	1	2	6	2	1	0
226	26	1114	14	0	btn_dungeon	9	90	110	1000	90	10	TeamName1114	0	1	2	6	2	1	0
227	465	0	0	0	icon_monthpve	34	30	110	1000	30	5	TeamName2010	0	0	1	3	1	1	0
228	465	1	1	0	icon_monthpve	34	30	110	1000	30	5	TeamName2010_1	0	0	1	3	1	1	0
229	465	2	2	0	icon_monthpve	34	30	110	1000	30	5	TeamName2010_2	0	0	1	3	1	1	0
230	467	0	0	0	btn_ship	1	99	110	10000	100	5	TeamName2011	0	0	0	0	0	0	0
231	28	0	0	0	btn_dungeon	35	76	110	1000	76	5	TeamName1115	0	0	1	3	1	1	0
232	28	1090	1	0	btn_dungeon	35	76	110	1000	76	5	TeamName1116	0	0	1	3	1	1	401
233	28	1091	2	0	btn_dungeon	35	76	110	1000	76	5	TeamName1117	0	0	1	3	1	1	401
234	28	1092	3	0	btn_dungeon	35	86	110	1000	86	5	TeamName1118	0	0	1	3	1	1	402
235	28	1093	4	0	btn_dungeon	35	86	110	1000	86	5	TeamName1119	0	0	1	3	1	1	402
236	28	1094	5	0	btn_dungeon	35	91	110	1000	91	5	TeamName1120	0	0	1	3	1	1	403
237	28	1095	6	0	btn_dungeon	35	91	110	1000	91	5	TeamName1121	0	0	1	3	1	1	403
238	514	5140	0	0	icon_energybattle	36	35	110	1000	35	5	TeamName514_1	0	0	0	0	0	0	0
239	458	16	16	0	icon_stardoor	33	72	110	1000	72	5	TeamName2009_16	0	0	1	3	1	1	0
240	458	17	17	0	icon_stardoor	33	72	110	1000	72	5	TeamName2009_17	0	0	1	3	1	1	0
241	458	18	18	0	icon_stardoor	33	72	110	1000	72	5	TeamName2009_18	0	0	1	3	1	1	0
