流水	技能id	等级	升级道具消耗	升级货币消耗	突破后附加属性	突破后附加buff	突破后附加buff等级	替换/淬炼货币消耗
75	skill10012	7	item103010132321,1;item91000000694,3	1,6000000	1420000035	skill10012::buff_wp_surpass	3	1,50000
76	skill10012	8			1420000036	skill10012::buff_wp_surpass	4	1,50000
77	skill10013	1	item103010132331,1	1,1000000			0	1,50000
78	skill10013	2	item103010132331,1	1,2000000			0	1,50000
79	skill10013	3	item103010132331,1	1,5000000			0	1,50000
80	skill10013	4	item103010132331,1;item91000000694,2	1,4000000			0	1,50000
81	skill10013	5	item103010132331,1;item91000000694,1	1,2000000	1420000037	skill10013::buff_wp_surpass	1	1,50000
82	skill10013	6	item103010132331,1;item91000000694,2	1,4000000	1420000038	skill10013::buff_wp_surpass	2	1,50000
83	skill10013	7	item103010132331,1;item91000000694,3	1,6000000	1420000039	skill10013::buff_wp_surpass	3	1,50000
84	skill10013	8			1420000040	skill10013::buff_wp_surpass	4	1,50000
85	skill10020	1	item103010132341,1	1,1000000			0	1,50000
86	skill10020	2	item103010132341,1	1,2000000			0	1,50000
87	skill10020	3	item103010132341,1	1,5000000			0	1,50000
88	skill10020	4	item103010132341,1;item91000000694,2	1,4000000			0	1,50000
89	skill10020	5	item103010132341,1;item91000000694,1	1,2000000	1420000049	skill10020::buff_wp_surpass	1	1,50000
90	skill10020	6	item103010132341,1;item91000000694,2	1,4000000	1420000050	skill10020::buff_wp_surpass	2	1,50000
91	skill10020	7	item103010132341,1;item91000000694,3	1,6000000	1420000051	skill10020::buff_wp_surpass	3	1,50000
92	skill10020	8			1420000052	skill10020::buff_wp_surpass	4	1,50000
93	skill10017	1	item103015110418,1	1,1000000			0	1,50000
94	skill10017	2	item103015110418,1	1,2000000			0	1,50000
95	skill10017	3	item103015110418,1	1,5000000			0	1,50000
96	skill10017	4	item103015110418,1;item91000000694,2	1,4000000			0	1,50000
97	skill10017	5	item103015110418,1;item91000000694,1	1,2000000	1420000041	skill10017::buff_wp_surpass	1	1,50000
98	skill10017	6	item103015110418,1;item91000000694,2	1,4000000	1420000042	skill10017::buff_wp_surpass	2	1,50000
99	skill10017	7	item103015110418,1;item91000000694,3	1,6000000	1420000043	skill10017::buff_wp_surpass	3	1,50000
100	skill10017	8			1420000044	skill10017::buff_wp_surpass	4	1,50000
101	skill10018	1	item103015110419,1	1,1000000			0	1,50000
102	skill10018	2	item103015110419,1	1,2000000			0	1,50000
103	skill10018	3	item103015110419,1	1,5000000			0	1,50000
104	skill10018	4	item103015110419,1;item91000000694,2	1,4000000			0	1,50000
105	skill10018	5	item103015110419,1;item91000000694,1	1,2000000	1420000045	skill10018::buff_wp_surpass	1	1,50000
106	skill10018	6	item103015110419,1;item91000000694,2	1,4000000	1420000046	skill10018::buff_wp_surpass	2	1,50000
107	skill10018	7	item103015110419,1;item91000000694,3	1,6000000	1420000047	skill10018::buff_wp_surpass	3	1,50000
108	skill10018	8			1420000048	skill10018::buff_wp_surpass	4	1,50000
109	skill10022	1	item103015110421,1	1,1000000			0	1,50000
110	skill10022	2	item103015110421,1	1,2000000			0	1,50000
111	skill10022	3	item103015110421,1	1,5000000			0	1,50000
112	skill10022	4	item103015110421,1;item91000000694,2	1,4000000			0	1,50000
113	skill10022	5	item103015110421,1;item91000000694,1	1,2000000	1420000053	skill10022::buff_wp_surpass	1	1,50000
114	skill10022	6	item103015110421,1;item91000000694,2	1,4000000	1420000054	skill10022::buff_wp_surpass	2	1,50000
115	skill10022	7	item103015110421,1;item91000000694,3	1,6000000	1420000055	skill10022::buff_wp_surpass	3	1,50000
116	skill10022	8			1420000056	skill10022::buff_wp_surpass	4	1,50000
117	skill1012	1	item103010133001,1	1,100000			0	1,50000
118	skill1012	2	item103010133001,1	1,200000			0	1,50000
119	skill1012	3	item103010133001,1	1,500000			0	1,50000
120	skill1012	4					0	1,50000
121	skill1009	1	item103010133101,1	1,200000			0	1,50000
122	skill1009	2	item103010133101,1	1,500000			0	1,50000
123	skill1009	3	item103010133101,1	1,1000000			0	1,50000
124	skill1009	4					0	1,50000
125	skill1014	1	item103010133111,1	1,200000			0	1,50000
126	skill1014	2	item103010133111,1	1,500000			0	1,50000
127	skill1014	3	item103010133111,1	1,1000000			0	1,50000
128	skill1014	4					0	1,50000
129	skill1017	1	item103010133201,1	1,500000			0	1,50000
130	skill1017	2	item103010133201,1	1,1000000			0	1,50000
131	skill1017	3	item103010133201,1	1,2000000			0	1,50000
132	skill1017	4					0	1,50000
133	skill1010	1	item103010133301,1	1,1000000			0	1,50000
134	skill1010	2	item103010133301,1	1,2000000			0	1,50000
135	skill1010	3	item103010133301,1	1,5000000			0	1,50000
136	skill1010	4	item103010133301,1;item91000000694,2	1,4000000			0	1,50000
137	skill1010	5	item103010133301,1;item91000000694,1	1,2000000	1420000009	skill1010::buff_wp_surpass	1	1,50000
138	skill1010	6	item103010133301,1;item91000000694,2	1,4000000	1420000010	skill1010::buff_wp_surpass	2	1,50000
139	skill1010	7	item103010133301,1;item91000000694,3	1,6000000	1420000011	skill1010::buff_wp_surpass	3	1,50000
140	skill1010	8			1420000012	skill1010::buff_wp_surpass	4	1,50000
141	skill1114	1	item103010134001,1	1,100000			0	1,50000
142	skill1114	2	item103010134001,1	1,200000			0	1,50000
143	skill1114	3	item103010134001,1	1,500000			0	1,50000
144	skill1114	4					0	1,50000
145	skill1113	1	item103010134101,1	1,200000			0	1,50000
146	skill1113	2	item103010134101,1	1,500000			0	1,50000
147	skill1113	3	item103010134101,1	1,1000000			0	1,50000
148	skill1113	4					0	1,50000
149	skill1118	1	item103010134111,1	1,200000			0	1,50000
150	skill1118	2	item103010134111,1	1,500000			0	1,50000
151	skill1118	3	item103010134111,1	1,1000000			0	1,50000
152	skill1118	4					0	1,50000
153	skill1112	1	item103010134201,1	1,500000			0	1,50000
154	skill1112	2	item103010134201,1	1,1000000			0	1,50000
155	skill1112	3	item103010134201,1	1,2000000			0	1,50000
156	skill1112	4					0	1,50000
157	skill1119	1	item103010134301,1	1,1000000			0	1,50000
158	skill1119	2	item103010134301,1	1,2000000			0	1,50000
159	skill1119	3	item103010134301,1	1,5000000			0	1,50000
160	skill1119	4	item103010134301,1;item91000000694,2	1,4000000			0	1,50000
161	skill1119	5	item103010134301,1;item91000000694,1	1,2000000	1420000005	skill1119::buff_wp_surpass	1	1,50000
162	skill1119	6	item103010134301,1;item91000000694,2	1,4000000	1420000006	skill1119::buff_wp_surpass	2	1,50000
163	skill1119	7	item103010134301,1;item91000000694,3	1,6000000	1420000007	skill1119::buff_wp_surpass	3	1,50000
164	skill1119	8			1420000008	skill1119::buff_wp_surpass	4	1,50000
165	skill1212	1	item103010135001,1	1,100000			0	1,50000
166	skill1212	2	item103010135001,1	1,200000			0	1,50000
167	skill1212	3	item103010135001,1	1,500000			0	1,50000
168	skill1212	4					0	1,50000
169	skill1208	1	item103010135101,1	1,200000			0	1,50000
170	skill1208	2	item103010135101,1	1,500000			0	1,50000
171	skill1208	3	item103010135101,1	1,1000000			0	1,50000
172	skill1208	4					0	1,50000
173	skill1211	1	item103010135111,1	1,200000			0	1,50000
174	skill1211	2	item103010135111,1	1,500000			0	1,50000
175	skill1211	3	item103010135111,1	1,1000000			0	1,50000
176	skill1211	4					0	1,50000
177	skill1207	1	item103010135201,1	1,500000			0	1,50000
178	skill1207	2	item103010135201,1	1,1000000			0	1,50000
179	skill1207	3	item103010135201,1	1,2000000			0	1,50000
180	skill1207	4					0	1,50000
181	skill1202	1	item103010135301,1	1,1000000			0	1,50000
182	skill1202	2	item103010135301,1	1,2000000			0	1,50000
183	skill1202	3	item103010135301,1	1,5000000			0	1,50000
184	skill1202	4	item103010135301,1;item91000000694,2	1,4000000			0	1,50000
185	skill1202	5	item103010135301,1;item91000000694,1	1,2000000	1420000001	skill1202::buff_wp_surpass	1	1,50000
186	skill1202	6	item103010135301,1;item91000000694,2	1,4000000	1420000002	skill1202::buff_wp_surpass	2	1,50000
187	skill1202	7	item103010135301,1;item91000000694,3	1,6000000	1420000003	skill1202::buff_wp_surpass	3	1,50000
188	skill1202	8			1420000004	skill1202::buff_wp_surpass	4	1,50000
189	skill1310	1	item103010136001,1	1,100000			0	1,50000
190	skill1310	2	item103010136001,1	1,200000			0	1,50000
191	skill1310	3	item103010136001,1	1,500000			0	1,50000
192	skill1310	4					0	1,50000
193	skill1306	1	item103010136101,1	1,200000			0	1,50000
194	skill1306	2	item103010136101,1	1,500000			0	1,50000
195	skill1306	3	item103010136101,1	1,1000000			0	1,50000
196	skill1306	4					0	1,50000
197	skill1315	1	item103010136111,1	1,200000			0	1,50000
198	skill1315	2	item103010136111,1	1,500000			0	1,50000
199	skill1315	3	item103010136111,1	1,1000000			0	1,50000
200	skill1315	4					0	1,50000
201	skill1311	1	item103010136201,1	1,500000			0	1,50000
202	skill1311	2	item103010136201,1	1,1000000			0	1,50000
203	skill1311	3	item103010136201,1	1,2000000			0	1,50000
204	skill1311	4					0	1,50000
205	skill1316	1	item103010136301,1	1,1000000			0	1,50000
206	skill1316	2	item103010136301,1	1,2000000			0	1,50000
207	skill1316	3	item103010136301,1	1,5000000			0	1,50000
208	skill1316	4	item103010136301,1;item91000000694,2	1,4000000			0	1,50000
209	skill1316	5	item103010136301,1;item91000000694,1	1,2000000	1420000013	skill1316::buff_wp_surpass	1	1,50000
210	skill1316	6	item103010136301,1;item91000000694,2	1,4000000	1420000014	skill1316::buff_wp_surpass	2	1,50000
211	skill1316	7	item103010136301,1;item91000000694,3	1,6000000	1420000015	skill1316::buff_wp_surpass	3	1,50000
212	skill1316	8			1420000016	skill1316::buff_wp_surpass	4	1,50000
213	skill1411	1	item103010137001,1	1,100000			0	1,50000
214	skill1411	2	item103010137001,1	1,200000			0	1,50000
215	skill1411	3	item103010137001,1	1,500000			0	1,50000
216	skill1411	4					0	1,50000
217	skill1412	1	item103010137101,1	1,200000			0	1,50000
218	skill1412	2	item103010137101,1	1,500000			0	1,50000
219	skill1412	3	item103010137101,1	1,1000000			0	1,50000
220	skill1412	4					0	1,50000
221	skill1410	1	item103010137111,1	1,200000			0	1,50000
222	skill1410	2	item103010137111,1	1,500000			0	1,50000
223	skill1410	3	item103010137111,1	1,1000000			0	1,50000
224	skill1410	4					0	1,50000
225	skill1415	1	item103010137201,1	1,500000			0	1,50000
226	skill1415	2	item103010137201,1	1,1000000			0	1,50000
227	skill1415	3	item103010137201,1	1,2000000			0	1,50000
228	skill1415	4					0	1,50000
229	skill1414	1	item103010137301,1	1,1000000			0	1,50000
230	skill1414	2	item103010137301,1	1,2000000			0	1,50000
231	skill1414	3	item103010137301,1	1,5000000			0	1,50000
232	skill1414	4	item103010137301,1;item91000000694,2	1,4000000			0	1,50000
233	skill1414	5	item103010137301,1;item91000000694,1	1,2000000	1420000017	skill1414::buff_wp_surpass	1	1,50000
234	skill1414	6	item103010137301,1;item91000000694,2	1,4000000	1420000018	skill1414::buff_wp_surpass	2	1,50000
235	skill1414	7	item103010137301,1;item91000000694,3	1,6000000	1420000019	skill1414::buff_wp_surpass	3	1,50000
236	skill1414	8			1420000020	skill1414::buff_wp_surpass	4	1,50000
237	skill1513	1	item103010138001,1	1,100000			0	1,50000
238	skill1513	2	item103010138001,1	1,200000			0	1,50000
239	skill1513	3	item103010138001,1	1,500000			0	1,50000
240	skill1513	4					0	1,50000
241	skill1512	1	item103010138101,1	1,200000			0	1,50000
242	skill1512	2	item103010138101,1	1,500000			0	1,50000
243	skill1512	3	item103010138101,1	1,1000000			0	1,50000
244	skill1512	4					0	1,50000
245	skill1511	1	item103010138111,1	1,200000			0	1,50000
246	skill1511	2	item103010138111,1	1,500000			0	1,50000
247	skill1511	3	item103010138111,1	1,1000000			0	1,50000
248	skill1511	4					0	1,50000
249	skill1514	1	item103010138201,1	1,500000			0	1,50000
250	skill1514	2	item103010138201,1	1,1000000			0	1,50000
251	skill1514	3	item103010138201,1	1,2000000			0	1,50000
252	skill1514	4					0	1,50000
253	skill1515	1	item103010138301,1	1,1000000			0	1,50000
254	skill1515	2	item103010138301,1	1,2000000			0	1,50000
255	skill1515	3	item103010138301,1	1,5000000			0	1,50000
256	skill1515	4	item103010138301,1;item91000000694,2	1,4000000			0	1,50000
257	skill1515	5	item103010138301,1;item91000000694,1	1,2000000	1420000021	skill1515::buff_wp_surpass	1	1,50000
258	skill1515	6	item103010138301,1;item91000000694,2	1,4000000	1420000022	skill1515::buff_wp_surpass	2	1,50000
259	skill1515	7	item103010138301,1;item91000000694,3	1,6000000	1420000023	skill1515::buff_wp_surpass	3	1,50000
260	skill1515	8			1420000024	skill1515::buff_wp_surpass	4	1,50000
261	skill10024	1	item103015110421,1	1,1000000			0	1,50000
262	skill10024	2	item103015110421,1	1,2000000			0	1,50000
263	skill10024	3	item103015110421,1	1,5000000			0	1,50000
264	skill10024	4	item103015110421,1;item91000000694,2	1,4000000			0	1,50000
265	skill10024	5	item103015110421,1;item91000000694,1	1,2000000	1420000057	skill10024::buff_wp_surpass	1	1,50000
266	skill10024	6	item103015110421,1;item91000000694,2	1,4000000	1420000058	skill10024::buff_wp_surpass	2	1,50000
267	skill10024	7	item103015110421,1;item91000000694,3	1,6000000	1420000059	skill10024::buff_wp_surpass	3	1,50000
268	skill10024	8			1420000060	skill10024::buff_wp_surpass	4	1,50000
269	skill10025	1	item103010139401,1	1,1000000			0	1,50000
270	skill10025	2	item103010139401,1	1,2000000			0	1,50000
271	skill10025	3	item103010139401,1	1,5000000			0	1,50000
272	skill10025	4		1,4000000			0	1,50000
273	skill10026	1	item103015110421,1	1,1000000			0	1,50000
274	skill10026	2	item103015110421,1	1,2000000			0	1,50000
275	skill10026	3	item103015110421,1	1,5000000			0	1,50000
276	skill10026	4	item103015110421,1;item91000000694,2	1,4000000			0	1,50000
277	skill10026	5	item103015110421,1;item91000000694,1	1,2000000	1420000061	skill10026::buff_wp_surpass	1	1,50000
278	skill10026	6	item103015110421,1;item91000000694,2	1,4000000	1420000062	skill10026::buff_wp_surpass	2	1,50000
279	skill10026	7	item103015110421,1;item91000000694,3	1,6000000	1420000063	skill10026::buff_wp_surpass	3	1,50000
280	skill10026	8			1420000064	skill10026::buff_wp_surpass	4	1,50000
281	skill10027	1	item103015110421,1	1,1000000			0	1,50000
282	skill10027	2	item103015110421,1	1,2000000			0	1,50000
283	skill10027	3	item103015110421,1	1,5000000			0	1,50000
284	skill10027	4	item103015110421,1;item91000000694,2	1,4000000			0	1,50000
285	skill10027	5	item103015110421,1;item91000000694,1	1,2000000	1420000065	skill10027::buff_wp_surpass	1	1,50000
286	skill10027	6	item103015110421,1;item91000000694,2	1,4000000	1420000066	skill10027::buff_wp_surpass	2	1,50000
287	skill10027	7	item103015110421,1;item91000000694,3	1,6000000	1420000067	skill10027::buff_wp_surpass	3	1,50000
288	skill10027	8			1420000068	skill10027::buff_wp_surpass	4	1,50000
289	skill10028	1	item103010139701,1	1,1000000			0	1,50000
290	skill10028	2	item103010139701,1	1,2000000			0	1,50000
291	skill10028	3	item103010139701,1	1,5000000			0	1,50000
292	skill10028	4	item103010139701,1;item91000000694,2	1,4000000			0	1,50000
293	skill10028	5	item103010139701,1;item91000000694,1	1,2000000	1420000065	skill10028::buff_wp_surpass	1	1,50000
294	skill10028	6	item103010139701,1;item91000000694,2	1,4000000	1420000066	skill10028::buff_wp_surpass	2	1,50000
295	skill10028	7	item103010139701,1;item91000000694,3	1,6000000	1420000067	skill10028::buff_wp_surpass	3	1,50000
296	skill10028	8			1420000068	skill10028::buff_wp_surpass	4	1,50000
