编号	解锁	显示ID	排序	类型	可视等级	解锁条件	特殊条件参数	奖励冒险币	增加属性	介绍	出现场景	坐标	UI界面模型倍数	UI界面模型位置	捕捉怪物	怪物情报分析	征服之路组合	装备套装分类	爱好解锁条件类型	爱好解锁参数	爱好道具	海报链接	小传解锁条件类型	小传解锁参数	小传内容	获取魔灵的道具	普通副本名	普通首领技能	英雄副本名	英雄首领技能	地区渠道号	冒险点数
100055	100055	monster30100461	52	1	40	1		2		MonsterDes_30100461	5	28.4, 8.0, 60.9	0.800000	0;-0.4;0			61	0	0								DungeonName_1031	75,76	DungeonName_1032	77,78,79		0
100056	100056	monster30100480	53	1	40	1		2		MonsterDes_30100480	5	28.4, 8.0, 60.9	0.700000	0;-0.2;0			62,63	0	0								DungeonName_1031	85,86,87,88,89,90	DungeonName_1032	91,92,93,94,95,96,97,98		0
100059	100059	monster31000160	54	1	40	1		2		MonsterDes_31000160	6	25.8, 4.5, 90.6	0.500000				64	0	0								DungeonName_1100	99,100,101				0
100061	100061	monster31000180	55	1	40	1		2		MonsterDes_31000180	6	25.8, 4.5, 90.6	0.400000				65	0	0								DungeonName_1100	102,103,104,105				0
100062	100062	monster31000181	56	1	40	1		2		MonsterDes_31000181	6	25.8, 4.5, 90.6	0.400000	0;-0.4;0			66	0	0								DungeonName_1100	106,107,108,109,110				0
100063	100063	monster10006001	57	1	50	1		2		MonsterDes_10006001	6	57.0, -5.2, -56.2	1.000000				67	0	0													0
100064	100064	monster10006002	58	1	50	1		2		MonsterDes_10006002	6	-22.5, -2.0, -60.1	0.900000				68	0	0													0
100065	100065	monster10006003	59	1	50	7		2		MonsterDes_10006003	6	-20.7, -0.3, -29.3	1.000000				69,95	0	0													0
100066	100066	monster10006004	60	1	50	7		2		MonsterDes_10006004	6	-10.6, 0.0, -12.0	1.000000				70,96	0	0													0
100067	100067	monster10006005	61	1	50	1		2		MonsterDes_10006005	6	4.4, -0.1, -13.9	0.900000				71	0	0													0
100068	100068	monster10006006	62	1	50	1		2		MonsterDes_10006006	6	-36.9, -0.2, 26.5	0.900000				72	0	0													0
100069	100069	monster10006007	63	1	50	7		2		MonsterDes_10006007	6	47.1, -5.2, -59.2	0.900000				73	0	0													0
100070	100070	monster10006008	64	1	50	1		2		MonsterDes_10006008	6	-11.2, 1.0, -20.6	0.500000				74	0	0													0
100074	100074	monster10006013	65	1	50	1		2		MonsterDes_10006013	6	-0.4, 1.0, 51.1	1.000000				75	0	0													0
100075	100075	monster30000560	66	1	50	1		2		MonsterDes_30000560	6	33.5, -4.9, -59.3	0.400000				76	0	0								DungeonName_1033	111,112,113,114,115	DungeonName_1034	116,117,118,119,120		0
100077	100077	monster30100580	67	1	50	1		2		MonsterDes_30100580	6	33.5, -4.9, -59.3	0.400000				77,78	0	0								DungeonName_1033	121,122,123,124,125,126,127,128,129,130	DungeonName_1034	131,132,133,134,135,136,137,138,139,130		0
100080	100080	monster31000280	68	1	40	1		2		MonsterDes_31000280	6	13.9, 4.4, 95.8	0.300000				79,80	0	0								DungeonName_1101	141,142,143,144,145,146,147,148,149				0
100086	100086	monster31000281	69	1	40	1		2		MonsterDes_31000281	6	13.9, 4.4, 95.8	0.300000	0;0.2;0.2			81,82	0	0								DungeonName_1101	150,151,152,153,154,155,156,157,158				0
100100	100100	monster31000381	70	1	50	1		2		MonsterDes_31000381	6	21.6, 4.5, 97.3	0.500000	0;-0.62;0			97	0	0													0
100101	100101	monster10007001	71	1	60	1		2		MonsterDes_10007001	7	-33.2, 5.7, 23.0	0.000000				98	0	0													0
100102	100102	monster10007002	72	1	60	1		2		MonsterDes_10007002	7	-3.1, -0.5, -1.7	0.000000				99	0	0													0
100103	100103	monster10007003	73	1	60	7		2		MonsterDes_10007003	7	55.6, -1.3, -50.4	0.000000				100	0	0													0
100104	100104	monster10007004	74	1	60	1		2		MonsterDes_10007004	7	36.5, -0.8, -27.0	0.000000				101	0	0													0
100105	100105	monster10007005	75	1	60	1		2		MonsterDes_10007005	7	61.8, -0.8, -34.9	0.000000				102	0	0													0
100106	100106	monster10007006	76	1	60	7		2		MonsterDes_10007006	7	23.6, 6.1, 42.3	0.000000				103	0	0													0
100107	100107	monster10007007	77	1	60	1		2		MonsterDes_10007007	7	56.8, -0.8, -2.7	0.000000				104	0	0													0
100108	100108	monster10007008	78	1	60	7		2		MonsterDes_10007008	7	15.8, 2.9, 5.3	0.000000				105	0	0													0
100109	100109	monster11007001	79	1	60	1		2		MonsterDes_11007001	7	56.6, -0.8, -26.4	0.750000				106	0	0													0
100110	100110	monster11007002	80	1	60	1		2		MonsterDes_11007002	7	-36.9, 5.7, 45.5	0.600000	0;-0.2;0			107	0	0													0
100111	100111	monster30100660	81	1	65	1		2		MonsterDes_30100660	7	15.9,6.7,86.9	0.000000				108	0	0													0
100112	100112	monster30100680	82	1	65	1		2		MonsterDes_30100680	7	15.9,6.7,86.9	0.360000				109,110	0	0													0
100113	100113	monster31000480	83	1	70	1		2		MonsterDes_31000480	7	19.0,2.3,-44.3	1.700000				111	0	0													0
100114	100114	monster31000481	84	1	70	1		2		MonsterDes_31000481	7	19.0,2.3,-44.3	0.000000				112	0	0													0
100115	100115	monster11008001	85	1	70	1		2		MonsterDes_11008001	8	-45.2,-0.4,-60.1	0.000000				113	0	0													0
100116	100116	monster11008002	86	1	70	1		2		MonsterDes_11008002	8	-15.8,-0.4,-35.0	0.000000	0;0.5;0			114	0	0													0
100117	100117	monster11008003	87	1	70	1		2		MonsterDes_11008003	8	-43.4,4.7,-26.6	0.000000				115	0	0													0
100119	100119	monster11008005	89	1	70	1		2		MonsterDes_11008005	8	32.6,18.4,34.2	0.000000				116	0	0													0
100120	100120	monster11008006	90	1	70	1		2		MonsterDes_11008006	8	56.6,18.6,34.1	0.000000				117	0	0													0
100121	100121	monster11008007	91	1	70	1		2		MonsterDes_11008007	8	-85.5,8.8,-8.9	0.680000				118	0	0													0
100122	100122	monster11008008	92	1	70	1		2		MonsterDes_11008008	8	-20.8,13.2,33.2	0.000000				119	0	0													0
100123	100123	monster11008009	93	1	70	1		2		MonsterDes_11008009	8	-27.58,-0.415,-64.37	0.000000				120	0	0													0
100124	100124	monster11008010	94	1	70	1		2		MonsterDes_11008010	8	-34.48,13.2,43.65	0.000000				121	0	0													0
100125	100125	monster31000580	95	1	75	1		2		MonsterDes_30100580	8	-32.0,13.0,56.5	0.000000				122	0	0													0
100126	100126	monster31000581	96	1	75	1		2		MonsterDes_30100581	8	-32.0,13.0,56.5	0.000000				123	0	0													0
100127	100127	monster10008001	97	1	85	1		2		MonsterDes_10008001	9	-9.0,1.6,-15.0	0.000000				124	0	0													0
100128	100128	monster10008003	98	1	85	1		2		MonsterDes_10008003	9	-17.1,-2.0,-64.4	0.500000				125	0	0													0
100129	100129	monster10008004	99	1	85	1		2		MonsterDes_10008004	9	48.3,-2.4,-63.2	0.900000				126	0	0													0
100130	100130	monster10008005	100	1	85	1		2		MonsterDes_10008005	9	68.5,2.7,-21.0	0.900000				127	0	0													0
100131	100131	monster10008006	101	1	85	1		2		MonsterDes_10008006	9	37.5,9.1,40.1	0.800000				128	0	0													0
100132	100132	monster31000661	102	1	85	1		2		MonsterDes_31000661	4	-7.2,2.6,25.9	0.500000				129	0	0													0
100133	100133	monster31000662	103	1	85	1		2		MonsterDes_31000662	4	-7.2,2.6,25.9	0.500000				130	0	0													0
100134	100134	monster31000680	104	1	85	1		2		MonsterDes_31000680	4	-7.2,2.6,25.9	0.000000				131	0	0													0
100135	100135	monster31000681	105	1	85	1		2		MonsterDes_31000681	4	-7.2,2.6,25.9	0.000000				132	0	0													0
100136	100136	monster10109004	106	1	85	1		2		MonsterDes_10109004	37	22.3, 2.6, 108.8	0.800000				133	0	0													0
100137	100137	monster10109005	107	1	85	1		2		MonsterDes_10109005	37	-29.4, 5.3, 65.6	0.900000				134	0	0													0
100138	100138	monster10109006	108	1	85	1		2		MonsterDes_10109006	37	-54.4, 1.1, -49.1	0.800000				135	0	0													0
100139	100139	monster10109007	109	1	85	1		2		MonsterDes_10109007	37	-22.5, 3.9, -71.3	0.000000				136	0	0													0
100140	100140	monster10109008	110	1	85	1		2		MonsterDes_10109008	37	86.6, 2.6, 35.2	0.900000				137	0	0													0
100141	100141	monster10109001	111	1	85	1		2		MonsterDes_10109001	37	16.0, 2.6, 24.2	0.600000				138	0	0													0
100142	100142	monster10109003	112	1	85	1		2		MonsterDes_10109003	37	-3.7, 2.6, -12.5	0.600000				139	0	0													0
100143	100143	monster10110001	113	1	85	1		2		MonsterDes_10109009	18	62.3, 57.7, -59.7	0.500000				140	0	0													0
100144	100144	monster10110002	114	1	85	1		2		MonsterDes_10109010	18	80.1, 60.0, 34.9	0.300000	-0.2;0.25;0			141	0	0													0
100145	100145	monster10110003	115	1	85	1		2		MonsterDes_10109011	18	-49.5, 56.9, 32.1	0.000000				142	0	0													0
100146	100146	monster10110004	116	1	85	1		2		MonsterDes_10109012	18	39.1, 60.0, -15.1	0.000000				143	0	0													0
100147	100147	monster10110005	117	1	85	1		2		MonsterDes_10109013	18	49.3, 59.4, 26.4	0.000000				144	0	0													0
100148	100148	monster10110006	118	1	85	1		2		MonsterDes_10109014	18	-32.8, 51.5, -58.3	0.660000				145	0	0													0
100149	100149	monster10110007	119	1	85	1		2		MonsterDes_10109015	18	13.8, 61.1, 40.9	0.000000				146	0	0													0
200050	pet_199	pet_199	1300	2	1	2		2		Des_pet_199			1.300000					0	0							item101020508289						300
200001	pet_101	pet_101	1100	2	1	2		2		MonsterDes_10002001	1	-27.0, -0.5, 42.4	1.200000		monster10301001			0	0							item101020503001						100
200002	pet_104	pet_104	1200	2	1	2		2		MonsterDes_10002001	1	-27.0, -0.5, 42.4	1.200000		monster10301001			0	0							item101020503101						200
200003	pet_111	pet_111	1101	2	1	2		2		MonsterDes_10003002	3	-14.6, 0.2, -15.7	1.100000	0;-0.2;0	monster10303001			0	0							item101020503002						100
200004	pet_115	pet_115	1201	2	1	2		2		MonsterDes_10003002	3	-14.6, 0.2, -15.7	1.100000	0;-0.2;0	monster10303001			0	0							item101020503102						200
200005	pet_121	pet_121	1102	2	1	2		2		MonsterDes_10003005	3	-2.4, -0.1, 3.9	1.300000		monster10303003			0	0							item101020503003						100
200006	pet_124	pet_124	1202	2	1	2		2		MonsterDes_10003005	3	-2.4, -0.1, 3.9	1.300000		monster10303003			0	0							item101020503103						200
200007	pet_131	pet_131	1301	2	1	2		2		MonsterDes_10003011	3	0.2, 0.2, -26.8	0.750000		monster10303006			0	0							item101020503004						300
200008	pet_134	pet_134	1400	2	1	2		2		MonsterDes_10003011	3	0.2, 0.2, -26.8	0.750000		monster10303006			0	0							item101020503104						600
200009	pet_141	pet_141	1302	2	1	2		2		MonsterDes_10004007	4	-51.5, 10.7, -85.0	0.600000		monster10304004			0	0							item101020503005						300
200010	pet_144	pet_144	1401	2	1	2		2		MonsterDes_10004007	4	-51.5, 10.7, -85.0	0.600000		monster10304004			0	0							item101020503105						600
200011	pet_154	pet_154	1103	2	1	2		2		MonsterDes_10002008	1	37.7, -5.1, -55.2	1.000000		monster10301002			0	0							item101020503021						100
200012	pet_155	pet_155	1203	2	1	2		2		MonsterDes_10002008	1	37.7, -5.1, -55.2	1.000000		monster10301002			0	0							item101020503106						200
200013	pet_156	pet_156	1104	2	1	2		2		MonsterDes_10003004	3	16.5, 0.2, -2.1	1.200000		monster10303002			0	0							item101020503022						100
200014	pet_157	pet_157	1204	2	1	2		2		MonsterDes_10003004	3	16.5, 0.2, -2.1	1.200000		monster10303002			0	0							item101020503107						200
200015	pet_158	pet_158	1105	2	1	2		2		MonsterDes_10003006	3	32.8, 0.1, 9	1.100000		monster10303004			0	0							item101020503023						100
200016	pet_159	pet_159	1205	2	1	2		2		MonsterDes_10003006	3	32.8, 0.1, 9	1.100000		monster10303004			0	0							item101020503108						200
200017	pet_160	pet_160	1206	2	1	2		2		MonsterDes_10004008	4	-20.4, 3.8, -49.3	1.000000		monster10304001			0	0							item101020503024						200
200018	pet_161	pet_161	1303	2	1	2		2		MonsterDes_10004008	4	-20.4, 3.8, -49.3	1.000000		monster10304001			0	0							item101020503109						300
200019	pet_162	pet_162	1207	2	1	2		2		MonsterDes_10005002	5	-0.8, 3.8, 19.9	1.000000	0;-0.3;-0.6	monster10305001			0	0							item101020503025						200
200020	pet_163	pet_163	1304	2	1	2		2		MonsterDes_10005002	5	-0.8, 3.8, 19.9	1.000000	0;-0.3;-0.6	monster10305001			0	0							item101020503110						300
200021	pet_164	pet_164	1208	2	1	2		2		MonsterDes_10005003	5	8.0, 4.1, 10.1	1.000000	0;-0.3;-0.6	monster10305002			0	0							item101020503026						200
200022	pet_165	pet_165	1305	2	1	2		2		MonsterDes_10005003	5	8.0, 4.1, 10.1	1.000000	0;-0.3;-0.6	monster10305002			0	0							item101020503111						300
200023	pet_166	pet_166	1209	2	1	2		2		MonsterDes_10004005	4	12.0, 4.8, -52.0	0.900000		monster10304002			0	0							item101020503027						200
200024	pet_167	pet_167	1306	2	1	2		2		MonsterDes_10004005	4	12.0, 4.8, -52.0	0.900000		monster10304002			0	0							item101020503112						300
200025	pet_168	pet_168	1210	2	1	2		2		MonsterDes_10005001	5	-47.6, 4.4, -29.6	0.800000		monster10305003			0	0							item101020503028						200
200026	pet_169	pet_169	1307	2	1	2		2		MonsterDes_10005001	5	-47.6, 4.4, -29.6	0.800000		monster10305003			0	0							item101020503113						300
200027	pet_170	pet_170	1211	2	1	2		2		MonsterDes_10004006	4	-45.1, 10.6, -77.7	0.800000	0;-0.4;-0.7	monster10304003			0	0							item101020503029						200
200028	pet_171	pet_171	1308	2	1	2		2		MonsterDes_10004006	4	-45.1, 10.6, -77.7	0.800000	0;-0.4;-0.7	monster10304003			0	0							item101020503114						300
200029	pet_172	pet_172	1212	2	1	2		2		MonsterDes_10006003	6	-32.3, 0.9, -20.0	1.200000		monster10306001			0	0							item101020503030						200
200030	pet_173	pet_173	1309	2	1	2		2		MonsterDes_10006003	6	-32.3, 0.9, -20.0	1.200000		monster10306001			0	0							item101020503115						300
200031	pet_174	pet_174	1213	2	1	2		2		MonsterDes_10006004	6	-12.2, 0.4, -7.6	1.000000		monster10306002			0	0							item101020503031						200
200032	pet_175	pet_175	1310	2	1	2		2		MonsterDes_10006004	6	-12.2, 0.4, -7.6	1.000000		monster10306002			0	0							item101020503116						300
200033	pet_176	pet_176	1311	2	1	2		2		MonsterDes_10003012	3	20.1, 0.2, 43.0	0.600000		monster10303005			0	0							item101020503032						300
200034	pet_177	pet_177	1402	2	1	2		2		MonsterDes_10003012	3	20.1, 0.2, 43.0	0.600000		monster10303005			0	0							item101020503117						600
200035	pet_179	pet_179	1403	2	1	2		2		PetFairy_179			1.200000					0	0							item101020503033						600
200036	pet_180	pet_180	1312	2	1	2		2		MonsterDes_10002009	1	24.9, -5.1, -61.2	0.800000		monster10301003			0	0							item101020503034						300
200037	pet_181	pet_181	1404	2	1	2		2		MonsterDes_10002009	1	24.9, -5.1, -61.2	0.800000		monster10301003			0	0							item101020503118						600
200038	pet_182	pet_182	1313	2	1	2		2		MonsterDes_10005007	5	-5.0, 4.4, -54.6	0.400000		monster10305004			0	0							item101020503035						300
200039	pet_183	pet_183	1405	2	1	2		2		MonsterDes_10005007	5	-5.0, 4.4, -54.6	0.400000		monster10305004			0	0							item101020503119						600
200040	pet_184	pet_184	1314	2	1	2		2		MonsterDes_10004009	4	-51.4, 2.9, -23.1	0.600000		monster10304005			0	0							item101020503036						300
200041	pet_185	pet_185	1406	2	1	2		2		MonsterDes_10004009	4	-51.4, 2.9, -23.1	0.600000		monster10304005			0	0							item101020503120						600
200042	pet_186	pet_186	1315	2	1	2		2		MonsterDes_10002010	1	59.9, 4.1, 48.3	0.600000		monster10301004			0	0							item101020503037						300
200043	pet_187	pet_187	1407	2	1	2		2		MonsterDes_10002010	1	59.9, 4.1, 48.3	0.600000		monster10301004			0	0							item101020503121						600
200044	pet_188	pet_188	1408	2	1	2		2		MonsterDes_30100460			0.700000	0;-0.3;-0.6				0	0							item101020503038						600
200045	pet_190	pet_190	1409	2	1	2		2		MonsterDes_30100461			0.700000	0;-0.3;-0.6				0	0							item101020503039						600
200046	pet_192	pet_192	1410	2	1	2		2		MonsterDes_30100406			0.600000					0	0							item101020503040						600
200047	pet_194	pet_194	1411	2	1	2		2		MonsterDes_30000281			0.600000					0	0							item101020503041						600
200048	pet_196	pet_196	1412	2	1	2		2		MonsterDes_30000280			0.300000					0	0							item101020503042						600
200092	pet_198	pet_198	1413	2	1	2		2		Des_pet_198			0.700000					0	0							item101020503043						600
200051	pet_301	pet_301	1414	2	1	2		2		MonsterDes_30000282			0.360000					0	0							item101020503044						600
200052	pet_303	pet_303	1415	2	1	2		2		PetFairy_303			0.600000					0	0							item101020503045						600
200053	pet_305	pet_305	1416	2	1	2		2		MonsterDes_31000280			0.360000	0;-0.4;0				0	0							item101020503046						600
200054	pet_325	pet_325	1417	2	1	2		2		PetFairy_325			1.000000					0	0							item101020503056						600
200055	pet_327	pet_327	1418	2	1	2		2		PetFairy_327			1.200000					0	0							item101020503057						600
200079	pet_200	pet_200	1419	2	1	2		2		Des_pet_200			1.000000					0	0							item101020503061						600
200100	pet_307	pet_307	1500	2	1	2		2		Des_pet_307			1.000000					0	0							item101020503047						1000
200101	pet_309	pet_309	1501	2	1	2		2		Des_pet_309			1.000000					0	0							item101020503048						1000
200107	pet_311	pet_311	1502	2	1	2		2		Des_pet_311			0.500000	0;-0.62;0				0	0							item101020503049						1000
200102	pet_313	pet_313	1503	2	1	2		2		Des_pet_313			1.000000					0	0							item101020503050						1000
200103	pet_315	pet_315	1504	2	1	2		2		Des_pet_315			1.000000					0	0							item101020503051						1000
200104	pet_317	pet_317	1505	2	1	2		2		Des_pet_317			1.000000					0	0							item101020503052						1000
200105	pet_319	pet_319	1506	2	1	2		2		Des_pet_319			1.000000					0	0							item101020503053						1000
200106	pet_321	pet_321	1507	2	1	2		2		Des_pet_321			1.550000					0	0							item101020503054						1000
200108	pet_323	pet_323	1508	2	1	2		2		Des_pet_323			1.000000					0	0							item101020503055						1000
200066	ride_124	ride_124	2300	2	1	2		2		Des_ride_124			0.800000					0	0							item101020507315						300
200056	ride_101	ride_101	2301	2	1	2		2		MonsterDes_10005004			0.700000					0	0							item101020507301						300
200057	ride_105	ride_105	2302	2	1	2		2		MonsterDes_30000380			0.500000					0	0							item101020503011						300
200058	ride_107	ride_107	2303	2	1	2		2		MonsterDes_30000180			0.600000					0	0							item101020503012						300
200059	ride_109	ride_109	2400	2	1	2		2		RideFairy_009			0.500000					0	0							item101020503013						600
200060	ride_111	ride_111	2401	2	1	2		2		RideFairy_011			0.700000					0	0							item102020050004						600
200061	ride_115	ride_115	2402	2	1	2		2		RideFairy_115			0.750000					0	0							item101020507309						600
200062	ride_117	ride_117	2403	2	1	2		2		RideFairy_117			0.420000					0	0							item101020508130						600
200063	ride_119	ride_119	2404	2	1	2		2		RideFairy_119			0.700000					0	0							item101020508132						600
200064	ride_121	ride_121	2304	2	1	2		2		RideFairy_121			0.900000					0	0							item101020507313						300
200065	ride_123	ride_123	2405	2	1	2		2		RideFairy_123			0.450000					0	0							item101020508136						600
200076	ride_125	ride_125	2305	2	1	2		2		Des_ride_125			0.750000					0	0							item101020508140						300
200077	ride_126	ride_126	2306	2	1	2		2		Des_ride_126			0.900000					0	0							item101020507217						300
200078	ride_127	ride_127	2307	2	1	2		2		Des_ride_127			0.850000					0	0							item101020508144						300
