流水id	类型	角色ID	分组	发色分组	展示icon	长相	高模长相	发型颜色值
40	1	hero104	2	1	equip_130000004302	c004|face|c004_face001_t1|head|c004_head002_t1|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head002_t1|partc|c004h_partc001_t1	61,56,58;19,19,22
41	1	hero104	2	2	equip_130000204302	c004|face|c004_face001_t1|head|c004_head002_t2|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head002_t2|partc|c004h_partc001_t1	143,111,91;75,53,44
42	1	hero104	2	3	equip_130000104302	c004|face|c004_face001_t1|head|c004_head002_t3|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head002_t3|partc|c004h_partc001_t1	91,104,133;36,41,58
43	1	hero104	3	1	equip_130000004375	c004|face|c004_face001_t1|head|c004_head010_t1|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head010_t1|partc|c004h_partc001_t1	234,192,150;168,114,81
44	1	hero104	3	2	equip_130000014375	c004|face|c004_face001_t1|head|c004_head010_t2|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head010_t2|partc|c004h_partc001_t1	92,76,63;44,30,22
45	1	hero104	3	3	equip_130000024375	c004|face|c004_face001_t1|head|c004_head010_t3|partc|c004_partc001_t1	c004h|face|c004h_face001_t1|head|c004h_head010_t3|partc|c004h_partc001_t1	243,186,194;178,104,128
46	1	hero108	1	1	equip_130000008301	c008|face|c008_face001_t1|head|c008_head001_t1|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head001_t1|partc|c008h_partc001_t1	160,139,137;89,74,72
47	1	hero108	1	2	equip_130000108301	c008|face|c008_face001_t1|head|c008_head001_t2|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head001_t2|partc|c008h_partc001_t1	60,53,52;29,24,23
48	1	hero108	1	3	equip_130000208301	c008|face|c008_face001_t1|head|c008_head001_t3|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head001_t3|partc|c008h_partc001_t1	201,177,136;147,110,73
49	1	hero108	2	1	equip_130000008372	c008|face|c008_face001_t1|head|c008_head011_t1|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head011_t1|partc|c008h_partc001_t1	122,88,70;76,54,43
50	1	hero108	2	2	equip_130000018372	c008|face|c008_face001_t1|head|c008_head011_t2|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head011_t2|partc|c008h_partc001_t1	95,79,102;57,47,59
51	1	hero108	2	3	equip_130000028372	c008|face|c008_face001_t1|head|c008_head011_t3|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head011_t3|partc|c008h_partc001_t1	113,47,44;74,28,24
52	1	hero108	3	1	equip_130000008302	c008|face|c008_face001_t1|head|c008_head002_t1|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head002_t1|partc|c008h_partc001_t1	64,62,64;23,22,21
53	1	hero108	3	2	equip_130000018302	c008|face|c008_face001_t1|head|c008_head002_t2|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head002_t2|partc|c008h_partc001_t1	117,93,74;61,40,29
54	1	hero108	3	3	equip_130000028302	c008|face|c008_face001_t1|head|c008_head002_t3|partc|c008_partc001_t1	c008h|face|c008h_face001_t1|head|c008h_head002_t3|partc|c008h_partc001_t1	85,111,144;55,49,74
55	1	hero105	1	1	equip_130000005301	c005|face|c005_face001_t1|head|c005_head001_t1|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head001_t1|parta|c005h_parta001_t1	89,81,80;29,29,29
56	1	hero105	1	2	equip_130000105301	c005|face|c005_face001_t1|head|c005_head001_t2|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head001_t2|parta|c005h_parta001_t1	76,79,108;27,26,42
57	1	hero105	1	3	equip_130000205301	c005|face|c005_face001_t1|head|c005_head001_t3|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head001_t3|parta|c005h_parta001_t1	162,100,137;105,28,82
58	1	hero105	2	1	equip_130000005303	c005|face|c005_face001_t1|head|c005_head005_t1|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head005_t1|parta|c005h_parta001_t1	199,64,23;118,4,0
59	1	hero105	2	2	equip_130000105303	c005|face|c005_face001_t1|head|c005_head005_t2|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head005_t2|parta|c005h_parta001_t1	221,169,65;149,92,39
60	1	hero105	2	3	equip_130000205303	c005|face|c005_face001_t1|head|c005_head005_t3|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head005_t3|parta|c005h_parta001_t1	132,168,88;75,98,66
61	1	hero105	3	1	equip_130000005375	c005|face|c005_face001_t1|head|c005_head011_t1|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head011_t1|parta|c005h_parta001_t1	193,140,94;132,87,61
62	1	hero105	3	2	equip_130000015375	c005|face|c005_face001_t1|head|c005_head011_t2|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head011_t2|parta|c005h_parta001_t1	192,65,52;130,44,55
63	1	hero105	3	3	equip_130000025375	c005|face|c005_face001_t1|head|c005_head011_t3|parta|c005_parta001_t1	c005h|face|c005h_face001_t1|head|c005h_head011_t3|parta|c005h_parta001_t1	66,96,120;46,52,76
101	1	hero106	1	1	equip_130000006355	c006|face|c006_face001_t1|head|c006_head001_t1|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head001_t1|partc|c006h_partc001_t1	230,228,233;103,109,125
102	1	hero106	1	2	equip_130000106301	c006|face|c006_face001_t1|head|c006_head001_t2|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head001_t2|partc|c006h_partc001_t1	227,203,167;154,130,97
103	1	hero106	1	3	equip_130000206301	c006|face|c006_face001_t1|head|c006_head001_t3|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head001_t3|partc|c006h_partc001_t1	78,77,76;34,24,22
104	1	hero106	2	1	equip_130000006376	c006|face|c006_face001_t1|head|c006_head101_t2|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head101_t2|partc|c006h_partc001_t1	249,202,218;215,108,138
105	1	hero106	2	2	equip_130000006375	c006|face|c006_face001_t1|head|c006_head101_t1|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head101_t1|partc|c006h_partc001_t1	230,228,233;103,109,125
106	1	hero106	2	3	equip_130000006377	c006|face|c006_face001_t1|head|c006_head101_t3|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head101_t3|partc|c006h_partc001_t1	97,122,145;37,41,59
107	1	hero106	3	1	equip_130000006302	c006|face|c006_face001_t1|head|c006_head102_t2|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head102_t2|partc|c006h_partc001_t1	248,226,179;192,147,79
108	1	hero106	3	2	equip_130000006303	c006|face|c006_face001_t1|head|c006_head102_t1|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head102_t1|partc|c006h_partc001_t1	230,228,233;103,109,125
109	1	hero106	3	3	equip_130000006304	c006|face|c006_face001_t1|head|c006_head102_t3|partc|c006_partc001_t1	c006h|face|c006h_face001_t1|head|c006h_head102_t3|partc|c006h_partc001_t1	118,89,79;73,53,46
64	2	hero101	1	-1	equip_304001100001	c001|weapon|c001_weapon001_t1|bottoms|c001_bottoms001_t1|clothes|c001_clothes001_t1|shoulder|c001_shoulder001_t1	c001h|weapon|c001h_weapon001_t1|bottoms|c001h_bottoms001_t1|clothes|c001h_clothes001_t1|shoulder|c001h_shoulder001_t1|partb|c001h_partb001_t1	-1
65	2	hero101	2	-1	equip_304001011001	c001|weapon|c001_weapon001_t1|bottoms|c001_bottoms001_t2|clothes|c001_clothes001_t2|shoulder|c001_shoulder001_t2	c001h|weapon|c001h_weapon001_t1|bottoms|c001h_bottoms001_t2|clothes|c001h_clothes001_t2|shoulder|c001h_shoulder001_t2|partb|c001h_partb001_t1	-1
66	2	hero101	3	-1	equip_304010111001	c001|weapon|c001_weapon001_t1|bottoms|c001_bottoms001_t3|clothes|c001_clothes001_t3|shoulder|c001_shoulder001_t3	c001h|weapon|c001h_weapon001_t1|bottoms|c001h_bottoms001_t3|clothes|c001h_clothes001_t3|shoulder|c001h_shoulder001_t3|partb|c001h_partb001_t1	-1
67	2	hero102	1	-1	equip_304001100002	c002|weapon|c002_weapon001_t1|bottoms|c002_bottoms001_t1|clothes|c002_clothes001_t1|shoulder|c002_shoulder001_t1	c002h|weapon|c002h_weapon001_t1|bottoms|c002h_bottoms001_t1|clothes|c002h_clothes001_t1|shoulder|c002h_shoulder001_t1	-1
68	2	hero102	2	-1	equip_304001011002	c002|weapon|c002_weapon001_t1|bottoms|c002_bottoms001_t2|clothes|c002_clothes001_t2|shoulder|c002_shoulder001_t2	c002h|weapon|c002h_weapon001_t1|bottoms|c002h_bottoms001_t2|clothes|c002h_clothes001_t2|shoulder|c002h_shoulder001_t2	-1
69	2	hero102	3	-1	equip_304010111002	c002|weapon|c002_weapon001_t1|bottoms|c002_bottoms001_t3|clothes|c002_clothes001_t3|shoulder|c002_shoulder001_t3	c002h|weapon|c002h_weapon001_t1|bottoms|c002h_bottoms001_t3|clothes|c002h_clothes001_t3|shoulder|c002h_shoulder001_t3	-1
70	2	hero103	1	-1	equip_304001100003	c003|weapon|c003_weapon001_t1|bottoms|c003_bottoms001_t1|clothes|c003_clothes001_t1|shoulder|c003_shoulder001_t1	c003h|weapon|c003h_weapon001_t1|bottoms|c003h_bottoms001_t1|clothes|c003h_clothes001_t1|shoulder|c003h_shoulder001_t1|parta|c003h_parta001_t1	-1
71	2	hero103	2	-1	equip_304001011003	c003|weapon|c003_weapon001_t1|bottoms|c003_bottoms001_t2|clothes|c003_clothes001_t2|shoulder|c003_shoulder001_t2	c003h|weapon|c003h_weapon001_t1|bottoms|c003h_bottoms001_t2|clothes|c003h_clothes001_t2|shoulder|c003h_shoulder001_t2|parta|c003h_parta001_t1	-1
72	2	hero103	3	-1	equip_304010111003	c003|weapon|c003_weapon001_t1|bottoms|c003_bottoms001_t3|clothes|c003_clothes001_t3|shoulder|c003_shoulder001_t3	c003h|weapon|c003h_weapon001_t1|bottoms|c003h_bottoms001_t3|clothes|c003h_clothes001_t3|shoulder|c003h_shoulder001_t3|parta|c003h_parta001_t1	-1
73	2	hero107	1	-1	equip_304001100007	c007|weapon|c007_weapon001_t1|bottoms|c007_bottoms001_t1|clothes|c007_clothes001_t1|shoulder|c007_shoulder001_t1	c007h|weapon|c007h_weapon001_t1|bottoms|c007h_bottoms001_t1|clothes|c007h_clothes001_t1|shoulder|c007h_shoulder001_t1|parta|c007h_parta001_t1	-1
74	2	hero107	2	-1	equip_304000111007	c007|weapon|c007_weapon001_t1|bottoms|c007_bottoms001_t2|clothes|c007_clothes001_t2|shoulder|c007_shoulder001_t2	c007h|weapon|c007h_weapon001_t1|bottoms|c007h_bottoms001_t2|clothes|c007h_clothes001_t2|shoulder|c007h_shoulder001_t2|parta|c007h_parta001_t1	-1
75	2	hero107	3	-1	equip_304001011007	c007|weapon|c007_weapon001_t1|bottoms|c007_bottoms001_t3|clothes|c007_clothes001_t3|shoulder|c007_shoulder001_t3	c007h|weapon|c007h_weapon001_t1|bottoms|c007h_bottoms001_t3|clothes|c007h_clothes001_t3|shoulder|c007h_shoulder001_t3|parta|c007h_parta001_t1	-1
76	2	hero104	1	-1	equip_304001100004	c004|weapon|c004_weapon001_t1|bottoms|c004_bottoms001_t1|clothes|c004_clothes001_t1|shoulder|c004_shoulder001_t1	c004h|weapon|c004h_weapon001_t1|bottoms|c004h_bottoms001_t1|clothes|c004h_clothes001_t1|shoulder|c004h_shoulder001_t1	-1
77	2	hero104	2	-1	equip_304001011004	c004|weapon|c004_weapon001_t1|bottoms|c004_bottoms001_t2|clothes|c004_clothes001_t2|shoulder|c004_shoulder001_t2	c004h|weapon|c004h_weapon001_t1|bottoms|c004h_bottoms001_t2|clothes|c004h_clothes001_t2|shoulder|c004h_shoulder001_t2	-1
78	2	hero104	3	-1	equip_304010111004	c004|weapon|c004_weapon001_t1|bottoms|c004_bottoms001_t3|clothes|c004_clothes001_t3|shoulder|c004_shoulder001_t3	c004h|weapon|c004h_weapon001_t1|bottoms|c004h_bottoms001_t3|clothes|c004h_clothes001_t3|shoulder|c004h_shoulder001_t3	-1
79	2	hero108	1	-1	equip_304001100008	c008|weapon|c008_weapon001_t1|bottoms|c008_bottoms001_t1|clothes|c008_clothes001_t1|shoulder|c008_shoulder001_t1	c008h|weapon|c008h_weapon001_t1|bottoms|c008h_bottoms001_t1|clothes|c008h_clothes001_t1|shoulder|c008h_shoulder001_t1	-1
80	2	hero108	2	-1	equip_304010111008	c008|weapon|c008_weapon001_t1|bottoms|c008_bottoms001_t2|clothes|c008_clothes001_t2|shoulder|c008_shoulder001_t2	c008h|weapon|c008h_weapon001_t1|bottoms|c008h_bottoms001_t2|clothes|c008h_clothes001_t2|shoulder|c008h_shoulder001_t2	-1
81	2	hero108	3	-1	equip_304001011008	c008|weapon|c008_weapon001_t1|bottoms|c008_bottoms001_t3|clothes|c008_clothes001_t3|shoulder|c008_shoulder001_t3	c008h|weapon|c008h_weapon001_t1|bottoms|c008h_bottoms001_t3|clothes|c008h_clothes001_t3|shoulder|c008h_shoulder001_t3	-1
82	2	hero105	1	-1	equip_304001100005	c005|weapon|c005_weapon001_t1|bottoms|c005_bottoms001_t1|clothes|c005_clothes001_t1|shoulder|c005_shoulder001_t1|parta|c005_parta001_t1	c005h|weapon|c005h_weapon001_t1|bottoms|c005h_bottoms001_t1|clothes|c005h_clothes001_t1|shoulder|c005h_shoulder001_t1|parta|c005h_parta001_t1	-1
83	2	hero105	2	-1	equip_304010111005	c005|weapon|c005_weapon001_t1|bottoms|c005_bottoms001_t2|clothes|c005_clothes001_t2|shoulder|c005_shoulder001_t2|parta|c005_parta001_t1	c005h|weapon|c005h_weapon001_t1|bottoms|c005h_bottoms001_t2|clothes|c005h_clothes001_t2|shoulder|c005h_shoulder001_t2|parta|c005h_parta001_t1	-1
84	2	hero105	3	-1	equip_304001011005	c005|weapon|c005_weapon001_t1|bottoms|c005_bottoms001_t3|clothes|c005_clothes001_t3|shoulder|c005_shoulder001_t3|parta|c005_parta001_t1	c005h|weapon|c005h_weapon001_t1|bottoms|c005h_bottoms001_t3|clothes|c005h_clothes001_t3|shoulder|c005h_shoulder001_t3|parta|c005h_parta001_t1	-1
85	2	hero106	1	-1	equip_304001100006	c006|bottoms|c006_bottoms001_t1|clothes|c006_clothes001_t1|shoulder|c006_shoulder001_t1|weapon|c006_weapon001_t1	c006h|bottoms|c006h_bottoms001_t1|clothes|c006h_clothes001_t1|shoulder|c006h_shoulder001_t1|weapon|c006h_weapon001_t1	-1
86	2	hero106	2	-1	equip_304001011006	c006|bottoms|c006_bottoms001_t2|clothes|c006_clothes001_t2|shoulder|c006_shoulder001_t2|weapon|c006_weapon001_t1	c006h|bottoms|c006h_bottoms001_t2|clothes|c006h_clothes001_t2|shoulder|c006h_shoulder001_t2|weapon|c006h_weapon001_t1	-1
87	2	hero106	3	-1	equip_304000111006	c006|bottoms|c006_bottoms001_t3|clothes|c006_clothes001_t3|shoulder|c006_shoulder001_t3|weapon|c006_weapon001_t1	c006h|bottoms|c006h_bottoms001_t3|clothes|c006h_clothes001_t3|shoulder|c006h_shoulder001_t3|weapon|c006h_weapon001_t1	-1
